function	native_identifier	implementation	limits
memcmp	比较内存内容	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	在内存中查找值	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	取得字符串字节数	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	取得限长字符串字节数	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	复制字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	定长填充复制字符串	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	复制字符串并取得末端	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	定长填充复制并取得末端	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	追加字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	限长追加字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	比较字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	限长比较字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	按排序规则比较字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	生成字符串排序键	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	查找字符串首个值	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	查找字符串最后值	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	查找子字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	取得允许值前缀长度	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	取得无排除值前缀长度	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	查找字符串中的集合值	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	分割字符串词段	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	指定状态分割字符串词段	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	在新空间复制字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	限长在新空间复制字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	忽略大小写比较字符串	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	限长忽略大小写比较字符串	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	检查是否字母或数字	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	检查是否字母	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	检查是否水平空白	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	检查是否控制字符	userspace-library	single-thread;C-locale;byte-strings;i386
isdigit	检查是否十进数字	userspace-library	single-thread;C-locale;byte-strings;i386
isgraph	检查是否非空白可印字符	userspace-library	single-thread;C-locale;byte-strings;i386
islower	检查是否小写字母	userspace-library	single-thread;C-locale;byte-strings;i386
isprint	检查是否可印字符	userspace-library	single-thread;C-locale;byte-strings;i386
ispunct	检查是否标点符号	userspace-library	single-thread;C-locale;byte-strings;i386
isspace	检查是否空白字符	userspace-library	single-thread;C-locale;byte-strings;i386
isupper	检查是否大写字母	userspace-library	single-thread;C-locale;byte-strings;i386
isxdigit	检查是否十六进数字	userspace-library	single-thread;C-locale;byte-strings;i386
tolower	转换为小写	userspace-library	single-thread;C-locale;byte-strings;i386
toupper	转换为大写	userspace-library	single-thread;C-locale;byte-strings;i386
malloc	分配内存空间	userspace-library	single-thread;C-locale;byte-strings;i386
calloc	分配清零数组空间	userspace-library	single-thread;C-locale;byte-strings;i386
realloc	调整内存空间大小	userspace-library	single-thread;C-locale;byte-strings;i386
free	释放内存空间	userspace-library	single-thread;C-locale;byte-strings;i386
strtol	将字符串读为长整数	userspace-library	single-thread;C-locale;byte-strings;i386
strtoul	将字符串读为无符号长整数	userspace-library	single-thread;C-locale;byte-strings;i386
atoi	将十进字符串读为整数	userspace-library	single-thread;C-locale;byte-strings;i386
atol	将十进字符串读为长整数	userspace-library	single-thread;C-locale;byte-strings;i386
abs	取得整数绝对值	userspace-library	single-thread;C-locale;byte-strings;i386
labs	取得长整数绝对值	userspace-library	single-thread;C-locale;byte-strings;i386
div	取得整数商余数	userspace-library	single-thread;C-locale;byte-strings;i386
ldiv	取得长整数商余数	userspace-library	single-thread;C-locale;byte-strings;i386
qsort	按比较规则排序	userspace-library	single-thread;C-locale;byte-strings;i386
bsearch	在有序数组中二分查找	userspace-library	single-thread;C-locale;byte-strings;i386
getenv	取得环境变量值	userspace-library	single-thread;C-locale;byte-strings;i386
