standard_identifier	native_identifier	category	current_role	status
IPPROTO_IP	بروتوكول_الشبكات_المترابطة_الأساسي	network-declaration	default_internetwork_protocol	project-proposal
IPPROTO_UDP	بروتوكول_رزم_المستخدم	network-declaration	user_datagram_protocol	project-proposal
INADDR_ANY	أي_عنوان_محلي	network-declaration	any_local_address	project-proposal
INADDR_LOOPBACK	عنوان_الحلقة_المحلية	network-declaration	loopback_address	project-proposal
hostlong	قيمة_من_32_بت_بترتيب_الآلة	network-declaration	host_order_32_bit_value	project-proposal
hostshort	قيمة_من_16_بت_بترتيب_الآلة	network-declaration	host_order_16_bit_value	project-proposal
netlong	قيمة_من_32_بت_بترتيب_الشبكة	network-declaration	network_order_32_bit_value	project-proposal
netshort	قيمة_من_16_بت_بترتيب_الشبكة	network-declaration	network_order_16_bit_value	project-proposal
size_t	size_t	scalar-type	object_size_type	pending-language-review
ssize_t	ssize_t	scalar-type	signed_size_type	pending-language-review
ptrdiff_t	ptrdiff_t	scalar-type	pointer_difference_type	pending-language-review
off_t	off_t	scalar-type	file_offset_type	pending-language-review
pid_t	pid_t	scalar-type	process_identifier_type	pending-language-review
uid_t	uid_t	scalar-type	user_identifier_type	pending-language-review
gid_t	gid_t	scalar-type	group_identifier_type	pending-language-review
mode_t	mode_t	scalar-type	file_mode_type	pending-language-review
dev_t	dev_t	scalar-type	device_identifier_type	pending-language-review
ino_t	ino_t	scalar-type	file_serial_number_type	pending-language-review
nlink_t	nlink_t	scalar-type	hard_link_count_type	pending-language-review
time_t	time_t	scalar-type	time_value_type	pending-language-review
blksize_t	blksize_t	scalar-type	block_size_type	pending-language-review
blkcnt_t	blkcnt_t	scalar-type	block_count_type	pending-language-review
int8_t	int8_t	scalar-type	signed_8_bit_integer	pending-language-review
uint8_t	uint8_t	scalar-type	unsigned_8_bit_integer	pending-language-review
int16_t	int16_t	scalar-type	signed_16_bit_integer	pending-language-review
uint16_t	uint16_t	scalar-type	unsigned_16_bit_integer	pending-language-review
int32_t	int32_t	scalar-type	signed_32_bit_integer	pending-language-review
uint32_t	uint32_t	scalar-type	unsigned_32_bit_integer	pending-language-review
int64_t	int64_t	scalar-type	signed_64_bit_integer	pending-language-review
uint64_t	uint64_t	scalar-type	unsigned_64_bit_integer	pending-language-review
intptr_t	intptr_t	scalar-type	pointer_sized_signed_integer	pending-language-review
uintptr_t	uintptr_t	scalar-type	pointer_sized_unsigned_integer	pending-language-review
st_dev	st_dev	structure-field	containing_device	pending-language-review
st_ino	st_ino	structure-field	file_serial_number	pending-language-review
st_mode	st_mode	structure-field	file_kind_and_permissions	pending-language-review
st_nlink	st_nlink	structure-field	hard_link_count	pending-language-review
st_uid	st_uid	structure-field	owner_user_identifier	pending-language-review
st_gid	st_gid	structure-field	owner_group_identifier	pending-language-review
st_rdev	st_rdev	structure-field	represented_device	pending-language-review
st_size	st_size	structure-field	file_size	pending-language-review
st_blksize	st_blksize	structure-field	preferred_io_block_size	pending-language-review
st_blocks	st_blocks	structure-field	allocated_block_count	pending-language-review
st_atime	st_atime	structure-field	last_access_time	pending-language-review
st_atimensec	st_atimensec	structure-field	last_access_nanoseconds	pending-language-review
st_mtime	st_mtime	structure-field	last_content_change_time	pending-language-review
st_mtimensec	st_mtimensec	structure-field	last_content_change_nanoseconds	pending-language-review
st_ctime	st_ctime	structure-field	last_status_change_time	pending-language-review
st_ctimensec	st_ctimensec	structure-field	last_status_change_nanoseconds	pending-language-review
utsname	utsname	structure-field	system_identity	pending-language-review
sysname	sysname	structure-field	system_name	pending-language-review
nodename	nodename	structure-field	node_name	pending-language-review
release	release	structure-field	system_release	pending-language-review
version	version	structure-field	system_version	pending-language-review
machine	machine	structure-field	machine_kind	pending-language-review
NULL	NULL	interface-constant	null_pointer	pending-language-review
EXIT_SUCCESS	EXIT_SUCCESS	interface-constant	successful_exit	pending-language-review
EXIT_FAILURE	EXIT_FAILURE	interface-constant	failed_exit	pending-language-review
STDIN_FILENO	STDIN_FILENO	interface-constant	standard_input_descriptor	pending-language-review
STDOUT_FILENO	STDOUT_FILENO	interface-constant	standard_output_descriptor	pending-language-review
STDERR_FILENO	STDERR_FILENO	interface-constant	standard_error_descriptor	pending-language-review
F_OK	F_OK	interface-constant	test_existence	pending-language-review
R_OK	R_OK	interface-constant	test_read_permission	pending-language-review
W_OK	W_OK	interface-constant	test_write_permission	pending-language-review
X_OK	X_OK	interface-constant	test_execute_permission	pending-language-review
SEEK_SET	SEEK_SET	interface-constant	offset_from_start	pending-language-review
SEEK_CUR	SEEK_CUR	interface-constant	offset_from_current	pending-language-review
SEEK_END	SEEK_END	interface-constant	offset_from_end	pending-language-review
O_RDONLY	O_RDONLY	interface-constant	open_read_only	pending-language-review
O_WRONLY	O_WRONLY	interface-constant	open_write_only	pending-language-review
O_RDWR	O_RDWR	interface-constant	open_read_write	pending-language-review
O_ACCMODE	O_ACCMODE	interface-constant	access_mode_mask	pending-language-review
O_CREAT	O_CREAT	interface-constant	create_if_missing	pending-language-review
O_EXCL	O_EXCL	interface-constant	require_new_file	pending-language-review
O_TRUNC	O_TRUNC	interface-constant	truncate_existing_file	pending-language-review
O_APPEND	O_APPEND	interface-constant	append_at_end	pending-language-review
O_DIRECTORY	O_DIRECTORY	interface-constant	require_directory	pending-language-review
F_DUPFD	F_DUPFD	interface-constant	duplicate_descriptor	pending-language-review
F_GETFD	F_GETFD	interface-constant	read_descriptor_flags	pending-language-review
F_SETFD	F_SETFD	interface-constant	set_descriptor_flags	pending-language-review
F_GETFL	F_GETFL	interface-constant	read_file_status_flags	pending-language-review
F_SETFL	F_SETFL	interface-constant	set_file_status_flags	pending-language-review
FD_CLOEXEC	FD_CLOEXEC	interface-constant	close_on_program_replacement	pending-language-review
WNOHANG	WNOHANG	interface-constant	do_not_wait_if_unready	pending-language-review
WIFEXITED	WIFEXITED	interface-constant	exited_normally	pending-language-review
WEXITSTATUS	WEXITSTATUS	interface-constant	extract_exit_status	pending-language-review
S_IFMT	S_IFMT	interface-constant	file_kind_mask	pending-language-review
S_IFDIR	S_IFDIR	interface-constant	directory_kind	pending-language-review
S_IFCHR	S_IFCHR	interface-constant	character_device_kind	pending-language-review
S_IFREG	S_IFREG	interface-constant	regular_file_kind	pending-language-review
S_IRUSR	S_IRUSR	interface-constant	owner_read_permission	pending-language-review
S_IWUSR	S_IWUSR	interface-constant	owner_write_permission	pending-language-review
S_IXUSR	S_IXUSR	interface-constant	owner_execute_permission	pending-language-review
S_IRGRP	S_IRGRP	interface-constant	group_read_permission	pending-language-review
S_IWGRP	S_IWGRP	interface-constant	group_write_permission	pending-language-review
S_IXGRP	S_IXGRP	interface-constant	group_execute_permission	pending-language-review
S_IROTH	S_IROTH	interface-constant	others_read_permission	pending-language-review
S_IWOTH	S_IWOTH	interface-constant	others_write_permission	pending-language-review
S_IXOTH	S_IXOTH	interface-constant	others_execute_permission	pending-language-review
S_ISDIR	S_ISDIR	interface-constant	is_directory_mode	pending-language-review
S_ISCHR	S_ISCHR	interface-constant	is_character_device_mode	pending-language-review
S_ISREG	S_ISREG	interface-constant	is_regular_file_mode	pending-language-review
EPERM	EPERM	error-code	operation_not_permitted	pending-language-review
ENOENT	ENOENT	error-code	file_or_directory_missing	pending-language-review
ESRCH	ESRCH	error-code	process_missing	pending-language-review
EINTR	EINTR	error-code	operation_interrupted	pending-language-review
EIO	EIO	error-code	input_output_error	pending-language-review
E2BIG	E2BIG	error-code	argument_list_too_large	pending-language-review
ENOEXEC	ENOEXEC	error-code	invalid_executable_format	pending-language-review
EBADF	EBADF	error-code	invalid_file_descriptor	pending-language-review
ECHILD	ECHILD	error-code	no_child_process	pending-language-review
EAGAIN	EAGAIN	error-code	temporarily_unavailable	pending-language-review
ENOMEM	ENOMEM	error-code	insufficient_memory	pending-language-review
EACCES	EACCES	error-code	permission_denied	pending-language-review
EFAULT	EFAULT	error-code	invalid_memory_address	pending-language-review
EBUSY	EBUSY	error-code	resource_busy	pending-language-review
EEXIST	EEXIST	error-code	file_already_exists	pending-language-review
ENODEV	ENODEV	error-code	device_missing	pending-language-review
ENOTDIR	ENOTDIR	error-code	not_a_directory	pending-language-review
EISDIR	EISDIR	error-code	is_a_directory	pending-language-review
EINVAL	EINVAL	error-code	invalid_argument	pending-language-review
ENFILE	ENFILE	error-code	system_file_limit	pending-language-review
EMFILE	EMFILE	error-code	process_file_limit	pending-language-review
ENOTTY	ENOTTY	error-code	inappropriate_device_operation	pending-language-review
EFBIG	EFBIG	error-code	file_too_large	pending-language-review
ENOSPC	ENOSPC	error-code	no_storage_space	pending-language-review
ESPIPE	ESPIPE	error-code	cannot_seek_stream	pending-language-review
EROFS	EROFS	error-code	read_only_filesystem	pending-language-review
ERANGE	ERANGE	error-code	value_out_of_range	pending-language-review
ENOSYS	ENOSYS	error-code	function_not_implemented	pending-language-review
EMSGSIZE	EMSGSIZE	error-code	message_too_large	pending-language-review
EPROTONOSUPPORT	EPROTONOSUPPORT	error-code	protocol_not_supported	pending-language-review
EOPNOTSUPP	EOPNOTSUPP	error-code	operation_not_supported	pending-language-review
EAFNOSUPPORT	EAFNOSUPPORT	error-code	address_family_not_supported	pending-language-review
EADDRINUSE	EADDRINUSE	error-code	address_already_in_use	pending-language-review
ENETUNREACH	ENETUNREACH	error-code	network_unreachable	pending-language-review
ENOTCONN	ENOTCONN	error-code	endpoint_not_connected	pending-language-review
CHAR_BIT	CHAR_BIT	integer-limit	bits_per_byte	pending-language-review
SCHAR_MIN	SCHAR_MIN	integer-limit	signed_char_minimum	pending-language-review
SCHAR_MAX	SCHAR_MAX	integer-limit	signed_char_maximum	pending-language-review
UCHAR_MAX	UCHAR_MAX	integer-limit	unsigned_char_maximum	pending-language-review
CHAR_MIN	CHAR_MIN	integer-limit	char_minimum	pending-language-review
CHAR_MAX	CHAR_MAX	integer-limit	char_maximum	pending-language-review
SHRT_MIN	SHRT_MIN	integer-limit	short_integer_minimum	pending-language-review
SHRT_MAX	SHRT_MAX	integer-limit	short_integer_maximum	pending-language-review
USHRT_MAX	USHRT_MAX	integer-limit	unsigned_short_maximum	pending-language-review
INT_MIN	INT_MIN	integer-limit	integer_minimum	pending-language-review
INT_MAX	INT_MAX	integer-limit	integer_maximum	pending-language-review
UINT_MAX	UINT_MAX	integer-limit	unsigned_integer_maximum	pending-language-review
LONG_MIN	LONG_MIN	integer-limit	long_integer_minimum	pending-language-review
LONG_MAX	LONG_MAX	integer-limit	long_integer_maximum	pending-language-review
ULONG_MAX	ULONG_MAX	integer-limit	unsigned_long_maximum	pending-language-review
LLONG_MIN	LLONG_MIN	integer-limit	long_long_integer_minimum	pending-language-review
LLONG_MAX	LLONG_MAX	integer-limit	long_long_integer_maximum	pending-language-review
ULLONG_MAX	ULLONG_MAX	integer-limit	unsigned_long_long_maximum	pending-language-review
SC0	SC0	implementation-helper	syscall_without_arguments	pending-language-review
SC1	SC1	implementation-helper	syscall_with_one_argument	pending-language-review
SC2	SC2	implementation-helper	syscall_with_two_arguments	pending-language-review
SC3	SC3	implementation-helper	syscall_with_three_arguments	pending-language-review
SYS_socketcall	SYS_socketcall	implementation-helper	socket_call_number	pending-language-review
argc	argc	implementation-helper	argument_count	pending-language-review
args_fail	args_fail	implementation-helper	argument_test_failure	pending-language-review
args_pass	args_pass	implementation-helper	argument_test_success	pending-language-review
bss_zeroed	bss_zeroed	implementation-helper	uninitialized_data_was_zeroed	pending-language-review
byte	byte	implementation-helper	byte_value	pending-language-review
bytes	bytes	implementation-helper	byte_array	pending-language-review
checks	checks	implementation-helper	check_count	pending-language-review
client	client	implementation-helper	client_endpoint	pending-language-review
cloexec_fail	cloexec_fail	implementation-helper	close_on_exec_failure	pending-language-review
cloexec_pass	cloexec_pass	implementation-helper	close_on_exec_success	pending-language-review
copy	copy	implementation-helper	copied_value	pending-language-review
cwd	cwd	implementation-helper	working_directory	pending-language-review
decoded	decoded	implementation-helper	decoded_value	pending-language-review
expected_errno	expected_errno	implementation-helper	expected_error_number	pending-language-review
failed_with	failed_with	implementation-helper	failed_with_error	pending-language-review
failure	failure	implementation-helper	failure_flag	pending-language-review
failures	failures	implementation-helper	failure_count	pending-language-review
first	first	implementation-helper	first_item	pending-language-review
i	i	implementation-helper	item_index	pending-language-review
iteration	iteration	implementation-helper	iteration_number	pending-language-review
length_of	length_of	implementation-helper	length_of_text	pending-language-review
loaded	loaded	implementation-helper	loaded_value	pending-language-review
memory	memory	implementation-helper	memory_region	pending-language-review
old	old	implementation-helper	previous_value	pending-language-review
parent	parent	implementation-helper	parent_process	pending-language-review
pass	pass	implementation-helper	test_pass	pending-language-review
passed	passed	implementation-helper	passed_test	pending-language-review
posix_compile_test	posix_compile_test	implementation-helper	interface_compile_test	pending-language-review
posix_test_heap	posix_test_heap	implementation-helper	heap_behavior_test	pending-language-review
posix_test_process	posix_test_process	implementation-helper	process_behavior_test	pending-language-review
private_value	private_value	implementation-helper	process_private_value	pending-language-review
reap_nohang	reap_nohang	implementation-helper	reap_without_waiting	pending-language-review
report	report	implementation-helper	report_result	pending-language-review
root	root	implementation-helper	root_path	pending-language-review
s	s	implementation-helper	examined_data	pending-language-review
say	say	implementation-helper	write_message	pending-language-review
second	second	implementation-helper	second_item	pending-language-review
server	server	implementation-helper	server_endpoint	pending-language-review
server_address	server_address	implementation-helper	server_endpoint_address	pending-language-review
source_length	source_length	implementation-helper	source_address_size	pending-language-review
spin	spin	implementation-helper	spin_iteration	pending-language-review
spins	spins	implementation-helper	spin_count	pending-language-review
start	start	implementation-helper	starting_position	pending-language-review
target	target	implementation-helper	target_value	pending-language-review
test_dup_and_fcntl	test_dup_and_fcntl	implementation-helper	test_descriptor_duplication_and_control	pending-language-review
test_identity	test_identity	implementation-helper	test_process_identity	pending-language-review
test_open_and_io	test_open_and_io	implementation-helper	test_open_and_io	pending-language-review
test_paths	test_paths	implementation-helper	test_path_operations	pending-language-review
test_terminal_and_uname	test_terminal_and_uname	implementation-helper	test_terminal_and_system_identity	pending-language-review
text_equal	text_equal	implementation-helper	text_is_equal	pending-language-review
text_length	text_length	implementation-helper	text_byte_length	pending-language-review
waited	waited	implementation-helper	waited_process	pending-language-review
