compiler_identifier	native_identifier
ULONG_MAX	無號長整數最大值
USHRT_MAX	無號短整數最大值
WEXITSTATUS	提取結束值
WIFEXITED	檢查正常結束
WNOHANG	未就緒則不等待
W_OK	檢查寫入權限
X_OK	檢查執行權限
_LIBC_ARPA_INET_H	_宣告_通訊位址_位元組順序
_LIBC_CTYPE_H	_宣告_字元分類
_LIBC_ERRNO_H	_宣告_錯誤編號
_LIBC_FCNTL_H	_宣告_檔案控制
_LIBC_LIMITS_H	_宣告_整數極限
_LIBC_NETINET_IN_H	_宣告_互聯網路_位址
_LIBC_STDDEF_H	_宣告_基本定義
_LIBC_STDINT_H	_宣告_整數型別
_LIBC_STDLIB_H	_宣告_通用函式
_LIBC_STRINGS_H	_宣告_字串大小寫比較
_LIBC_STRING_H	_宣告_字串與記憶內容
_LIBC_SYSCALL_H	_宣告_系統_系統呼叫
_LIBC_SYS_SOCKET_H	_宣告_系統_通訊端點
_LIBC_SYS_STAT_H	_宣告_系統_檔案狀態
_LIBC_SYS_TYPES_H	_宣告_系統_資料型別
_LIBC_SYS_UTSNAME_H	_宣告_系統_系統身分
_LIBC_SYS_WAIT_H	_宣告_系統_子行程等待
_LIBC_UNISTD_H	_宣告_輸入輸出與執行
__posix_library_test	測試函式集行為
_exit	立即結束
a	傳值陣列
a1	第一引數
a2	第二引數
a3	第三引數
a4	第四引數
a5	第五引數
a6	第六引數
abs	取得整數絕對值
accept	接受連線
access	檢查存取權限
address	位址
address_len	位址大小
address_length	位址長度
argc	引數數量
args	可變引數
args_fail	引數檢查失敗
args_pass	引數檢查成功
argument	引數值
argv	引數列表_2
atoi	將十進字串讀為整數
atol	將十進字串讀為長整數
available	可用旗標
b	第二值
backlog	等待上限
bind	繫結本地位址
blkcnt_t	區塊數量型別
blksize_t	區塊大小型別
brk	設定動態記憶末端
bsearch	在有序陣列中二分搜尋
bss_zeroed	未初始化資料清零
buf	緩衝區域
byte	位元組值
bytes	位元組陣列
c	第三值
call	通訊呼叫編號
calloc	配置清零陣列空間
chdir	切換工作目錄
checks	檢查次數
child	子項位置
client	請求端點
cloexec_fail	程式替換時關閉失敗
cloexec_pass	程式替換時關閉成功
close	關閉
cmd	控制命令
compare	比較函式
compare_int	比較整數
connect	連接對端
copy	複製值
copy_length	複製長度
count	數量
creat	建立檔案
cursor	目前位置_2
cwd	工作目錄
decoded	解碼值
delimiters	分隔值集合
dest_addr	目的位址
dest_len	目的位址長度
destination	目標位置
dev_t	裝置編號型別
digit	數字值
digit_value	取得數字值
div	取得整數商餘數
div_t	整數除法結果型別
domain	位址族
dup	複製開啟檔案參照
dup2	按指定編號複製檔案參照
element_size	元素大小
elements	元素陣列
end_pointer	轉換末端位址
environ	環境變數列表
envp	環境列表
errno	錯誤編號
execve	替換執行內容
expected_errno	預期錯誤編號
failed_with	檢查是否指定錯誤
failure	失敗旗標
failures	失敗次數
fcntl	控制檔案
fd	檔案描述編號
first	首項
first_match	首次匹配位置
flags	處理旗標
fork	分出子行程
found	找到位置
free	釋放記憶空間
fstat	取得開啟檔案狀態
fsync	同步檔案記錄
getcwd	取得工作目錄路徑
getegid	取得有效群組編號
getenv	取得環境變數值
geteuid	取得有效使用者編號
getgid	取得群組編號
getpeername	取得對端位址
getpid	取得行程編號
getppid	取得父行程編號
getsockname	取得本地端點位址
getuid	取得使用者編號
gid_t	群組編號型別
heap_block	記憶區塊
heap_head	首個區塊
high	上界
hole	下沉位置
hostlong	主機順序32位值
hostshort	主機順序16位值
how	關閉方向
htonl	轉為網路次序32位
htons	轉為網路次序16位
i	項目索引
in_addr	互聯網路位址
in_addr_t	互聯網路位址值型別
in_port_t	通訊埠編號型別
increment	增量
index	索引
ino_t	檔案唯一編號型別
int16_t	有號16位整數
int32_t	有號32位整數
int64_t	有號64位整數
int8_t	有號8位整數
intptr_t	位址寬度有號整數
is_unsigned	無號旗標
isalnum	檢查是否字母或數字
isalpha	檢查是否字母
isatty	檢查是否終端
isblank	檢查是否水平空白
iscntrl	檢查是否控制字元
isdigit	檢查是否十進數字
isgraph	檢查是否非空白可印字元
islower	檢查是否小寫字母
isprint	檢查是否可印字元
ispunct	檢查是否標點符號
isspace	檢查是否空白字元
isupper	檢查是否大寫字母
isxdigit	檢查是否十六進數字
iteration	迭代次數
labs	取得長整數絕對值
last_block	最後區塊
ldiv	取得長整數商餘數
ldiv_t	長整數除法結果型別
length_of	取得文字長度
level	設定層級
limit	上限
listen	準備接收連線
loaded	載入值
low	下界
lseek	移動讀寫位置
lstat	取得連結自身狀態
m	檢查方式
machine	機器類型
magnitude	數值大小
malloc	配置記憶空間
maximum	最大值
memchr	在記憶中尋找值
memcmp	比較記憶內容
memcpy	複製記憶內容
memmove	允許重疊移動記憶內容
memory	記憶體區域
memset	以值填滿記憶區域
middle	中間位置
mode	存取方式
mode_t	檔案模式型別
n	呼叫種類
negative	負數旗標
netlong	網路順序32位值
netshort	網路順序16位值
newfd	新描述編號
next_block	下一區塊
nlink_t	硬連結數量型別
nodename	節點名稱
ntohl	轉為主機次序32位
ntohs	轉為主機次序16位
off_t	檔案位置型別
offset	位移
oflag	開啟選項
old	原有值
oldfd	原描述編號
open	開啟
option_len	選項長度
option_name	選項名稱
option_value	選項值
options	選項
padding	對齊填補長度
parent	父行程
parse_unsigned	解析無號數
pass	檢查通過
passed	通過旗標
pid	行程編號
pid_t	行程編號型別
posix_compile_test	宣告編譯試驗
posix_test_heap	動態記憶體行為試驗
posix_test_process	行程行為試驗
private_value	行程私有值
protocol	通訊協定
ptrdiff_t	指標差型別
qsort	依比較規則排序
quot	商值
radix	基數
raw	配置原位址
read	讀取
realloc	調整記憶空間大小
reap_nohang	不等待回收子行程
recv	接收
recvfrom	接收並取得來源位址
release	系統發行版
rem	餘數
remaining	剩餘數
report	報告結果
requested	要求末端
result	結果
root	根路徑
s	受檢資料
s_addr	位址值
sa_data	位址資料
sa_family	端點位址族
sa_family_t	位址族型別
saved_environment	保存環境列表
saved_errno	保存錯誤編號
saved_state	保存進度狀態
say	寫出訊息
sbrk	移動動態記憶末端
second	第二項
send	傳送
sendto	向目的位址傳送
server	回應端點
server_address	回應端點位址
setsockopt	設定通訊端點選項
shutdown	關閉通訊方向
sift_down	向下調整排序
sin_addr	互聯位址內容
sin_family	互聯位址族
sin_port	通訊埠編號
sin_zero	位址填補區
size_t	大小型別
sockaddr	通訊端點位址
sockaddr_in	互聯網路端點位址
socket	建立通訊端點
socket_call	呼叫通訊端點
socklen_t	位址長度型別
source	來源位置
source_length	來源位址大小
spin	迴圈輪次
spins	迴圈次數
ssize_t	有號大小型別
st	狀態資料
st_atime	最後存取時間
st_atimensec	最後存取奈秒
st_blksize	建議讀寫區塊大小
st_blocks	已配置區塊數量
st_ctime	最後狀態變更時間
st_ctimensec	最後狀態變更奈秒
st_dev	所屬裝置編號
st_gid	擁有者群組編號
st_ino	檔案唯一編號
st_mode	檔案類型與權限
st_mtime	最後內容修改時間
st_mtimensec	最後內容修改奈秒
st_nlink	硬連結數量
st_rdev	代表裝置編號
st_size	檔案大小
st_uid	擁有者使用者編號
start	起始位置
stat	檔案狀態
stpcpy	複製字串並取得末端
stpncpy	定長填補複製並取得末端
strcasecmp	忽略大小寫比較字串
strcat	附加字串
strchr	尋找字串首個值
strcmp	比較字串
strcoll	依排序規則比較字串
strcpy	複製字串
strcspn	取得無排除值前綴長度
strdup	在新空間複製字串
strlen	取得字串位元組數
strncasecmp	限長忽略大小寫比較字串
strncat	限長附加字串
strncmp	限長比較字串
strncpy	定長填補複製字串
strndup	限長在新空間複製字串
strnlen	取得限長字串位元組數
strpbrk	尋找字串中的集合值
strrchr	尋找字串最後值
strspn	取得允許值前綴長度
strstr	尋找子字串
strtok	分割字串詞段
strtok_r	指定狀態分割字串詞段
strtol	將字串讀為長整數
strtoul	將字串讀為無號長整數
strxfrm	產生字串排序鍵
swap_elements	交換元素
sync	同步全部記錄
sysname	系統名稱
target	目標值
temporary	暫存值
test_dup_and_fcntl	描述編號複製與控制試驗
test_identity	執行身分試驗
test_line	失敗行號
test_open_and_io	開啟與讀寫試驗
test_paths	路徑操作試驗
test_terminal_and_uname	終端與系統資訊試驗
time_t	時間值型別
tolower	轉換為小寫
total	總長度
toupper	轉換為大寫
type	端點類型
uid_t	使用者編號型別
uint16_t	無號16位整數
uint32_t	無號32位整數
uint64_t	無號64位整數
uint8_t	無號8位整數
uintptr_t	位址寬度無號整數
uname	取得系統資訊
utsname	系統身分資訊
version	系統修訂版
wait	等待子行程
waited	已等待行程
waitpid	等待指定子行程
whence	位置基準
write	寫入
