original	native
asm/gdt.inc	きかいきどう/gdt.inc
asm/go_asm_offsets.inc	きかいきどう/goasmoffset.inc
asm/multiboot_header.s	きかいきどう/multibootへっだ.s
asm/rt0.s	きかいきどう/rt0.s
go.sh	ちゅうかくほんやく.sh
linker.ld	れんけつはいち.ld
tools/decode-virtualbox-log.sh	ほじょどうぐ/ちょくれつきろくかいせき.sh
tools/offsets.go	ほじょどうぐ/こうぞうへんい.go
userland/posix/Makefile	りようしゃりょういき/posix/Makefile
userland/posix/TEST_RESULTS.md	りようしゃりょういき/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	りようしゃりょういき/posix/せんげんしゅう/arpa/inet.h
userland/posix/include/engos/syscall.h	りようしゃりょういき/posix/せんげんしゅう/sys/syscall.h
userland/posix/include/errno.h	りようしゃりょういき/posix/せんげんしゅう/errno.h
userland/posix/include/fcntl.h	りようしゃりょういき/posix/せんげんしゅう/fcntl.h
userland/posix/include/netinet/in.h	りようしゃりょういき/posix/せんげんしゅう/netinet/in.h
userland/posix/include/stddef.h	りようしゃりょういき/posix/せんげんしゅう/stddef.h
userland/posix/include/stdint.h	りようしゃりょういき/posix/せんげんしゅう/stdint.h
userland/posix/include/sys/socket.h	りようしゃりょういき/posix/せんげんしゅう/sys/socket.h
userland/posix/include/sys/stat.h	りようしゃりょういき/posix/せんげんしゅう/sys/stat.h
userland/posix/include/sys/types.h	りようしゃりょういき/posix/せんげんしゅう/sys/types.h
userland/posix/include/sys/utsname.h	りようしゃりょういき/posix/せんげんしゅう/sys/utsname.h
userland/posix/include/sys/wait.h	りようしゃりょういき/posix/せんげんしゅう/sys/wait.h
userland/posix/include/unistd.h	りようしゃりょういき/posix/せんげんしゅう/unistd.h
userland/posix/linker.ld	りようしゃりょういき/posix/れんけつはいち.ld
userland/posix/src/crt0.S	りようしゃりょういき/posix/じっそう/きどう.S
userland/posix/src/errno.c	りようしゃりょういき/posix/じっそう/えらーばんごう.c
userland/posix/src/fcntl.c	りようしゃりょういき/posix/じっそう/ふぁいるせいぎょ.c
userland/posix/src/socket.c	りようしゃりょういき/posix/じっそう/socket.c
userland/posix/src/stat.c	りようしゃりょういき/posix/じっそう/ふぁいるじょうたい.c
userland/posix/src/syscall.S	りようしゃりょういき/posix/じっそう/たいけいよびだし.S
userland/posix/src/unistd.c	りようしゃりょういき/posix/じっそう/unistd.c
userland/posix/tests/compile.c	りようしゃりょういき/posix/しけん/compile.c
userland/posix/tests/exec_runtime.c	りようしゃりょういき/posix/しけん/exec_runtime.c
userland/posix/tests/exec_target.c	りようしゃりょういき/posix/しけん/exec_target.c
userland/posix/tests/fork_runtime.c	りようしゃりょういき/posix/しけん/fork_runtime.c
userland/posix/tests/heap_runtime.c	りようしゃりょういき/posix/しけん/heap_runtime.c
userland/posix/tests/runtime.c	りようしゃりょういき/posix/しけん/runtime.c
userland/posix/tests/socket_runtime.c	りようしゃりょういき/posix/しけん/socket_runtime.c
userland/posix/tests/stdin_runtime.c	りようしゃりょういき/posix/しけん/stdin_runtime.c
