edition	language	directory	private_identifiers	native_proposals	pending_identifiers	host_native_proposals	native_command_aliases	linguistic_review
COM	ar	나라/COM/مفسر_الأوامر	68	68	0	8	12	incomplete
CPV	pt	나라/CPV/interpretador_de_comandos	68	68	0	8	12	incomplete
CRI	es	나라/CRI/intérprete_de_órdenes	68	68	0	8	12	incomplete
CUB	es	나라/CUB/intérprete_de_órdenes	68	68	0	8	12	incomplete
CUW	pap	나라/CUW/command_interpreter	68	0	68	0	0	incomplete
CXR	en	나라/CXR/command_interpreter	68	68	0	8	12	incomplete
CYM	en	나라/CYM/command_interpreter	68	68	0	8	12	incomplete
CYP	el	나라/CYP/command_interpreter	68	0	68	0	0	incomplete
CZE	cs	나라/CZE/interpret_příkazů	68	68	0	8	12	incomplete
DEU	de	나라/DEU/Befehlsauswerter	68	68	0	8	12	incomplete
DJI	ar	나라/DJI/مفسر_الأوامر	68	68	0	8	12	incomplete
DMA	en	나라/DMA/command_interpreter	68	68	0	8	12	incomplete
DNK	da	나라/DNK/command_interpreter	68	0	68	0	0	incomplete
DOM	es	나라/DOM/intérprete_de_órdenes	68	68	0	8	12	incomplete
DZA	ar	나라/DZA/مفسر_الأوامر	68	68	0	8	12	incomplete
ECU	es	나라/ECU/intérprete_de_órdenes	68	68	0	8	12	incomplete
EGY	ar	나라/EGY/مفسر_الأوامر	68	68	0	8	12	incomplete
ERI	ti	나라/ERI/command_interpreter	68	0	68	0	0	incomplete
ESH	ar	나라/ESH/مفسر_الأوامر	68	68	0	8	12	incomplete
ESP	es	나라/ESP/intérprete_de_órdenes	68	68	0	8	12	incomplete
EST	et	나라/EST/command_interpreter	68	0	68	0	0	incomplete
ETH	am	나라/ETH/command_interpreter	68	0	68	0	0	incomplete
FIN	fi	나라/FIN/komentotulkki	68	68	0	8	12	incomplete
FJI	en	나라/FJI/command_interpreter	68	68	0	8	12	incomplete
FLK	en	나라/FLK/command_interpreter	68	68	0	8	12	incomplete
FRA	fr	나라/FRA/interpréteur_de_commandes	68	68	0	8	12	incomplete
FRO	fo	나라/FRO/command_interpreter	68	0	68	0	0	incomplete
FSM	en	나라/FSM/command_interpreter	68	68	0	8	12	incomplete
GAB	fr	나라/GAB/interpréteur_de_commandes	68	68	0	8	12	incomplete
GBR	en	나라/GBR/command_interpreter	68	68	0	8	12	incomplete
GEO	ka	나라/GEO/command_interpreter	68	0	68	0	0	incomplete
GGY	en	나라/GGY/command_interpreter	68	68	0	8	12	incomplete
GHA	en	나라/GHA/command_interpreter	68	68	0	8	12	incomplete
GIB	en	나라/GIB/command_interpreter	68	68	0	8	12	incomplete
GIN	fr	나라/GIN/interpréteur_de_commandes	68	68	0	8	12	incomplete
GLP	fr	나라/GLP/interpréteur_de_commandes	68	68	0	8	12	incomplete
GMB	en	나라/GMB/command_interpreter	68	68	0	8	12	incomplete
GNB	pt	나라/GNB/interpretador_de_comandos	68	68	0	8	12	incomplete
GNQ	es	나라/GNQ/intérprete_de_órdenes	68	68	0	8	12	incomplete
GRC	el	나라/GRC/command_interpreter	68	0	68	0	0	incomplete
GRD	en	나라/GRD/command_interpreter	68	68	0	8	12	incomplete
GRL	kl	나라/GRL/command_interpreter	68	0	68	0	0	incomplete
GTM	es	나라/GTM/intérprete_de_órdenes	68	68	0	8	12	incomplete
GUF	fr	나라/GUF/interpréteur_de_commandes	68	68	0	8	12	incomplete
GUM	en	나라/GUM/command_interpreter	68	68	0	8	12	incomplete
GUY	en	나라/GUY/command_interpreter	68	68	0	8	12	incomplete
HKG	zh_Hant	나라/HKG/命令解譯器	68	68	0	8	12	incomplete
HMD	und	나라/HMD/command_interpreter	68	0	68	0	0	incomplete
HND	es	나라/HND/intérprete_de_órdenes	68	68	0	8	12	incomplete
HRV	hr	나라/HRV/command_interpreter	68	0	68	0	0	incomplete
HTI	ht	나라/HTI/command_interpreter	68	0	68	0	0	incomplete
HUN	hu	나라/HUN/command_interpreter	68	0	68	0	0	incomplete
IDN	id	나라/IDN/penafsir_perintah	68	68	0	8	12	incomplete
IMN	en	나라/IMN/command_interpreter	68	68	0	8	12	incomplete
IND	hi	나라/IND/आदेश_व्याख्याकार	68	68	0	8	12	incomplete
IOT	en	나라/IOT/command_interpreter	68	68	0	8	12	incomplete
IRL	en	나라/IRL/command_interpreter	68	68	0	8	12	incomplete
IRN	fa	나라/IRN/command_interpreter	68	0	68	0	0	incomplete
IRQ	ar	나라/IRQ/مفسر_الأوامر	68	68	0	8	12	incomplete
ISL	is	나라/ISL/command_interpreter	68	0	68	0	0	incomplete
ISR	he	나라/ISR/command_interpreter	68	0	68	0	0	incomplete
ITA	it	나라/ITA/interprete_dei_comandi	68	68	0	8	12	incomplete
JAM	en	나라/JAM/command_interpreter	68	68	0	8	12	incomplete
JEY	en	나라/JEY/command_interpreter	68	68	0	8	12	incomplete
JOR	ar	나라/JOR/مفسر_الأوامر	68	68	0	8	12	incomplete
JPN	ja	나라/JPN/命令解釈器	68	68	0	8	12	incomplete
KAZ	ru	나라/KAZ/интерпретатор_команд	68	68	0	8	12	incomplete
KEN	sw	나라/KEN/command_interpreter	68	0	68	0	0	incomplete
KGZ	ky_Cyrl	나라/KGZ/command_interpreter	68	0	68	0	0	incomplete
KHM	km	나라/KHM/command_interpreter	68	0	68	0	0	incomplete
KIR	en	나라/KIR/command_interpreter	68	68	0	8	12	incomplete
KNA	en	나라/KNA/command_interpreter	68	68	0	8	12	incomplete
KOR	ko	나라/KOR/명령해석기	68	68	0	8	12	incomplete
KWT	ar	나라/KWT/مفسر_الأوامر	68	68	0	8	12	incomplete
LAO	lo	나라/LAO/command_interpreter	68	0	68	0	0	incomplete
LBN	ar	나라/LBN/مفسر_الأوامر	68	68	0	8	12	incomplete
LBR	en	나라/LBR/command_interpreter	68	68	0	8	12	incomplete
LBY	ar	나라/LBY/مفسر_الأوامر	68	68	0	8	12	incomplete
LCA	en	나라/LCA/command_interpreter	68	68	0	8	12	incomplete
LIE	de	나라/LIE/Befehlsauswerter	68	68	0	8	12	incomplete
LKA	si	나라/LKA/command_interpreter	68	0	68	0	0	incomplete
LSO	st	나라/LSO/command_interpreter	68	0	68	0	0	incomplete
LTU	lt	나라/LTU/command_interpreter	68	0	68	0	0	incomplete
LUX	fr	나라/LUX/interpréteur_de_commandes	68	68	0	8	12	incomplete
LVA	lv	나라/LVA/command_interpreter	68	0	68	0	0	incomplete
MAC	zh_Hant	나라/MAC/命令解譯器	68	68	0	8	12	incomplete
MAF	fr	나라/MAF/interpréteur_de_commandes	68	68	0	8	12	incomplete
MAR	ar	나라/MAR/مفسر_الأوامر	68	68	0	8	12	incomplete
MCO	fr	나라/MCO/interpréteur_de_commandes	68	68	0	8	12	incomplete
MDA	ro	나라/MDA/command_interpreter	68	0	68	0	0	incomplete
MDG	mg	나라/MDG/command_interpreter	68	0	68	0	0	incomplete
MDV	dv	나라/MDV/command_interpreter	68	0	68	0	0	incomplete
MEX	es	나라/MEX/intérprete_de_órdenes	68	68	0	8	12	incomplete
MHL	en	나라/MHL/command_interpreter	68	68	0	8	12	incomplete
MKD	mk	나라/MKD/command_interpreter	68	0	68	0	0	incomplete
MLI	fr	나라/MLI/interpréteur_de_commandes	68	68	0	8	12	incomplete
MLT	mt	나라/MLT/command_interpreter	68	0	68	0	0	incomplete
MMR	my	나라/MMR/command_interpreter	68	0	68	0	0	incomplete
MNE	sr_Latn	나라/MNE/command_interpreter	68	0	68	0	0	incomplete
MNG	mn_Cyrl	나라/MNG/command_interpreter	68	0	68	0	0	incomplete
MNP	en	나라/MNP/command_interpreter	68	68	0	8	12	incomplete
MOZ	pt	나라/MOZ/interpretador_de_comandos	68	68	0	8	12	incomplete
MRT	ar	나라/MRT/مفسر_الأوامر	68	68	0	8	12	incomplete
MSR	en	나라/MSR/command_interpreter	68	68	0	8	12	incomplete
MTQ	fr	나라/MTQ/interpréteur_de_commandes	68	68	0	8	12	incomplete
MUS	en	나라/MUS/command_interpreter	68	68	0	8	12	incomplete
MWI	en	나라/MWI/command_interpreter	68	68	0	8	12	incomplete
MYS	ms_Latn	나라/MYS/pentafsir_perintah	68	68	0	8	12	incomplete
MYT	fr	나라/MYT/interpréteur_de_commandes	68	68	0	8	12	incomplete
NAM	en	나라/NAM/command_interpreter	68	68	0	8	12	incomplete
NCL	fr	나라/NCL/interpréteur_de_commandes	68	68	0	8	12	incomplete
NER	fr	나라/NER/interpréteur_de_commandes	68	68	0	8	12	incomplete
NFK	en	나라/NFK/command_interpreter	68	68	0	8	12	incomplete
NGA	en	나라/NGA/command_interpreter	68	68	0	8	12	incomplete
NIC	es	나라/NIC/intérprete_de_órdenes	68	68	0	8	12	incomplete
NIU	en	나라/NIU/command_interpreter	68	68	0	8	12	incomplete
NLD	nl	나라/NLD/opdrachtvertolker	68	68	0	8	12	incomplete
NOR	nb	나라/NOR/command_interpreter	68	0	68	0	0	incomplete
NPL	ne	나라/NPL/command_interpreter	68	0	68	0	0	incomplete
NRU	en	나라/NRU/command_interpreter	68	68	0	8	12	incomplete
NZL	en	나라/NZL/command_interpreter	68	68	0	8	12	incomplete
OMN	ar	나라/OMN/مفسر_الأوامر	68	68	0	8	12	incomplete
PAK	ur	나라/PAK/حکم_کی_تشریح_کرنے_والا	68	68	0	8	12	incomplete
PAN	es	나라/PAN/intérprete_de_órdenes	68	68	0	8	12	incomplete
PCN	en	나라/PCN/command_interpreter	68	68	0	8	12	incomplete
PER	es	나라/PER/intérprete_de_órdenes	68	68	0	8	12	incomplete
PHL	en	나라/PHL/command_interpreter	68	68	0	8	12	incomplete
PLW	pau	나라/PLW/command_interpreter	68	0	68	0	0	incomplete
PNG	tpi	나라/PNG/command_interpreter	68	0	68	0	0	incomplete
POL	pl	나라/POL/interpretator_poleceń	68	68	0	8	12	incomplete
PRI	es	나라/PRI/intérprete_de_órdenes	68	68	0	8	12	incomplete
PRK	ko	나라/PRK/명령해석기	68	68	0	8	12	incomplete
PRT	pt	나라/PRT/interpretador_de_comandos	68	68	0	8	12	incomplete
PRY	gn	나라/PRY/command_interpreter	68	0	68	0	0	incomplete
PSE	ar	나라/PSE/مفسر_الأوامر	68	68	0	8	12	incomplete
PYF	fr	나라/PYF/interpréteur_de_commandes	68	68	0	8	12	incomplete
QAT	ar	나라/QAT/مفسر_الأوامر	68	68	0	8	12	incomplete
REU	fr	나라/REU/interpréteur_de_commandes	68	68	0	8	12	incomplete
ROU	ro	나라/ROU/command_interpreter	68	0	68	0	0	incomplete
RUS	ru	나라/RUS/интерпретатор_команд	68	68	0	8	12	incomplete
RWA	rw	나라/RWA/command_interpreter	68	0	68	0	0	incomplete
SAU	ar	나라/SAU/مفسر_الأوامر	68	68	0	8	12	incomplete
SDN	ar	나라/SDN/مفسر_الأوامر	68	68	0	8	12	incomplete
SEN	wo	나라/SEN/command_interpreter	68	0	68	0	0	incomplete
SGP	en	나라/SGP/command_interpreter	68	68	0	8	12	incomplete
SGS	und	나라/SGS/command_interpreter	68	0	68	0	0	incomplete
SHN	en	나라/SHN/command_interpreter	68	68	0	8	12	incomplete
SJM	nb	나라/SJM/command_interpreter	68	0	68	0	0	incomplete
SLB	en	나라/SLB/command_interpreter	68	68	0	8	12	incomplete
SLE	en	나라/SLE/command_interpreter	68	68	0	8	12	incomplete
SLV	es	나라/SLV/intérprete_de_órdenes	68	68	0	8	12	incomplete
SMR	it	나라/SMR/interprete_dei_comandi	68	68	0	8	12	incomplete
SOM	so	나라/SOM/command_interpreter	68	0	68	0	0	incomplete
SPM	fr	나라/SPM/interpréteur_de_commandes	68	68	0	8	12	incomplete
SRB	sr_Cyrl	나라/SRB/command_interpreter	68	0	68	0	0	incomplete
SSD	en	나라/SSD/command_interpreter	68	68	0	8	12	incomplete
STP	pt	나라/STP/interpretador_de_comandos	68	68	0	8	12	incomplete
SUR	nl	나라/SUR/opdrachtvertolker	68	68	0	8	12	incomplete
SVK	sk	나라/SVK/command_interpreter	68	0	68	0	0	incomplete
SVN	sl	나라/SVN/command_interpreter	68	0	68	0	0	incomplete
SWE	sv	나라/SWE/kommandotolk	68	68	0	8	12	incomplete
SWZ	en	나라/SWZ/command_interpreter	68	68	0	8	12	incomplete
SXM	en	나라/SXM/command_interpreter	68	68	0	8	12	incomplete
SYC	fr	나라/SYC/interpréteur_de_commandes	68	68	0	8	12	incomplete
SYR	ar	나라/SYR/مفسر_الأوامر	68	68	0	8	12	incomplete
TCA	en	나라/TCA/command_interpreter	68	68	0	8	12	incomplete
TCD	fr	나라/TCD/interpréteur_de_commandes	68	68	0	8	12	incomplete
TGO	fr	나라/TGO/interpréteur_de_commandes	68	68	0	8	12	incomplete
THA	th	나라/THA/command_interpreter	68	0	68	0	0	incomplete
TJK	tg_Cyrl	나라/TJK/command_interpreter	68	0	68	0	0	incomplete
TKL	en	나라/TKL/command_interpreter	68	68	0	8	12	incomplete
TKM	tk_Latn	나라/TKM/command_interpreter	68	0	68	0	0	incomplete
TLS	pt	나라/TLS/interpretador_de_comandos	68	68	0	8	12	incomplete
TON	to	나라/TON/command_interpreter	68	0	68	0	0	incomplete
TTO	en	나라/TTO/command_interpreter	68	68	0	8	12	incomplete
TUN	ar	나라/TUN/مفسر_الأوامر	68	68	0	8	12	incomplete
TUR	tr	나라/TUR/komut_yorumlayıcı	68	68	0	8	12	incomplete
TUV	tvl	나라/TUV/command_interpreter	68	0	68	0	0	incomplete
TWN	zh_Hant	나라/TWN/命令解譯器	68	68	0	8	12	incomplete
TZA	sw	나라/TZA/command_interpreter	68	0	68	0	0	incomplete
UGA	sw	나라/UGA/command_interpreter	68	0	68	0	0	incomplete
UKR	uk	나라/UKR/інтерпретатор_команд	68	68	0	8	12	incomplete
UMI	en	나라/UMI/command_interpreter	68	68	0	8	12	incomplete
URY	es	나라/URY/intérprete_de_órdenes	68	68	0	8	12	incomplete
USA	en	나라/USA/command_interpreter	68	68	0	8	12	incomplete
UZB	uz_Latn	나라/UZB/command_interpreter	68	0	68	0	0	incomplete
VAT	it	나라/VAT/interprete_dei_comandi	68	68	0	8	12	incomplete
VCT	en	나라/VCT/command_interpreter	68	68	0	8	12	incomplete
VEN	es	나라/VEN/intérprete_de_órdenes	68	68	0	8	12	incomplete
VGB	en	나라/VGB/command_interpreter	68	68	0	8	12	incomplete
VIR	en	나라/VIR/command_interpreter	68	68	0	8	12	incomplete
VNM	vi	나라/VNM/bộ_thông_dịch_lệnh	68	68	0	8	12	incomplete
VUT	bi	나라/VUT/command_interpreter	68	0	68	0	0	incomplete
WLF	fr	나라/WLF/interpréteur_de_commandes	68	68	0	8	12	incomplete
WSM	sm	나라/WSM/command_interpreter	68	0	68	0	0	incomplete
YEM	ar	나라/YEM/مفسر_الأوامر	68	68	0	8	12	incomplete
ZAF	en	나라/ZAF/command_interpreter	68	68	0	8	12	incomplete
ZMB	en	나라/ZMB/command_interpreter	68	68	0	8	12	incomplete
ZWE	sn	나라/ZWE/command_interpreter	68	0	68	0	0	incomplete
IND/as_Beng	as_Beng	문자판/IND/as_Beng/command_interpreter	68	0	68	0	0	incomplete
IND/bn_Beng	bn_Beng	문자판/IND/bn_Beng/আদেশ_ব্যাখ্যাকারী	68	68	0	8	12	incomplete
IND/brx_Deva	brx_Deva	문자판/IND/brx_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/doi_Deva	doi_Deva	문자판/IND/doi_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/gu_Gujr	gu_Gujr	문자판/IND/gu_Gujr/command_interpreter	68	0	68	0	0	incomplete
IND/hi_Deva	hi_Deva	문자판/IND/hi_Deva/आदेश_व्याख्याकार	68	68	0	8	12	incomplete
IND/kn_Knda	kn_Knda	문자판/IND/kn_Knda/command_interpreter	68	0	68	0	0	incomplete
IND/ks_Arab	ks_Arab	문자판/IND/ks_Arab/command_interpreter	68	0	68	0	0	incomplete
IND/kok_Deva	kok_Deva	문자판/IND/kok_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/mai_Deva	mai_Deva	문자판/IND/mai_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/ml_Mlym	ml_Mlym	문자판/IND/ml_Mlym/command_interpreter	68	0	68	0	0	incomplete
IND/mni_Mtei	mni_Mtei	문자판/IND/mni_Mtei/command_interpreter	68	0	68	0	0	incomplete
IND/mr_Deva	mr_Deva	문자판/IND/mr_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/ne_Deva	ne_Deva	문자판/IND/ne_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/or_Orya	or_Orya	문자판/IND/or_Orya/command_interpreter	68	0	68	0	0	incomplete
IND/pa_Guru	pa_Guru	문자판/IND/pa_Guru/command_interpreter	68	0	68	0	0	incomplete
IND/sa_Deva	sa_Deva	문자판/IND/sa_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/sat_Olck	sat_Olck	문자판/IND/sat_Olck/command_interpreter	68	0	68	0	0	incomplete
IND/sd_Arab	sd_Arab	문자판/IND/sd_Arab/command_interpreter	68	0	68	0	0	incomplete
IND/ta_Taml	ta_Taml	문자판/IND/ta_Taml/கட்டளை_விளக்கி	68	68	0	8	12	incomplete
IND/te_Telu	te_Telu	문자판/IND/te_Telu/command_interpreter	68	0	68	0	0	incomplete
IND/ur_Arab	ur_Arab	문자판/IND/ur_Arab/حکم_کی_تشریح_کرنے_والا	68	68	0	8	12	incomplete
IND/kok_Latn	kok_Latn	문자판/IND/kok_Latn/command_interpreter	68	0	68	0	0	incomplete
IND/ks_Deva	ks_Deva	문자판/IND/ks_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/mni_Beng	mni_Beng	문자판/IND/mni_Beng/command_interpreter	68	0	68	0	0	incomplete
IND/pa_Arab	pa_Arab	문자판/IND/pa_Arab/command_interpreter	68	0	68	0	0	incomplete
IND/sat_Beng	sat_Beng	문자판/IND/sat_Beng/command_interpreter	68	0	68	0	0	incomplete
IND/sat_Deva	sat_Deva	문자판/IND/sat_Deva/command_interpreter	68	0	68	0	0	incomplete
IND/sd_Deva	sd_Deva	문자판/IND/sd_Deva/command_interpreter	68	0	68	0	0	incomplete
JPN/ja_Jpan	ja_Jpan	문자판/JPN/ja_Jpan/命令解釈器	68	68	0	8	12	incomplete
JPN/ja_Hira	ja_Hira	문자판/JPN/ja_Hira/めいれいかいしゃくき	68	68	0	8	12	incomplete
JPN/ja_Kana	ja_Kana	문자판/JPN/ja_Kana/メイレイカイシャクキ	68	68	0	8	12	incomplete
CHN/zh_Hans	zh_Hans	문자판/CHN/zh_Hans/命令解释器	68	68	0	8	12	incomplete
CHN/zh_Hant	zh_Hant	문자판/CHN/zh_Hant/命令解譯器	68	68	0	8	12	incomplete
HKG/zh_Hans	zh_Hans	문자판/HKG/zh_Hans/命令解释器	68	68	0	8	12	incomplete
HKG/zh_Hant	zh_Hant	문자판/HKG/zh_Hant/命令解譯器	68	68	0	8	12	incomplete
MAC/zh_Hans	zh_Hans	문자판/MAC/zh_Hans/命令解释器	68	68	0	8	12	incomplete
MAC/zh_Hant	zh_Hant	문자판/MAC/zh_Hant/命令解譯器	68	68	0	8	12	incomplete
TWN/zh_Hans	zh_Hans	문자판/TWN/zh_Hans/命令解释器	68	68	0	8	12	incomplete
TWN/zh_Hant	zh_Hant	문자판/TWN/zh_Hant/命令解譯器	68	68	0	8	12	incomplete
SRB/sr_Cyrl	sr_Cyrl	문자판/SRB/sr_Cyrl/command_interpreter	68	0	68	0	0	incomplete
SRB/sr_Latn	sr_Latn	문자판/SRB/sr_Latn/command_interpreter	68	0	68	0	0	incomplete
MNE/sr_Cyrl	sr_Cyrl	문자판/MNE/sr_Cyrl/command_interpreter	68	0	68	0	0	incomplete
MNE/sr_Latn	sr_Latn	문자판/MNE/sr_Latn/command_interpreter	68	0	68	0	0	incomplete
BIH/bs_Cyrl	bs_Cyrl	문자판/BIH/bs_Cyrl/command_interpreter	68	0	68	0	0	incomplete
BIH/bs_Latn	bs_Latn	문자판/BIH/bs_Latn/command_interpreter	68	0	68	0	0	incomplete
