edition	language	source_directory	review_status	renamed_paths	changed_files
GGY	en	source	project-proposal	20	54
GHA	en	source	project-proposal	20	54
GIB	en	source	project-proposal	20	54
GIN	fr	code-source	project-proposal	20	54
GLP	fr	code-source	project-proposal	20	54
GMB	en	source	project-proposal	20	54
GNB	pt	código-fonte	project-proposal	20	54
GNQ	es	código-fuente	project-proposal	20	54
GRC	el	source	pending-language-review	20	54
GRD	en	source	project-proposal	20	54
GRL	kl	source	pending-language-review	20	54
GTM	es	código-fuente	project-proposal	20	54
GUF	fr	code-source	project-proposal	20	54
GUM	en	source	project-proposal	20	54
GUY	en	source	project-proposal	20	54
HKG	zh_Hant	原始碼	project-proposal	20	54
HMD	und	source	pending-language-review	20	54
HND	es	código-fuente	project-proposal	20	54
HRV	hr	source	pending-language-review	20	54
HTI	ht	source	pending-language-review	20	54
HUN	hu	source	pending-language-review	20	54
IDN	id	source	pending-language-review	20	54
IMN	en	source	project-proposal	20	54
IND	hi	मूल-पाठ	project-proposal	20	54
IOT	en	source	project-proposal	20	54
IRL	en	source	project-proposal	20	54
IRN	fa	source	pending-language-review	20	54
IRQ	ar	النص-المصدري	project-proposal	20	54
ISL	is	source	pending-language-review	20	54
ISR	he	source	pending-language-review	20	54
ITA	it	codice-sorgente	project-proposal	20	54
JAM	en	source	project-proposal	20	54
JEY	en	source	project-proposal	20	54
JOR	ar	النص-المصدري	project-proposal	20	54
JPN	ja	原始記述	project-proposal	20	54
KAZ	ru	исходный-код	project-proposal	20	54
KEN	sw	source	pending-language-review	20	54
KGZ	ky_Cyrl	source	pending-language-review	20	54
KHM	km	source	pending-language-review	20	54
KIR	en	source	project-proposal	20	54
KNA	en	source	project-proposal	20	54
KOR	ko	원문	project-proposal	2	16
KWT	ar	النص-المصدري	project-proposal	20	54
LAO	lo	source	pending-language-review	20	54
LBN	ar	النص-المصدري	project-proposal	20	54
LBR	en	source	project-proposal	20	54
LBY	ar	النص-المصدري	project-proposal	20	54
LCA	en	source	project-proposal	20	54
LIE	de	Quelltext	project-proposal	20	54
LKA	si	source	pending-language-review	20	54
LSO	st	source	pending-language-review	20	54
LTU	lt	source	pending-language-review	20	54
LUX	fr	code-source	project-proposal	20	54
LVA	lv	source	pending-language-review	20	54
MAC	zh_Hant	原始碼	project-proposal	20	54
MAF	fr	code-source	project-proposal	20	54
MAR	ar	النص-المصدري	project-proposal	20	54
MCO	fr	code-source	project-proposal	20	54
MDA	ro	source	pending-language-review	20	54
MDG	mg	source	pending-language-review	20	54
MDV	dv	source	pending-language-review	20	54
MEX	es	código-fuente	project-proposal	20	54
MHL	en	source	project-proposal	20	54
MKD	mk	source	pending-language-review	20	54
MLI	fr	code-source	project-proposal	20	54
MLT	mt	source	pending-language-review	20	54
MMR	my	source	pending-language-review	20	54
MNE	sr_Latn	source	pending-language-review	20	54
MNG	mn_Cyrl	source	pending-language-review	20	54
MNP	en	source	project-proposal	20	54
MOZ	pt	código-fonte	project-proposal	20	54
MRT	ar	النص-المصدري	project-proposal	20	54
MSR	en	source	project-proposal	20	54
MTQ	fr	code-source	project-proposal	20	54
MUS	en	source	project-proposal	20	54
MWI	en	source	project-proposal	20	54
MYS	ms_Latn	source	pending-language-review	20	54
MYT	fr	code-source	project-proposal	20	54
NAM	en	source	project-proposal	20	54
NCL	fr	code-source	project-proposal	20	54
NER	fr	code-source	project-proposal	20	54
NFK	en	source	project-proposal	20	54
NGA	en	source	project-proposal	20	54
NIC	es	código-fuente	project-proposal	20	54
NIU	en	source	project-proposal	20	54
NLD	nl	source	pending-language-review	20	54
NOR	nb	source	pending-language-review	20	54
NPL	ne	source	pending-language-review	20	54
NRU	en	source	project-proposal	20	54
NZL	en	source	project-proposal	20	54
OMN	ar	النص-المصدري	project-proposal	20	54
PAK	ur	source	pending-language-review	20	54
PAN	es	código-fuente	project-proposal	20	54
PCN	en	source	project-proposal	20	54
PER	es	código-fuente	project-proposal	20	54
PHL	en	source	project-proposal	20	54
PLW	pau	source	pending-language-review	20	54
PNG	tpi	source	pending-language-review	20	54
POL	pl	source	pending-language-review	20	54
PRI	es	código-fuente	project-proposal	20	54
PRK	ko	원문	project-proposal	2	16
PRT	pt	código-fonte	project-proposal	20	54
PRY	gn	source	pending-language-review	20	54
PSE	ar	النص-المصدري	project-proposal	20	54
PYF	fr	code-source	project-proposal	20	54
QAT	ar	النص-المصدري	project-proposal	20	54
REU	fr	code-source	project-proposal	20	54
ROU	ro	source	pending-language-review	20	54
RUS	ru	исходный-код	project-proposal	20	54
RWA	rw	source	pending-language-review	20	54
SAU	ar	النص-المصدري	project-proposal	20	54
SDN	ar	النص-المصدري	project-proposal	20	54
SEN	wo	source	pending-language-review	20	54
SGP	en	source	project-proposal	20	54
SGS	und	source	pending-language-review	20	54
SHN	en	source	project-proposal	20	54
SJM	nb	source	pending-language-review	20	54
SLB	en	source	project-proposal	20	54
SLE	en	source	project-proposal	20	54
SLV	es	código-fuente	project-proposal	20	54
SMR	it	codice-sorgente	project-proposal	20	54
SOM	so	source	pending-language-review	20	54
SPM	fr	code-source	project-proposal	20	54
SRB	sr_Cyrl	source	pending-language-review	20	54
SSD	en	source	project-proposal	20	54
STP	pt	código-fonte	project-proposal	20	54
SUR	nl	source	pending-language-review	20	54
SVK	sk	source	pending-language-review	20	54
SVN	sl	source	pending-language-review	20	54
SWE	sv	source	pending-language-review	20	54
SWZ	en	source	project-proposal	20	54
SXM	en	source	project-proposal	20	54
SYC	fr	code-source	project-proposal	20	54
SYR	ar	النص-المصدري	project-proposal	20	54
TCA	en	source	project-proposal	20	54
TCD	fr	code-source	project-proposal	20	54
TGO	fr	code-source	project-proposal	20	54
THA	th	source	pending-language-review	20	54
TJK	tg_Cyrl	source	pending-language-review	20	54
TKL	en	source	project-proposal	20	54
TKM	tk_Latn	source	pending-language-review	20	54
TLS	pt	código-fonte	project-proposal	20	54
TON	to	source	pending-language-review	20	54
TTO	en	source	project-proposal	20	54
TUN	ar	النص-المصدري	project-proposal	20	54
TUR	tr	source	pending-language-review	20	54
TUV	tvl	source	pending-language-review	20	54
TWN	zh_Hant	原始碼	project-proposal	20	54
TZA	sw	source	pending-language-review	20	54
UGA	sw	source	pending-language-review	20	54
UKR	uk	source	pending-language-review	20	54
UMI	en	source	project-proposal	20	54
URY	es	código-fuente	project-proposal	20	54
USA	en	source	project-proposal	20	54
UZB	uz_Latn	source	pending-language-review	20	54
VAT	it	codice-sorgente	project-proposal	20	54
VCT	en	source	project-proposal	20	54
VEN	es	código-fuente	project-proposal	20	54
VGB	en	source	project-proposal	20	54
VIR	en	source	project-proposal	20	54
VNM	vi	source	pending-language-review	20	54
VUT	bi	source	pending-language-review	20	54
WLF	fr	code-source	project-proposal	20	54
WSM	sm	source	pending-language-review	20	54
YEM	ar	النص-المصدري	project-proposal	20	54
ZAF	en	source	project-proposal	20	54
ZMB	en	source	project-proposal	20	54
ZWE	sn	source	pending-language-review	20	54
IND/as_Beng	as_Beng	source	pending-language-review	23	60
IND/bn_Beng	bn_Beng	source	pending-language-review	23	60
IND/brx_Deva	brx_Deva	source	pending-language-review	23	60
IND/doi_Deva	doi_Deva	source	pending-language-review	23	60
IND/gu_Gujr	gu_Gujr	source	pending-language-review	23	60
IND/hi_Deva	hi_Deva	मूल-पाठ	project-proposal	23	60
IND/kn_Knda	kn_Knda	source	pending-language-review	23	60
IND/ks_Arab	ks_Arab	source	pending-language-review	23	60
IND/kok_Deva	kok_Deva	source	pending-language-review	23	60
IND/mai_Deva	mai_Deva	source	pending-language-review	23	60
IND/ml_Mlym	ml_Mlym	source	pending-language-review	23	60
IND/mni_Mtei	mni_Mtei	source	pending-language-review	23	60
IND/mr_Deva	mr_Deva	source	pending-language-review	23	60
IND/ne_Deva	ne_Deva	source	pending-language-review	23	60
IND/or_Orya	or_Orya	source	pending-language-review	23	60
IND/pa_Guru	pa_Guru	source	pending-language-review	23	60
IND/sa_Deva	sa_Deva	source	pending-language-review	23	60
IND/sat_Olck	sat_Olck	source	pending-language-review	23	60
IND/sd_Arab	sd_Arab	source	pending-language-review	23	60
IND/ta_Taml	ta_Taml	மூல-உரை	project-proposal	23	60
IND/te_Telu	te_Telu	source	pending-language-review	23	60
IND/ur_Arab	ur_Arab	source	pending-language-review	23	60
IND/kok_Latn	kok_Latn	source	pending-language-review	23	60
IND/ks_Deva	ks_Deva	source	pending-language-review	23	60
IND/mni_Beng	mni_Beng	source	pending-language-review	23	60
IND/pa_Arab	pa_Arab	source	pending-language-review	23	60
IND/sat_Beng	sat_Beng	source	pending-language-review	23	60
IND/sat_Deva	sat_Deva	source	pending-language-review	23	60
IND/sd_Deva	sd_Deva	source	pending-language-review	23	60
JPN/ja_Jpan	ja_Jpan	原始記述	project-proposal	23	60
JPN/ja_Hira	ja_Hira	げんしきじゅつ	project-proposal	23	60
JPN/ja_Kana	ja_Kana	ゲンシキジュツ	project-proposal	23	60
CHN/zh_Hans	zh_Hans	源代码	project-proposal	23	60
CHN/zh_Hant	zh_Hant	原始碼	project-proposal	23	60
HKG/zh_Hans	zh_Hans	源代码	project-proposal	23	60
HKG/zh_Hant	zh_Hant	原始碼	project-proposal	23	60
MAC/zh_Hans	zh_Hans	源代码	project-proposal	23	60
MAC/zh_Hant	zh_Hant	原始碼	project-proposal	23	60
TWN/zh_Hans	zh_Hans	源代码	project-proposal	23	60
TWN/zh_Hant	zh_Hant	原始碼	project-proposal	23	60
SRB/sr_Cyrl	sr_Cyrl	source	pending-language-review	23	60
SRB/sr_Latn	sr_Latn	source	pending-language-review	23	60
MNE/sr_Cyrl	sr_Cyrl	source	pending-language-review	23	60
MNE/sr_Latn	sr_Latn	source	pending-language-review	23	60
BIH/bs_Cyrl	bs_Cyrl	source	pending-language-review	23	60
BIH/bs_Latn	bs_Latn	source	pending-language-review	23	60
