edition	language	directory	named_functions	functions	named_variables	variables
SDN	ar	나라/SDN/posix-SDN	49	107	11	117
SEN	wo	나라/SEN/posix-SEN	2	107	0	117
SGP	en	나라/SGP/posix-SGP	107	107	117	117
SGS	und	나라/SGS/posix-SGS	0	107	0	117
SHN	en	나라/SHN/posix-SHN	107	107	117	117
SJM	nb	나라/SJM/posix-SJM	4	107	0	117
SLB	en	나라/SLB/posix-SLB	107	107	117	117
SLE	en	나라/SLE/posix-SLE	107	107	117	117
SLV	es	나라/SLV/posix-SLV	49	107	11	117
SMR	it	나라/SMR/posix-SMR	4	107	11	117
SOM	so	나라/SOM/posix-SOM	2	107	0	117
SPM	fr	나라/SPM/posix-SPM	49	107	11	117
SRB	sr_Cyrl	나라/SRB/posix-SRB	4	107	0	117
SSD	en	나라/SSD/posix-SSD	107	107	117	117
STP	pt	나라/STP/posix-STP	49	107	11	117
SUR	nl	나라/SUR/posix-SUR	4	107	11	117
SVK	sk	나라/SVK/posix-SVK	4	107	0	117
SVN	sl	나라/SVN/posix-SVN	4	107	0	117
SWE	sv	나라/SWE/posix-SWE	4	107	11	117
SWZ	en	나라/SWZ/posix-SWZ	107	107	117	117
SXM	en	나라/SXM/posix-SXM	107	107	117	117
SYC	fr	나라/SYC/posix-SYC	49	107	11	117
SYR	ar	나라/SYR/posix-SYR	49	107	11	117
TCA	en	나라/TCA/posix-TCA	107	107	117	117
TCD	fr	나라/TCD/posix-TCD	49	107	11	117
TGO	fr	나라/TGO/posix-TGO	49	107	11	117
THA	th	나라/THA/posix-THA	2	107	0	117
TJK	tg_Cyrl	나라/TJK/posix-TJK	4	107	0	117
TKL	en	나라/TKL/posix-TKL	107	107	117	117
TKM	tk_Latn	나라/TKM/posix-TKM	4	107	0	117
TLS	pt	나라/TLS/posix-TLS	49	107	11	117
TON	to	나라/TON/posix-TON	2	107	0	117
TTO	en	나라/TTO/posix-TTO	107	107	117	117
TUN	ar	나라/TUN/posix-TUN	49	107	11	117
TUR	tr	나라/TUR/posix-TUR	4	107	11	117
TUV	tvl	나라/TUV/posix-TUV	2	107	0	117
TWN	zh_Hant	나라/TWN/posix-TWN	107	107	117	117
TZA	sw	나라/TZA/posix-TZA	2	107	0	117
UGA	sw	나라/UGA/posix-UGA	2	107	0	117
UKR	uk	나라/UKR/posix-UKR	4	107	11	117
UMI	en	나라/UMI/posix-UMI	107	107	117	117
URY	es	나라/URY/posix-URY	49	107	11	117
USA	en	나라/USA/posix-USA	107	107	117	117
UZB	uz_Latn	나라/UZB/posix-UZB	4	107	0	117
VAT	it	나라/VAT/posix-VAT	4	107	11	117
VCT	en	나라/VCT/posix-VCT	107	107	117	117
VEN	es	나라/VEN/posix-VEN	49	107	11	117
VGB	en	나라/VGB/posix-VGB	107	107	117	117
VIR	en	나라/VIR/posix-VIR	107	107	117	117
VNM	vi	나라/VNM/posix-VNM	4	107	11	117
VUT	bi	나라/VUT/posix-VUT	2	107	0	117
WLF	fr	나라/WLF/posix-WLF	49	107	11	117
WSM	sm	나라/WSM/posix-WSM	2	107	0	117
YEM	ar	나라/YEM/posix-YEM	49	107	11	117
ZAF	en	나라/ZAF/posix-ZAF	107	107	117	117
ZMB	en	나라/ZMB/posix-ZMB	107	107	117	117
ZWE	sn	나라/ZWE/posix-ZWE	2	107	0	117
IND/as_Beng	as_Beng	문자판/IND/as_Beng/posix-IND	2	107	1	117
IND/bn_Beng	bn_Beng	문자판/IND/bn_Beng/posix-IND	2	107	11	117
IND/brx_Deva	brx_Deva	문자판/IND/brx_Deva/posix-IND	2	107	0	117
IND/doi_Deva	doi_Deva	문자판/IND/doi_Deva/posix-IND	2	107	0	117
IND/gu_Gujr	gu_Gujr	문자판/IND/gu_Gujr/posix-IND	2	107	1	117
IND/hi_Deva	hi_Deva	문자판/IND/hi_Deva/posix-IND	49	107	11	117
IND/kn_Knda	kn_Knda	문자판/IND/kn_Knda/posix-IND	2	107	1	117
IND/ks_Arab	ks_Arab	문자판/IND/ks_Arab/posix-IND	2	107	0	117
IND/kok_Deva	kok_Deva	문자판/IND/kok_Deva/posix-IND	2	107	0	117
IND/mai_Deva	mai_Deva	문자판/IND/mai_Deva/posix-IND	2	107	1	117
IND/ml_Mlym	ml_Mlym	문자판/IND/ml_Mlym/posix-IND	2	107	1	117
IND/mni_Mtei	mni_Mtei	문자판/IND/mni_Mtei/posix-IND	2	107	0	117
IND/mr_Deva	mr_Deva	문자판/IND/mr_Deva/posix-IND	2	107	1	117
IND/ne_Deva	ne_Deva	문자판/IND/ne_Deva/posix-IND	2	107	1	117
IND/or_Orya	or_Orya	문자판/IND/or_Orya/posix-IND	2	107	1	117
IND/pa_Guru	pa_Guru	문자판/IND/pa_Guru/posix-IND	2	107	1	117
IND/sa_Deva	sa_Deva	문자판/IND/sa_Deva/posix-IND	2	107	1	117
IND/sat_Olck	sat_Olck	문자판/IND/sat_Olck/posix-IND	2	107	0	117
IND/sd_Arab	sd_Arab	문자판/IND/sd_Arab/posix-IND	2	107	0	117
IND/ta_Taml	ta_Taml	문자판/IND/ta_Taml/posix-IND	49	107	11	117
IND/te_Telu	te_Telu	문자판/IND/te_Telu/posix-IND	2	107	1	117
IND/ur_Arab	ur_Arab	문자판/IND/ur_Arab/posix-IND	2	107	11	117
IND/kok_Latn	kok_Latn	문자판/IND/kok_Latn/posix-IND	2	107	0	117
IND/ks_Deva	ks_Deva	문자판/IND/ks_Deva/posix-IND	2	107	0	117
IND/mni_Beng	mni_Beng	문자판/IND/mni_Beng/posix-IND	2	107	0	117
IND/pa_Arab	pa_Arab	문자판/IND/pa_Arab/posix-IND	2	107	0	117
IND/sat_Beng	sat_Beng	문자판/IND/sat_Beng/posix-IND	2	107	0	117
IND/sat_Deva	sat_Deva	문자판/IND/sat_Deva/posix-IND	2	107	0	117
IND/sd_Deva	sd_Deva	문자판/IND/sd_Deva/posix-IND	2	107	0	117
JPN/ja_Jpan	ja_Jpan	문자판/JPN/ja_Jpan/posix-JPN	107	107	117	117
JPN/ja_Hira	ja_Hira	문자판/JPN/ja_Hira/posix-JPN	107	107	117	117
JPN/ja_Kana	ja_Kana	문자판/JPN/ja_Kana/posix-JPN	107	107	117	117
CHN/zh_Hans	zh_Hans	문자판/CHN/zh_Hans/posix-CHN	107	107	117	117
CHN/zh_Hant	zh_Hant	문자판/CHN/zh_Hant/posix-CHN	107	107	117	117
HKG/zh_Hans	zh_Hans	문자판/HKG/zh_Hans/posix-HKG	107	107	117	117
HKG/zh_Hant	zh_Hant	문자판/HKG/zh_Hant/posix-HKG	107	107	117	117
MAC/zh_Hans	zh_Hans	문자판/MAC/zh_Hans/posix-MAC	107	107	117	117
MAC/zh_Hant	zh_Hant	문자판/MAC/zh_Hant/posix-MAC	107	107	117	117
TWN/zh_Hans	zh_Hans	문자판/TWN/zh_Hans/posix-TWN	107	107	117	117
TWN/zh_Hant	zh_Hant	문자판/TWN/zh_Hant/posix-TWN	107	107	117	117
SRB/sr_Cyrl	sr_Cyrl	문자판/SRB/sr_Cyrl/posix-SRB	4	107	0	117
SRB/sr_Latn	sr_Latn	문자판/SRB/sr_Latn/posix-SRB	4	107	0	117
MNE/sr_Cyrl	sr_Cyrl	문자판/MNE/sr_Cyrl/posix-MNE	4	107	0	117
MNE/sr_Latn	sr_Latn	문자판/MNE/sr_Latn/posix-MNE	4	107	0	117
BIH/bs_Cyrl	bs_Cyrl	문자판/BIH/bs_Cyrl/posix-BIH	4	107	0	117
BIH/bs_Latn	bs_Latn	문자판/BIH/bs_Latn/posix-BIH	4	107	0	117
