country	language	identifiers_changed	identifier_tokens_changed	paths_changed	native_concept_proposals	pending_concepts	unreviewed_identifiers	kernel_go_files_token_checked
COG	fr	35	358	50	50	0	1679	43
COK	en	35	358	50	50	0	1679	43
COL	es	35	358	50	50	0	1679	43
COM	ar	35	358	50	50	0	1679	43
CPV	pt	35	358	50	50	0	1679	43
CRI	es	35	358	50	50	0	1679	43
CUB	es	35	358	50	50	0	1679	43
CUW	pap	5	24	40	0	50	1714	43
CXR	en	35	358	50	50	0	1679	43
CYM	en	35	358	50	50	0	1679	43
CYP	el	5	24	40	0	50	1714	43
CZE	cs	35	358	50	50	0	1679	43
DEU	de	35	358	50	50	0	1679	43
DJI	ar	35	358	50	50	0	1679	43
DMA	en	35	358	50	50	0	1679	43
DNK	da	5	24	40	0	50	1714	43
DOM	es	35	358	50	50	0	1679	43
DZA	ar	35	358	50	50	0	1679	43
ECU	es	35	358	50	50	0	1679	43
EGY	ar	35	358	50	50	0	1679	43
ERI	ti	5	24	40	0	50	1714	43
ESH	ar	35	358	50	50	0	1679	43
ESP	es	35	358	50	50	0	1679	43
EST	et	5	24	40	0	50	1714	43
ETH	am	5	24	40	0	50	1714	43
FIN	fi	35	358	50	50	0	1679	43
FJI	en	35	358	50	50	0	1679	43
FLK	en	35	358	50	50	0	1679	43
FRA	fr	35	358	50	50	0	1679	43
FRO	fo	5	24	40	0	50	1714	43
FSM	en	35	358	50	50	0	1679	43
GAB	fr	35	358	50	50	0	1679	43
GBR	en	35	358	50	50	0	1679	43
GEO	ka	5	24	40	0	50	1714	43
GGY	en	35	358	50	50	0	1679	43
GHA	en	35	358	50	50	0	1679	43
GIB	en	35	358	50	50	0	1679	43
GIN	fr	35	358	50	50	0	1679	43
GLP	fr	35	358	50	50	0	1679	43
GMB	en	35	358	50	50	0	1679	43
GNB	pt	35	358	50	50	0	1679	43
GNQ	es	35	358	50	50	0	1679	43
GRC	el	5	24	40	0	50	1714	43
GRD	en	35	358	50	50	0	1679	43
GRL	kl	5	24	40	0	50	1714	43
GTM	es	35	358	50	50	0	1679	43
GUF	fr	35	358	50	50	0	1679	43
GUM	en	35	358	50	50	0	1679	43
GUY	en	35	358	50	50	0	1679	43
HKG	zh_Hant	34	331	50	50	0	1679	43
HMD	und	35	358	50	0	0	1679	43
HND	es	35	358	50	50	0	1679	43
HRV	hr	5	24	40	0	50	1714	43
HTI	ht	5	24	40	0	50	1714	43
HUN	hu	5	24	40	0	50	1714	43
IDN	id	35	358	50	50	0	1679	43
IMN	en	35	358	50	50	0	1679	43
IND	hi	5	24	40	0	50	1714	43
IOT	en	35	358	50	50	0	1679	43
IRL	en	35	358	50	50	0	1679	43
IRN	fa	5	24	40	0	50	1714	43
IRQ	ar	35	358	50	50	0	1679	43
ISL	is	5	24	40	0	50	1714	43
ISR	he	5	24	40	0	50	1714	43
ITA	it	35	358	50	50	0	1679	43
JAM	en	35	358	50	50	0	1679	43
JEY	en	35	358	50	50	0	1679	43
JOR	ar	35	358	50	50	0	1679	43
JPN	ja	32	337	49	50	0	1679	43
KAZ	ru	35	358	50	50	0	1679	43
KEN	sw	5	24	40	0	50	1714	43
KGZ	ky_Cyrl	5	24	40	0	50	1714	43
KHM	km	5	24	40	0	50	1714	43
KIR	en	35	358	50	50	0	1679	43
KNA	en	35	358	50	50	0	1679	43
KOR	ko	1049	5635	67	50	0	9	43
KWT	ar	35	358	50	50	0	1679	43
LAO	lo	5	24	40	0	50	1714	43
LBN	ar	35	358	50	50	0	1679	43
LBR	en	35	358	50	50	0	1679	43
LBY	ar	35	358	50	50	0	1679	43
LCA	en	35	358	50	50	0	1679	43
LIE	de	35	358	50	50	0	1679	43
LKA	si	5	24	40	0	50	1714	43
LSO	st	5	24	40	0	50	1714	43
LTU	lt	5	24	40	0	50	1714	43
LUX	fr	35	358	50	50	0	1679	43
LVA	lv	5	24	40	0	50	1714	43
MAC	zh_Hant	34	331	50	50	0	1679	43
MAF	fr	35	358	50	50	0	1679	43
MAR	ar	35	358	50	50	0	1679	43
MCO	fr	35	358	50	50	0	1679	43
MDA	ro	5	24	40	0	50	1714	43
MDG	mg	5	24	40	0	50	1714	43
MDV	dv	5	24	40	0	50	1714	43
MEX	es	35	358	50	50	0	1679	43
MHL	en	35	358	50	50	0	1679	43
MKD	mk	5	24	40	0	50	1714	43
MLI	fr	35	358	50	50	0	1679	43
MLT	mt	5	24	40	0	50	1714	43
MMR	my	5	24	40	0	50	1714	43
MNE	sr_Latn	5	24	40	0	50	1714	43
MNG	mn_Cyrl	5	24	40	0	50	1714	43
MNP	en	35	358	50	50	0	1679	43
MOZ	pt	35	358	50	50	0	1679	43
MRT	ar	35	358	50	50	0	1679	43
MSR	en	35	358	50	50	0	1679	43
MTQ	fr	35	358	50	50	0	1679	43
MUS	en	35	358	50	50	0	1679	43
MWI	en	35	358	50	50	0	1679	43
MYS	ms_Latn	35	358	50	50	0	1679	43
MYT	fr	35	358	50	50	0	1679	43
NAM	en	35	358	50	50	0	1679	43
NCL	fr	35	358	50	50	0	1679	43
NER	fr	35	358	50	50	0	1679	43
NFK	en	35	358	50	50	0	1679	43
NGA	en	35	358	50	50	0	1679	43
NIC	es	35	358	50	50	0	1679	43
NIU	en	35	358	50	50	0	1679	43
NLD	nl	35	358	50	50	0	1679	43
NOR	nb	5	24	40	0	50	1714	43
NPL	ne	5	24	40	0	50	1714	43
NRU	en	35	358	50	50	0	1679	43
NZL	en	35	358	50	50	0	1679	43
OMN	ar	35	358	50	50	0	1679	43
PAK	ur	5	24	40	0	50	1714	43
PAN	es	35	358	50	50	0	1679	43
PCN	en	35	358	50	50	0	1679	43
PER	es	35	358	50	50	0	1679	43
PHL	en	35	358	50	50	0	1679	43
PLW	pau	5	24	40	0	50	1714	43
PNG	tpi	5	24	40	0	50	1714	43
POL	pl	35	358	50	50	0	1679	43
PRI	es	35	358	50	50	0	1679	43
PRK	ko	1049	5635	67	50	0	9	43
PRT	pt	35	358	50	50	0	1679	43
PRY	gn	5	24	40	0	50	1714	43
PSE	ar	35	358	50	50	0	1679	43
PYF	fr	35	358	50	50	0	1679	43
QAT	ar	35	358	50	50	0	1679	43
REU	fr	35	358	50	50	0	1679	43
ROU	ro	5	24	40	0	50	1714	43
RUS	ru	35	358	50	50	0	1679	43
RWA	rw	5	24	40	0	50	1714	43
SAU	ar	35	358	50	50	0	1679	43
SDN	ar	35	358	50	50	0	1679	43
SEN	wo	5	24	40	0	50	1714	43
SGP	en	35	358	50	50	0	1679	43
SGS	und	35	358	50	0	0	1679	43
SHN	en	35	358	50	50	0	1679	43
SJM	nb	5	24	40	0	50	1714	43
SLB	en	35	358	50	50	0	1679	43
SLE	en	35	358	50	50	0	1679	43
SLV	es	35	358	50	50	0	1679	43
SMR	it	35	358	50	50	0	1679	43
SOM	so	5	24	40	0	50	1714	43
SPM	fr	35	358	50	50	0	1679	43
SRB	sr_Cyrl	5	24	40	0	50	1714	43
SSD	en	35	358	50	50	0	1679	43
STP	pt	35	358	50	50	0	1679	43
SUR	nl	35	358	50	50	0	1679	43
SVK	sk	5	24	40	0	50	1714	43
SVN	sl	5	24	40	0	50	1714	43
SWE	sv	35	358	50	50	0	1679	43
SWZ	en	35	358	50	50	0	1679	43
SXM	en	35	358	50	50	0	1679	43
SYC	fr	35	358	50	50	0	1679	43
SYR	ar	35	358	50	50	0	1679	43
TCA	en	35	358	50	50	0	1679	43
TCD	fr	35	358	50	50	0	1679	43
TGO	fr	35	358	50	50	0	1679	43
THA	th	5	24	40	0	50	1714	43
TJK	tg_Cyrl	5	24	40	0	50	1714	43
TKL	en	35	358	50	50	0	1679	43
TKM	tk_Latn	5	24	40	0	50	1714	43
TLS	pt	35	358	50	50	0	1679	43
TON	to	5	24	40	0	50	1714	43
TTO	en	35	358	50	50	0	1679	43
TUN	ar	35	358	50	50	0	1679	43
TUR	tr	35	358	50	50	0	1679	43
TUV	tvl	5	24	40	0	50	1714	43
TWN	zh_Hant	34	331	50	50	0	1679	43
TZA	sw	5	24	40	0	50	1714	43
UGA	sw	5	24	40	0	50	1714	43
UKR	uk	35	358	50	50	0	1679	43
UMI	en	35	358	50	50	0	1679	43
URY	es	35	358	50	50	0	1679	43
USA	en	35	358	50	50	0	1679	43
UZB	uz_Latn	5	24	40	0	50	1714	43
VAT	it	35	358	50	50	0	1679	43
VCT	en	35	358	50	50	0	1679	43
VEN	es	35	358	50	50	0	1679	43
VGB	en	35	358	50	50	0	1679	43
VIR	en	35	358	50	50	0	1679	43
VNM	vi	35	358	50	50	0	1679	43
VUT	bi	5	24	40	0	50	1714	43
WLF	fr	35	358	50	50	0	1679	43
WSM	sm	5	24	40	0	50	1714	43
YEM	ar	35	358	50	50	0	1679	43
ZAF	en	35	358	50	50	0	1679	43
ZMB	en	35	358	50	50	0	1679	43
ZWE	sn	5	24	40	0	50	1714	43
