edition	directory	vm_name	entry_check
LSO	나라/LSO	worldos LSO	PASS
LTU	나라/LTU	worldos LTU	PASS
LUX	나라/LUX	worldos LUX	PASS
LVA	나라/LVA	worldos LVA	PASS
MAC	나라/MAC	worldos MAC	PASS
MAF	나라/MAF	worldos MAF	PASS
MAR	나라/MAR	worldos MAR	PASS
MCO	나라/MCO	worldos MCO	PASS
MDA	나라/MDA	worldos MDA	PASS
MDG	나라/MDG	worldos MDG	PASS
MDV	나라/MDV	worldos MDV	PASS
MEX	나라/MEX	worldos MEX	PASS
MHL	나라/MHL	worldos MHL	PASS
MKD	나라/MKD	worldos MKD	PASS
MLI	나라/MLI	worldos MLI	PASS
MLT	나라/MLT	worldos MLT	PASS
MMR	나라/MMR	worldos MMR	PASS
MNE	나라/MNE	worldos MNE	PASS
MNG	나라/MNG	worldos MNG	PASS
MNP	나라/MNP	worldos MNP	PASS
MOZ	나라/MOZ	worldos MOZ	PASS
MRT	나라/MRT	worldos MRT	PASS
MSR	나라/MSR	worldos MSR	PASS
MTQ	나라/MTQ	worldos MTQ	PASS
MUS	나라/MUS	worldos MUS	PASS
MWI	나라/MWI	worldos MWI	PASS
MYS	나라/MYS	worldos MYS	PASS
MYT	나라/MYT	worldos MYT	PASS
NAM	나라/NAM	worldos NAM	PASS
NCL	나라/NCL	worldos NCL	PASS
NER	나라/NER	worldos NER	PASS
NFK	나라/NFK	worldos NFK	PASS
NGA	나라/NGA	worldos NGA	PASS
NIC	나라/NIC	worldos NIC	PASS
NIU	나라/NIU	worldos NIU	PASS
NLD	나라/NLD	worldos NLD	PASS
NOR	나라/NOR	worldos NOR	PASS
NPL	나라/NPL	worldos NPL	PASS
NRU	나라/NRU	worldos NRU	PASS
NZL	나라/NZL	worldos NZL	PASS
OMN	나라/OMN	worldos OMN	PASS
PAK	나라/PAK	worldos PAK	PASS
PAN	나라/PAN	worldos PAN	PASS
PCN	나라/PCN	worldos PCN	PASS
PER	나라/PER	worldos PER	PASS
PHL	나라/PHL	worldos PHL	PASS
PLW	나라/PLW	worldos PLW	PASS
PNG	나라/PNG	worldos PNG	PASS
POL	나라/POL	worldos POL	PASS
PRI	나라/PRI	worldos PRI	PASS
PRK	나라/PRK	worldos PRK	PASS
PRT	나라/PRT	worldos PRT	PASS
PRY	나라/PRY	worldos PRY	PASS
PSE	나라/PSE	worldos PSE	PASS
PYF	나라/PYF	worldos PYF	PASS
QAT	나라/QAT	worldos QAT	PASS
REU	나라/REU	worldos REU	PASS
ROU	나라/ROU	worldos ROU	PASS
RUS	나라/RUS	worldos RUS	PASS
RWA	나라/RWA	worldos RWA	PASS
SAU	나라/SAU	worldos SAU	PASS
SDN	나라/SDN	worldos SDN	PASS
SEN	나라/SEN	worldos SEN	PASS
SGP	나라/SGP	worldos SGP	PASS
SGS	나라/SGS	worldos SGS	PASS
SHN	나라/SHN	worldos SHN	PASS
SJM	나라/SJM	worldos SJM	PASS
SLB	나라/SLB	worldos SLB	PASS
SLE	나라/SLE	worldos SLE	PASS
SLV	나라/SLV	worldos SLV	PASS
SMR	나라/SMR	worldos SMR	PASS
SOM	나라/SOM	worldos SOM	PASS
SPM	나라/SPM	worldos SPM	PASS
SRB	나라/SRB	worldos SRB	PASS
SSD	나라/SSD	worldos SSD	PASS
STP	나라/STP	worldos STP	PASS
SUR	나라/SUR	worldos SUR	PASS
SVK	나라/SVK	worldos SVK	PASS
SVN	나라/SVN	worldos SVN	PASS
SWE	나라/SWE	worldos SWE	PASS
SWZ	나라/SWZ	worldos SWZ	PASS
SXM	나라/SXM	worldos SXM	PASS
SYC	나라/SYC	worldos SYC	PASS
SYR	나라/SYR	worldos SYR	PASS
TCA	나라/TCA	worldos TCA	PASS
TCD	나라/TCD	worldos TCD	PASS
TGO	나라/TGO	worldos TGO	PASS
THA	나라/THA	worldos THA	PASS
TJK	나라/TJK	worldos TJK	PASS
TKL	나라/TKL	worldos TKL	PASS
TKM	나라/TKM	worldos TKM	PASS
TLS	나라/TLS	worldos TLS	PASS
TON	나라/TON	worldos TON	PASS
TTO	나라/TTO	worldos TTO	PASS
TUN	나라/TUN	worldos TUN	PASS
TUR	나라/TUR	worldos TUR	PASS
TUV	나라/TUV	worldos TUV	PASS
TWN	나라/TWN	worldos TWN	PASS
TZA	나라/TZA	worldos TZA	PASS
UGA	나라/UGA	worldos UGA	PASS
UKR	나라/UKR	worldos UKR	PASS
UMI	나라/UMI	worldos UMI	PASS
URY	나라/URY	worldos URY	PASS
USA	나라/USA	worldos USA	PASS
UZB	나라/UZB	worldos UZB	PASS
VAT	나라/VAT	worldos VAT	PASS
VCT	나라/VCT	worldos VCT	PASS
VEN	나라/VEN	worldos VEN	PASS
VGB	나라/VGB	worldos VGB	PASS
VIR	나라/VIR	worldos VIR	PASS
VNM	나라/VNM	worldos VNM	PASS
VUT	나라/VUT	worldos VUT	PASS
WLF	나라/WLF	worldos WLF	PASS
WSM	나라/WSM	worldos WSM	PASS
YEM	나라/YEM	worldos YEM	PASS
ZAF	나라/ZAF	worldos ZAF	PASS
ZMB	나라/ZMB	worldos ZMB	PASS
ZWE	나라/ZWE	worldos ZWE	PASS
IND/as_Beng	문자판/IND/as_Beng	worldos IND as_Beng	PASS
IND/bn_Beng	문자판/IND/bn_Beng	worldos IND bn_Beng	PASS
IND/brx_Deva	문자판/IND/brx_Deva	worldos IND brx_Deva	PASS
IND/doi_Deva	문자판/IND/doi_Deva	worldos IND doi_Deva	PASS
IND/gu_Gujr	문자판/IND/gu_Gujr	worldos IND gu_Gujr	PASS
IND/hi_Deva	문자판/IND/hi_Deva	worldos IND hi_Deva	PASS
IND/kn_Knda	문자판/IND/kn_Knda	worldos IND kn_Knda	PASS
IND/ks_Arab	문자판/IND/ks_Arab	worldos IND ks_Arab	PASS
IND/kok_Deva	문자판/IND/kok_Deva	worldos IND kok_Deva	PASS
IND/mai_Deva	문자판/IND/mai_Deva	worldos IND mai_Deva	PASS
IND/ml_Mlym	문자판/IND/ml_Mlym	worldos IND ml_Mlym	PASS
IND/mni_Mtei	문자판/IND/mni_Mtei	worldos IND mni_Mtei	PASS
IND/mr_Deva	문자판/IND/mr_Deva	worldos IND mr_Deva	PASS
IND/ne_Deva	문자판/IND/ne_Deva	worldos IND ne_Deva	PASS
IND/or_Orya	문자판/IND/or_Orya	worldos IND or_Orya	PASS
IND/pa_Guru	문자판/IND/pa_Guru	worldos IND pa_Guru	PASS
IND/sa_Deva	문자판/IND/sa_Deva	worldos IND sa_Deva	PASS
IND/sat_Olck	문자판/IND/sat_Olck	worldos IND sat_Olck	PASS
IND/sd_Arab	문자판/IND/sd_Arab	worldos IND sd_Arab	PASS
IND/ta_Taml	문자판/IND/ta_Taml	worldos IND ta_Taml	PASS
IND/te_Telu	문자판/IND/te_Telu	worldos IND te_Telu	PASS
IND/ur_Arab	문자판/IND/ur_Arab	worldos IND ur_Arab	PASS
IND/kok_Latn	문자판/IND/kok_Latn	worldos IND kok_Latn	PASS
IND/ks_Deva	문자판/IND/ks_Deva	worldos IND ks_Deva	PASS
IND/mni_Beng	문자판/IND/mni_Beng	worldos IND mni_Beng	PASS
IND/pa_Arab	문자판/IND/pa_Arab	worldos IND pa_Arab	PASS
IND/sat_Beng	문자판/IND/sat_Beng	worldos IND sat_Beng	PASS
IND/sat_Deva	문자판/IND/sat_Deva	worldos IND sat_Deva	PASS
IND/sd_Deva	문자판/IND/sd_Deva	worldos IND sd_Deva	PASS
JPN/ja_Jpan	문자판/JPN/ja_Jpan	worldos JPN ja_Jpan	PASS
JPN/ja_Hira	문자판/JPN/ja_Hira	worldos JPN ja_Hira	PASS
JPN/ja_Kana	문자판/JPN/ja_Kana	worldos JPN ja_Kana	PASS
CHN/zh_Hans	문자판/CHN/zh_Hans	worldos CHN zh_Hans	PASS
CHN/zh_Hant	문자판/CHN/zh_Hant	worldos CHN zh_Hant	PASS
HKG/zh_Hans	문자판/HKG/zh_Hans	worldos HKG zh_Hans	PASS
HKG/zh_Hant	문자판/HKG/zh_Hant	worldos HKG zh_Hant	PASS
MAC/zh_Hans	문자판/MAC/zh_Hans	worldos MAC zh_Hans	PASS
MAC/zh_Hant	문자판/MAC/zh_Hant	worldos MAC zh_Hant	PASS
TWN/zh_Hans	문자판/TWN/zh_Hans	worldos TWN zh_Hans	PASS
TWN/zh_Hant	문자판/TWN/zh_Hant	worldos TWN zh_Hant	PASS
SRB/sr_Cyrl	문자판/SRB/sr_Cyrl	worldos SRB sr_Cyrl	PASS
SRB/sr_Latn	문자판/SRB/sr_Latn	worldos SRB sr_Latn	PASS
MNE/sr_Cyrl	문자판/MNE/sr_Cyrl	worldos MNE sr_Cyrl	PASS
MNE/sr_Latn	문자판/MNE/sr_Latn	worldos MNE sr_Latn	PASS
BIH/bs_Cyrl	문자판/BIH/bs_Cyrl	worldos BIH bs_Cyrl	PASS
BIH/bs_Latn	문자판/BIH/bs_Latn	worldos BIH bs_Latn	PASS
