standard_identifier	native_identifier	category	current_role	status
O_DIRECTORY	モクロクノミユルス	interface-constant	require_directory	project-proposal
F_DUPFD	キジュツバンゴウフクセイ	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	キジュツバンゴウヒョウシキシュトク	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	キジュツバンゴウヒョウシキセッテイ	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	ブンショジョウタイヒョウシキシュトク	interface-constant	read_file_status_flags	project-proposal
F_SETFL	ブンショジョウタイヒョウシキセッテイ	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	ジッコウナイヨウチカンジニトジル	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	ミジュンビナラマタナイ	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	セイジョウシュウリョウハンテイ	interface-constant	exited_normally	project-proposal
WEXITSTATUS	シュウリョウチトリダシ	interface-constant	extract_exit_status	project-proposal
S_IFMT	ブンショシュルイチュウシュツチ	interface-constant	file_kind_mask	project-proposal
S_IFDIR	モクロクシュルイ	interface-constant	directory_kind	project-proposal
S_IFCHR	モジソウチシュルイ	interface-constant	character_device_kind	project-proposal
S_IFREG	ツウジョウブンショシュルイ	interface-constant	regular_file_kind	project-proposal
S_IRUSR	ショユウシャヨミトリケンゲン	interface-constant	owner_read_permission	project-proposal
S_IWUSR	ショユウシャカキコミケンゲン	interface-constant	owner_write_permission	project-proposal
S_IXUSR	ショユウシャジッコウケンゲン	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	ショゾククミヨミトリケンゲン	interface-constant	group_read_permission	project-proposal
S_IWGRP	ショゾククミカキコミケンゲン	interface-constant	group_write_permission	project-proposal
S_IXGRP	ショゾククミジッコウケンゲン	interface-constant	group_execute_permission	project-proposal
S_IROTH	タシャヨミトリケンゲン	interface-constant	others_read_permission	project-proposal
S_IWOTH	タシャカキコミケンゲン	interface-constant	others_write_permission	project-proposal
S_IXOTH	タシャジッコウケンゲン	interface-constant	others_execute_permission	project-proposal
S_ISDIR	モクロクホウシキハンテイ	interface-constant	is_directory_mode	project-proposal
S_ISCHR	モジソウチホウシキハンテイ	interface-constant	is_character_device_mode	project-proposal
S_ISREG	ツウジョウブンショホウシキハンテイ	interface-constant	is_regular_file_mode	project-proposal
EPERM	アヤマリソウサフキョカ	error-code	operation_not_permitted	project-proposal
ENOENT	アヤマリブンショマタハモクロクナシ	error-code	file_or_directory_missing	project-proposal
ESRCH	アヤマリジッコウカテイナシ	error-code	process_missing	project-proposal
EINTR	アヤマリソウサチュウダン	error-code	operation_interrupted	project-proposal
EIO	アヤマリニュウシュツリョクシッパイ	error-code	input_output_error	project-proposal
E2BIG	アヤマリヒキスウイチランカダイ	error-code	argument_list_too_large	project-proposal
ENOEXEC	アヤマリジッコウケイシキフセイ	error-code	invalid_executable_format	project-proposal
EBADF	アヤマリキジュツバンゴウフセイ	error-code	invalid_file_descriptor	project-proposal
ECHILD	アヤマリコジッコウカテイナシ	error-code	no_child_process	project-proposal
EAGAIN	アヤマリイチジリヨウフカ	error-code	temporarily_unavailable	project-proposal
ENOMEM	アヤマリキオクブソク	error-code	insufficient_memory	project-proposal
EACCES	アヤマリリヨウケンゲンナシ	error-code	permission_denied	project-proposal
EFAULT	アヤマリキオクバンチフセイ	error-code	invalid_memory_address	project-proposal
EBUSY	アヤマリシゲンシヨウチュウ	error-code	resource_busy	project-proposal
EEXIST	アヤマリブンショキソン	error-code	file_already_exists	project-proposal
ENODEV	アヤマリソウチナシ	error-code	device_missing	project-proposal
ENOTDIR	アヤマリモクロクデナイ	error-code	not_a_directory	project-proposal
EISDIR	アヤマリモクロクデアル	error-code	is_a_directory	project-proposal
EINVAL	アヤマリヒキスウフセイ	error-code	invalid_argument	project-proposal
ENFILE	アヤマリタイケイブンショスウジョウゲン	error-code	system_file_limit	project-proposal
EMFILE	アヤマリカテイブンショスウジョウゲン	error-code	process_file_limit	project-proposal
ENOTTY	アヤマリソウチフテキゴウソウサ	error-code	inappropriate_device_operation	project-proposal
EFBIG	アヤマリブンショカダイ	error-code	file_too_large	project-proposal
ENOSPC	アヤマリホゾンリョウイキブソク	error-code	no_storage_space	project-proposal
ESPIPE	アヤマリナガレイチイドウフカ	error-code	cannot_seek_stream	project-proposal
EROFS	アヤマリヨミトリセンヨウブンショタイケイ	error-code	read_only_filesystem	project-proposal
ERANGE	アヤマリチハンイガイ	error-code	value_out_of_range	project-proposal
ENOSYS	アヤマリキノウミジッソウ	error-code	function_not_implemented	project-proposal
EMSGSIZE	アヤマリデンブンカダイ	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	アヤマリキヤクヒタイオウ	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	アヤマリソウサヒタイオウ	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	アヤマリバンチケイトウヒタイオウ	error-code	address_family_not_supported	project-proposal
EADDRINUSE	アヤマリバンチシヨウチュウ	error-code	address_already_in_use	project-proposal
ENETUNREACH	アヤマリツウシンモウトウタツフカ	error-code	network_unreachable	project-proposal
ENOTCONN	アヤマリタンテンミセツゾク	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	ハチケタグミノニシンケタスウ	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	フゴウツキモジセイスウサイショウチ	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	フゴウツキモジセイスウサイダイチ	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	フゴウナシモジセイスウサイダイチ	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	モジセイスウサイショウチ	integer-limit	char_minimum	project-proposal
CHAR_MAX	モジセイスウサイダイチ	integer-limit	char_maximum	project-proposal
SHRT_MIN	タンセイスウサイショウチ	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	タンセイスウサイダイチ	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	フゴウナシタンセイスウサイダイチ	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	セイスウサイショウチ	integer-limit	integer_minimum	project-proposal
INT_MAX	セイスウサイダイチ	integer-limit	integer_maximum	project-proposal
UINT_MAX	フゴウナシセイスウサイダイチ	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	チョウセイスウサイショウチ	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	チョウセイスウサイダイチ	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	フゴウナシチョウセイスウサイダイチ	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	チョウチョウセイスウサイショウチ	integer-limit	long_long_integer_minimum	project-proposal
LLONG_MAX	チョウチョウセイスウサイダイチ	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	フゴウナシチョウチョウセイスウサイダイチ	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	ヒキスウナシタイケイヨビダシ	implementation-helper	syscall_without_arguments	project-proposal
SC1	ヒキスウヒトツタイケイヨビダシ	implementation-helper	syscall_with_one_argument	project-proposal
SC2	ヒキスウフタツタイケイヨビダシ	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	ヒキスウミッツタイケイヨビダシ	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	ツウシンタンテンタイケイヨビダシバンゴウ	implementation-helper	socket_call_number	project-proposal
argc	ヒキスウノカズ	implementation-helper	argument_count	project-proposal
args_fail	ヒキスウケンサシッパイ	implementation-helper	argument_test_failure	project-proposal
args_pass	ヒキスウケンサセイコウ	implementation-helper	argument_test_success	project-proposal
bss_zeroed	ミショキカシリョウノレイウメ	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	ハチケタグミチ	implementation-helper	byte_value	project-proposal
bytes	ハチケタグミハイレツ	implementation-helper	byte_array	project-proposal
checks	ケンサスウ	implementation-helper	check_count	project-proposal
client	ヨウキュウタンテン	implementation-helper	client_endpoint	project-proposal
cloexec_fail	ジッコウチカンジヘイサシッパイ	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	ジッコウチカンジヘイサセイコウ	implementation-helper	close_on_exec_success	project-proposal
copy	フクシャチ	implementation-helper	copied_value	project-proposal
cwd	サギョウモクロク	implementation-helper	working_directory	project-proposal
decoded	カイシャクチ	implementation-helper	decoded_value	project-proposal
expected_errno	キタイアヤマリバンゴウ	implementation-helper	expected_error_number	project-proposal
failed_with	シテイアヤマリニヨルシッパイハンテイ	implementation-helper	failed_with_error	project-proposal
failure	シッパイハンテイ	implementation-helper	failure_flag	project-proposal
failures	シッパイスウ	implementation-helper	failure_count	project-proposal
first	サイショノコウ	implementation-helper	first_item	project-proposal
i	コウノソエジ	implementation-helper	item_index	project-proposal
iteration	ハンプクカイスウ	implementation-helper	iteration_number	project-proposal
length_of	モジレツチョウヲエル	implementation-helper	length_of_text	project-proposal
loaded	ヨミコミチ	implementation-helper	loaded_value	project-proposal
memory	キオクリョウイキ	implementation-helper	memory_region	project-proposal
old	イゼンノアタイ	implementation-helper	previous_value	project-proposal
parent	オヤカテイ	implementation-helper	parent_process	project-proposal
pass	ケンサゴウカク	implementation-helper	test_pass	project-proposal
passed	ゴウカクハンテイ	implementation-helper	passed_test	project-proposal
posix_compile_test	センゲンホンヤクシケン	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	ドウテキキオクドウサシケン	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	ジッコウカテイドウサシケン	implementation-helper	process_behavior_test	project-proposal
private_value	カテイセンヨウチ	implementation-helper	process_private_value	project-proposal
reap_nohang	マタズニコヲカイシュウ	implementation-helper	reap_without_waiting	project-proposal
report	ケッカヲホウコク	implementation-helper	report_result	project-proposal
root	ネノケイロ	implementation-helper	root_path	project-proposal
s	ケンサシリョウ	implementation-helper	examined_data	project-proposal
say	デンブンヲカク	implementation-helper	write_message	project-proposal
second	ニバンメノコウ	implementation-helper	second_item	project-proposal
server	オウトウタンテン	implementation-helper	server_endpoint	project-proposal
server_address	オウトウタンテンバンチ	implementation-helper	server_endpoint_address	project-proposal
source_length	ソウシンモトバンチチョウ	implementation-helper	source_address_size	project-proposal
spin	カイテンカイスウ	implementation-helper	spin_iteration	project-proposal
spins	カイテンスウ	implementation-helper	spin_count	project-proposal
start	カイシイチ	implementation-helper	starting_position	project-proposal
target	タイショウチ	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	キジュツバンゴウフクセイトセイギョシケン	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	ジッコウシュタイシケン	implementation-helper	test_process_identity	project-proposal
test_open_and_io	カイヘイニュウシュツリョクシケン	implementation-helper	test_open_and_io	project-proposal
test_paths	ケイロソウサシケン	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	タンマツトタイケイジョウホウシケン	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	モジレツイッチハンテイ	implementation-helper	text_is_equal	project-proposal
text_length	モジレツクミチョウ	implementation-helper	text_byte_length	project-proposal
waited	マッタカテイ	implementation-helper	waited_process	project-proposal
