original	compiler	native	status
HandleFatalInterruptFrame	РучкаfatalОметањеОквир	RučkafatalOmetanjeOkvir	existing-unreviewed
HandleInterrupt	РучкаОметање	RučkaOmetanje	existing-unreviewed
HandleInterrupt1	РучкаОметање1	RučkaOmetanje1	existing-unreviewed
HandleUserDatagramProtocolMessage	РучкаКорисникdatagramprotocolпорука	RučkaKorisnikdatagramprotocolporuka	existing-unreviewed
IDT_DESC_PRESENT	IdtdescriptorПрисутна	IdtdescriptorPrisutna	existing-unreviewed
IDT_INTERRUPT_GATE	IdtОметањеgate	IdtOmetanjegate	existing-unreviewed
IDriver	IDriver	IDriver	existing-unreviewed
IEtherFrameHandler	IЖичанавезаОквирhandler	IŽičanavezaOkvirhandler	existing-unreviewed
IInternetProtocolHandler	IИнтернетprotocolhandler	IInternetprotocolhandler	existing-unreviewed
IInterruptHandler	IОметањеhandler	IOmetanjehandler	existing-unreviewed
IKeyboardEventHandler	IТастатураДогађајhandler	ITastaturaDogađajhandler	existing-unreviewed
IMouseEventHandler	IМишДогађајhandler	IMišDogađajhandler	existing-unreviewed
IPCIControllerHandler	Ipcicontrollerhandler	Ipcicontrollerhandler	existing-unreviewed
IPCache	Ipcache	Ipcache	existing-unreviewed
IP_BE	IpМрежаbyteorder	IpMrežabyteorder	existing-unreviewed
IRawDataHandler	IRawdatahandler	IRawdatahandler	existing-unreviewed
ITimerEventHandler	IОдбројавачДогађајhandler	IOdbrojavačDogađajhandler	existing-unreviewed
IUserDatagramProtocolHandler	IКорисникdatagramprotocolhandler	IKorisnikdatagramprotocolhandler	existing-unreviewed
IUserDatagramProtocolSocket	IКорисникdatagramprotocolПрикључница	IKorisnikdatagramprotocolPriključnica	existing-unreviewed
IWidget	IКонтрола	IKontrola	existing-unreviewed
Identify	Identify	Identify	existing-unreviewed
Increment	Increment	Increment	existing-unreviewed
IndexOf	Пописод	Popisod	existing-unreviewed
Init	Init	Init	existing-unreviewed
InitDriver	Initdriver	Initdriver	existing-unreviewed
InitialThreadUserJump	InitialthreadКорисникjump	InitialthreadKorisnikjump	existing-unreviewed
Ino	Ino	Ino	existing-unreviewed
Install	Инсталирај	Instaliraj	existing-unreviewed
Interrupt	Ометање	Ometanje	existing-unreviewed
InterruptActive	ОметањеАктивна	OmetanjeAktivna	existing-unreviewed
InterruptDeactive	Ометањеdeactive	Ometanjedeactive	existing-unreviewed
InterruptManager	Ометањеmanager	Ometanjemanager	existing-unreviewed
InterruptNumber	Ометањеброј	Ometanjebroj	existing-unreviewed
InvalidOpcode	Неисправноopcode	Neispravnoopcode	existing-unreviewed
InvalidTSS	Неисправноtss	Neispravnotss	existing-unreviewed
IsKernel	Iskernel	Iskernel	existing-unreviewed
IsPresent	IsПрисутна	IsPrisutna	existing-unreviewed
IsUserSpace	IsКорисникразмак	IsKorisnikrazmak	existing-unreviewed
KB	КБ	KB	existing-unreviewed
KCS_INDEX	KcsПопис	KcsPopis	existing-unreviewed
KCS_SELECTOR	Kcsselector	Kcsselector	existing-unreviewed
KDS_INDEX	KdsПопис	KdsPopis	existing-unreviewed
KDS_SELECTOR	Kdsselector	Kdsselector	existing-unreviewed
KERNEL_HEAP_START	KernelheapПокрени	KernelheapPokreni	existing-unreviewed
KERNEL_VIRT_ADDR	Kernelvirtaddress	Kernelvirtaddress	existing-unreviewed
KGS_INDEX	KgsПопис	KgsPopis	existing-unreviewed
KGS_SELECTOR	Kgsselector	Kgsselector	existing-unreviewed
K핵심	KKernelEntry	KKernelEntry	compatibility
LIDT	Lidt	Lidt	existing-unreviewed
Last	Задња	Zadnja	existing-unreviewed
Len	Len	Len	compatibility
Limit	Ограничи	Ograniči	existing-unreviewed
Link	Веза	Veza	existing-unreviewed
LinkMap	Везаmap	Vezamap	existing-unreviewed
LinkedList	LinkedСписак	LinkedSpisak	existing-unreviewed
Listen	Listen	Listen	existing-unreviewed
LoadElf	Оптерећењеelf	Opterećenjeelf	existing-unreviewed
MAC	Mac	Mac	existing-unreviewed
MAC0	Mac0	Mac0	existing-unreviewed
MAC1	Mac1	Mac1	existing-unreviewed
MAC2	Mac2	Mac2	existing-unreviewed
MAC3	Mac3	Mac3	existing-unreviewed
MAC4	Mac4	Mac4	existing-unreviewed
MAC5	Mac5	Mac5	existing-unreviewed
MACAddress0Port	Macaddress0Порт	Macaddress0Port	existing-unreviewed
MACAddress2Port	Macaddress2Порт	Macaddress2Port	existing-unreviewed
MACAddress4Port	Macaddress4Порт	Macaddress4Port	existing-unreviewed
MACCache	Maccache	Maccache	existing-unreviewed
MAX_QUEUE_SIZE	МаксqueueВеличина	MaksqueueVeličina	existing-unreviewed
MB	МБ	MB	existing-unreviewed
MBR	Mbr	Mbr	existing-unreviewed
MHex출력	MHexadecimalШтампај	MHexadecimalŠtampaj	existing-unreviewed
MHex출력XY	MHexadecimalШтампајxy	MHexadecimalŠtampajxy	existing-unreviewed
MUint16출력	MUnsignedinteger16Штампај	MUnsignedinteger16Štampaj	existing-unreviewed
MUint16출력XY	MUnsignedinteger16Штампајxy	MUnsignedinteger16Štampajxy	existing-unreviewed
MUint32출력	MUnsignedinteger32Штампај	MUnsignedinteger32Štampaj	existing-unreviewed
MUint32출력XY	MUnsignedinteger32Штампајxy	MUnsignedinteger32Štampajxy	existing-unreviewed
MUint64출력	MUnsignedinteger64Штампај	MUnsignedinteger64Štampaj	existing-unreviewed
MUint64출력XY	MUnsignedinteger64Штампајxy	MUnsignedinteger64Štampajxy	existing-unreviewed
Machine	Machine	Machine	existing-unreviewed
MachineCheck	Machinecheck	Machinecheck	existing-unreviewed
MakeRangePrivateWritable	MakeОпсегПриватноwritable	MakeOpsegPrivatnowritable	existing-unreviewed
Malloc	Malloc	Malloc	existing-unreviewed
MemCmp	Memcmp	Memcmp	existing-unreviewed
MemCpy	MemУмножи	MemUmnoži	existing-unreviewed
MemMove	MemПремести	MemPremesti	existing-unreviewed
MemSet	Memскуп	Memskup	existing-unreviewed
MemoryOper	Меморијаoper	Memorijaoper	existing-unreviewed
Mode	РЕЖИМ	REŽIM	existing-unreviewed
ModelToScreen	Set_local_coordinates	Set_local_coordinates	existing-unreviewed
Mtime	Mtime	Mtime	existing-unreviewed
MtimeNsec	Mtimensec	Mtimensec	existing-unreviewed
MyHandleInterrupt	MyРучкаОметање	MyRučkaOmetanje	existing-unreviewed
MyTest	MyТест	MyTest	existing-unreviewed
M긴급로그Hex8	MEmergencyДневникhexadecimal8	MEmergencyDnevnikhexadecimal8	existing-unreviewed
M긴급로그Uint32	MEmergencyДневникunsignedinteger32	MEmergencyDnevnikunsignedinteger32	existing-unreviewed
M긴급로그문자열	MEmergencyДневникниска	MEmergencyDnevnikniska	existing-unreviewed
M직렬로그초기화	MСеријскиДневникinit	MSerijskiDnevnikinit	existing-unreviewed
M출력	MШтампај	MŠtampaj	existing-unreviewed
M출력BytesXY	MШтампајБајтоваxy	MŠtampajBajtovaxy	existing-unreviewed
M출력Hex	MШтампајhexadecimal	MŠtampajhexadecimal	existing-unreviewed
M출력Uint16	MШтампајunsignedinteger16	MŠtampajunsignedinteger16	existing-unreviewed
M출력Uint32	MШтампајunsignedinteger32	MŠtampajunsignedinteger32	existing-unreviewed
M출력XY	MШтампајxy	MŠtampajxy	existing-unreviewed
M테스트	M테스트	M테스트	existing-unreviewed
NMI	Нми	Nmi	existing-unreviewed
New	Нова	Nova	existing-unreviewed
NewInterruptHandler	НоваОметањеhandler	NovaOmetanjehandler	existing-unreviewed
Next	Следеће	Sledeće	existing-unreviewed
Nlink	Nlink	Nlink	existing-unreviewed
Node	Чвор	Čvor	existing-unreviewed
Nodename	Nodename	Nodename	existing-unreviewed
OnEtherFrameReceived	ЖичанавезаОквирreceivewhen	ŽičanavezaOkvirreceivewhen	existing-unreviewed
OnGetDriver	Наgetdriver	Nagetdriver	existing-unreviewed
OnInternetProtocolReceived	Интернетprotocolreceivewhen	Internetprotocolreceivewhen	existing-unreviewed
OnKeyDown	НаКључНиже	NaKljučNiže	existing-unreviewed
OnKeyUp	НаКључГоре	NaKljučGore	existing-unreviewed
OnMouseDown	НаМишНиже	NaMišNiže	existing-unreviewed
OnMouseMove	НаМишПремести	NaMišPremesti	existing-unreviewed
OnMouseUp	НаМишГоре	NaMišGore	existing-unreviewed
OnRawDataReceived	Наrawdatareceive	Narawdatareceive	existing-unreviewed
OnTick	Наtick	Natick	existing-unreviewed
Overflow	Overflow	Overflow	existing-unreviewed
P1LinkMap	PВредност1Везаmap	PVrednost1Vezamap	existing-unreviewed
P2LinkMap	PВредност2Везаmap	PVrednost2Vezamap	existing-unreviewed
P3LinkMap	PВредност3Везаmap	PVrednost3Vezamap	existing-unreviewed
PAGE_COW	СТРАНАcow	STRANAcow	existing-unreviewed
PAGE_FRAME	СТРАНАОквир	STRANAOkvir	existing-unreviewed
PAGE_PRESENT	СТРАНАПрисутна	STRANAPrisutna	existing-unreviewed
PAGE_USER	СТРАНАКорисник	STRANAKorisnik	existing-unreviewed
PAGE_WRITABLE	СТРАНАwritable	STRANAwritable	existing-unreviewed
PAUSE_LOOP	Паузаloop	Pauzaloop	existing-unreviewed
PICMasterCommandPort	PrimarypicНаредбаУИПорт	PrimarypicNaredbaUIPort	existing-unreviewed
PICMasterDataPort	PrimarypicdataУИПорт	PrimarypicdataUIPort	existing-unreviewed
PICSlaveCommandPort	SecondarypicНаредбаУИПорт	SecondarypicNaredbaUIPort	existing-unreviewed
PICSlaveDataPort	SecondarypicdataУИПорт	SecondarypicdataUIPort	existing-unreviewed
PRESENT	Присутна	Prisutna	existing-unreviewed
PRIV_KERNEL	Privkernel	Privkernel	existing-unreviewed
PRIV_USER	PrivКорисник	PrivKorisnik	existing-unreviewed
PROC_USER_HEAP_SIZE	ProcКорисникheapВеличина	ProcKorisnikheapVeličina	existing-unreviewed
PageDirEntry	СТРАНАДиректоријумунос	STRANADirektorijumunos	existing-unreviewed
PageDirectoryEntry	СТРАНАДиректоријумунос_2	STRANADirektorijumunos_2	existing-unreviewed
PageFault	СТРАНАfault	STRANAfault	existing-unreviewed
PageFaultException	СТРАНАfaultexception	STRANAfaultexception	existing-unreviewed
PageRoundDown	СТРАНАЗаокружиНиже	STRANAZaokružiNiže	existing-unreviewed
PageRoundUp	СТРАНАЗаокружиГоре	STRANAZaokružiGore	existing-unreviewed
PageTableEntry	СТРАНАТабелаунос	STRANATabelaunos	existing-unreviewed
Paging	Paging	Paging	existing-unreviewed
ParentPid	НадређениПИД	NadređeniPID	existing-unreviewed
Parse	Parse	Parse	existing-unreviewed
Partition_id	PartitionИБ	PartitionIB	existing-unreviewed
PhyMemTest	PhymemТест	PhymemTest	existing-unreviewed
PhysicalMemoryManager	PhysicalМеморијаmanager	PhysicalMemorijamanager	existing-unreviewed
Pid	ПИД	PID	existing-unreviewed
Port	Порт	Port	existing-unreviewed
PortBase	Портbase	Portbase	existing-unreviewed
PortInByte	ПортПримљеноbyte	PortPrimljenobyte	existing-unreviewed
PortInDword	ПортПримљеноdword	PortPrimljenodword	existing-unreviewed
PortInWord	ПортПримљенореч	PortPrimljenoreč	existing-unreviewed
PortOutByte	ПортПослатоbyte	PortPoslatobyte	existing-unreviewed
PortOutDword	ПортПослатоdword	PortPoslatodword	existing-unreviewed
PortOutWord	ПортПослатореч	PortPoslatoreč	existing-unreviewed
PortReadByte	Портчитањеbyte	Portčitanjebyte	existing-unreviewed
PortReadDword	Портчитањеdword	Portčitanjedword	existing-unreviewed
PortReadWord	Портчитањереч	Portčitanjereč	existing-unreviewed
PortWriteByte	ПортПишеbyte	PortPišebyte	existing-unreviewed
PortWriteDword	ПортПишеdword	PortPišedword	existing-unreviewed
PortWriteWord	ПортПишереч	PortPišereč	existing-unreviewed
Prev	Previous	Previous	existing-unreviewed
PrevTSS	Previoustss	Previoustss	existing-unreviewed
PrimaryPartition	Primarypartition	Primarypartition	existing-unreviewed
Print	Штампај	Štampaj	existing-unreviewed
PrintBytes	ШтампајБајтова	ŠtampajBajtova	existing-unreviewed
PrintStr	Штампајstr	Štampajstr	existing-unreviewed
PrintTLS	Штампајtls	Štampajtls	existing-unreviewed
PrintTest	ШтампајТест	ŠtampajTest	existing-unreviewed
Process	Процес	Proces	existing-unreviewed
ProcessHelper	Процесhelper	Proceshelper	existing-unreviewed
ProcessPendingKeyboardEvents	ПроцесpendingТастатураДогађаји	ProcespendingTastaturaDogađaji	existing-unreviewed
ProcessPendingMouseEvents	ПроцесpendingМишДогађаји	ProcespendingMišDogađaji	existing-unreviewed
PushAt	Insert_at_index	Insert_at_index	existing-unreviewed
PushBack	Append_to_list	Append_to_list	existing-unreviewed
PushFront	Prepend_to_list	Prepend_to_list	existing-unreviewed
PutPixel	Putpixel	Putpixel	existing-unreviewed
PutPixelRGB	PutpixelЦЗП	PutpixelCZP	existing-unreviewed
QUEUE_START_ADDR	QueueПокрениaddress	QueuePokreniaddress	existing-unreviewed
Rdev	Rdev	Rdev	existing-unreviewed
Read	Читање	Čitanje	existing-unreviewed
Read28	Читање28	Čitanje28	existing-unreviewed
ReadFile	ЧитањеДатотека	ČitanjeDatoteka	existing-unreviewed
ReadPartitions	Читањеpartition	Čitanjepartition	existing-unreviewed
Ready	Спреман	Spreman	existing-unreviewed
Receive	Receive	Receive	existing-unreviewed
Ref	Reference	Reference	existing-unreviewed
Release	Release	Release	existing-unreviewed
ReloadCR3	Освежиcr3	Osvežicr3	existing-unreviewed
Remove	Уклони	Ukloni	existing-unreviewed
RemoveAt	Уклониat	Ukloniat	existing-unreviewed
RemoveThread	Уклониthread	Uklonithread	existing-unreviewed
RemoveThreadAt	Уклониthreadat	Uklonithreadat	existing-unreviewed
RequestMacAddress	Requestmacaddress	Requestmacaddress	existing-unreviewed
Reset	Поновопостави	Ponovopostavi	existing-unreviewed
Resolve	Resolve	Resolve	existing-unreviewed
ResolveCopyOnWriteFault	ResolveУмножинаПишеfault	ResolveUmnožinaPišefault	existing-unreviewed
SCHEDULER_FREQUENCY	SchedulerУчестаност	SchedulerUčestanost	existing-unreviewed
SEG_BIG_MODE	SegbigРЕЖИМ	SegbigREŽIM	existing-unreviewed
SEG_EXEC	Segизвршна	Segizvršna	existing-unreviewed
SEG_GRAN_4K_PAGE	Seggran4kСТРАНА	Seggran4kSTRANA	existing-unreviewed
SEG_GRAN_BYTE	Seggranbyte	Seggranbyte	existing-unreviewed
SEG_KERNEL_CODE	Segkernelcode	Segkernelcode	existing-unreviewed
SEG_KERNEL_DATA	Segkerneldata	Segkerneldata	existing-unreviewed
SEG_KERNEL_GS	Segkernelgs	Segkernelgs	existing-unreviewed
SEG_NOEXEC	Segnoexec	Segnoexec	existing-unreviewed
SEG_NORMAL	Segобичне	Segobične	existing-unreviewed
SEG_NORW	Segnorw	Segnorw	existing-unreviewed
SEG_R	Segr	Segr	existing-unreviewed
SEG_SYSTEM	SegСистем	SegSistem	existing-unreviewed
SEG_TASK_STATE	SegЗадатакСтање	SegZadatakStanje	existing-unreviewed
SEG_USER_CODE	SegКорисникcode	SegKorisnikcode	existing-unreviewed
SEG_USER_DATA	SegКорисникdata	SegKorisnikdata	existing-unreviewed
SEG_USER_GS	SegКорисникgs	SegKorisnikgs	existing-unreviewed
SEG_W	Segw	Segw	existing-unreviewed
SIMDFloatingPointException	SimdЛебдећиpointexception	SimdLebdećipointexception	existing-unreviewed
SIZE	Величина	Veličina	existing-unreviewed
SYS_ACCESS	Sysприступање	Syspristupanje	existing-unreviewed
SYS_BRK	Sysbrk	Sysbrk	existing-unreviewed
SYS_CHDIR	Syschdir	Syschdir	existing-unreviewed
SYS_CLOSE	SysЗатвори	SysZatvori	existing-unreviewed
SYS_CREAT	Syscreat	Syscreat	existing-unreviewed
SYS_DUP	Sysdup	Sysdup	existing-unreviewed
SYS_DUP2	Sysdup2	Sysdup2	existing-unreviewed
SYS_EXECVE	Sysexecve	Sysexecve	existing-unreviewed
