function	native_identifier	implementation	limits
wait	자식기다리기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	열기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	자료철만들기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	자료철제어하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	자료철상태	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	연결자체상태얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	열린자료철상태얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	체제정보얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	통신망순서로16자리바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohs	기계순서로16자리바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htonl	통신망순서로32자리바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
ntohl	기계순서로32자리바꾸기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
socket	통신끝점만들기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
bind	지역주소맺기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
connect	상대끝점잇기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
listen	연결요청받을준비하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
accept	연결요청받기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getsockname	지역끝점주소얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpeername	상대끝점주소얻기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
send	보내기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recv	받기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sendto	목적지로보내기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
recvfrom	보낸곳과함께받기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
shutdown	통신방향닫기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
setsockopt	통신끝점설정하기	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
memcpy	기억내용복사하기	userspace-library	single-thread;C-locale;byte-strings;i386
memmove	겹침허용기억내용옮기기	userspace-library	single-thread;C-locale;byte-strings;i386
memset	기억영역값채우기	userspace-library	single-thread;C-locale;byte-strings;i386
memcmp	기억내용비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
memchr	기억영역에서값찾기	userspace-library	single-thread;C-locale;byte-strings;i386
strlen	문자열여덟자리묶음길이얻기	userspace-library	single-thread;C-locale;byte-strings;i386
strnlen	한도내문자열여덟자리묶음길이얻기	userspace-library	single-thread;C-locale;byte-strings;i386
strcpy	문자열복사하기	userspace-library	single-thread;C-locale;byte-strings;i386
strncpy	한도만큼문자열채워복사하기	userspace-library	single-thread;C-locale;byte-strings;i386
stpcpy	문자열복사뒤끝얻기	userspace-library	single-thread;C-locale;byte-strings;i386
stpncpy	한도만큼채워복사뒤끝얻기	userspace-library	single-thread;C-locale;byte-strings;i386
strcat	문자열덧붙이기	userspace-library	single-thread;C-locale;byte-strings;i386
strncat	한도내문자열덧붙이기	userspace-library	single-thread;C-locale;byte-strings;i386
strcmp	문자열비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
strncmp	한도내문자열비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
strcoll	정렬규칙으로문자열비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
strxfrm	문자열정렬키만들기	userspace-library	single-thread;C-locale;byte-strings;i386
strchr	문자열에서첫값찾기	userspace-library	single-thread;C-locale;byte-strings;i386
strrchr	문자열에서끝값찾기	userspace-library	single-thread;C-locale;byte-strings;i386
strstr	문자열에서부분문자열찾기	userspace-library	single-thread;C-locale;byte-strings;i386
strspn	허용값으로된앞부분길이얻기	userspace-library	single-thread;C-locale;byte-strings;i386
strcspn	제외값없는앞부분길이얻기	userspace-library	single-thread;C-locale;byte-strings;i386
strpbrk	문자열에서집합값찾기	userspace-library	single-thread;C-locale;byte-strings;i386
strtok	문자열낱말나누기	userspace-library	single-thread;C-locale;byte-strings;i386
strtok_r	진행상태지정문자열낱말나누기	userspace-library	single-thread;C-locale;byte-strings;i386
strdup	문자열새공간에복제하기	userspace-library	single-thread;C-locale;byte-strings;i386
strndup	한도내문자열새공간에복제하기	userspace-library	single-thread;C-locale;byte-strings;i386
strcasecmp	대소문자구별없이비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
strncasecmp	한도내대소문자구별없이비교하기	userspace-library	single-thread;C-locale;byte-strings;i386
isalnum	영문자나숫자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isalpha	영문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isblank	수평공백인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
iscntrl	제어문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isdigit	십진숫자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isgraph	공백아닌인쇄문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
islower	소문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isprint	인쇄문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
ispunct	문장기호인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isspace	공백문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isupper	대문자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
isxdigit	십육진숫자인지확인하기	userspace-library	single-thread;C-locale;byte-strings;i386
tolower	소문자로바꾸기	userspace-library	single-thread;C-locale;byte-strings;i386
toupper	대문자로바꾸기	userspace-library	single-thread;C-locale;byte-strings;i386
malloc	기억공간확보하기	userspace-library	single-thread;C-locale;byte-strings;i386
calloc	영으로채운배열공간확보하기	userspace-library	single-thread;C-locale;byte-strings;i386
realloc	기억공간크기바꾸기	userspace-library	single-thread;C-locale;byte-strings;i386
free	기억공간반납하기	userspace-library	single-thread;C-locale;byte-strings;i386
strtol	문자열을긴정수로읽기	userspace-library	single-thread;C-locale;byte-strings;i386
strtoul	문자열을부호없는긴정수로읽기	userspace-library	single-thread;C-locale;byte-strings;i386
atoi	십진문자열을정수로읽기	userspace-library	single-thread;C-locale;byte-strings;i386
atol	십진문자열을긴정수로읽기	userspace-library	single-thread;C-locale;byte-strings;i386
abs	정수절댓값얻기	userspace-library	single-thread;C-locale;byte-strings;i386
labs	긴정수절댓값얻기	userspace-library	single-thread;C-locale;byte-strings;i386
div	정수몫과나머지얻기	userspace-library	single-thread;C-locale;byte-strings;i386
ldiv	긴정수몫과나머지얻기	userspace-library	single-thread;C-locale;byte-strings;i386
qsort	비교기준으로정렬하기	userspace-library	single-thread;C-locale;byte-strings;i386
bsearch	정렬된배열이분탐색하기	userspace-library	single-thread;C-locale;byte-strings;i386
getenv	환경변수값얻기	userspace-library	single-thread;C-locale;byte-strings;i386
