standard_identifier	native_identifier	category	current_role	status
E2BIG	錯誤引數列表過大	error-code	argument_list_too_large	project-proposal
ENOEXEC	錯誤執行格式無效	error-code	invalid_executable_format	project-proposal
EBADF	錯誤描述編號無效	error-code	invalid_file_descriptor	project-proposal
ECHILD	錯誤沒有子行程	error-code	no_child_process	project-proposal
EAGAIN	錯誤暫時無法使用	error-code	temporarily_unavailable	project-proposal
ENOMEM	錯誤記憶體不足	error-code	insufficient_memory	project-proposal
EACCES	錯誤沒有存取權限	error-code	permission_denied	project-proposal
EFAULT	錯誤記憶體位址無效	error-code	invalid_memory_address	project-proposal
EBUSY	錯誤資源使用中	error-code	resource_busy	project-proposal
EEXIST	錯誤檔案已存在	error-code	file_already_exists	project-proposal
ENODEV	錯誤裝置不存在	error-code	device_missing	project-proposal
ENOTDIR	錯誤不是目錄	error-code	not_a_directory	project-proposal
EISDIR	錯誤是目錄	error-code	is_a_directory	project-proposal
EINVAL	錯誤引數無效	error-code	invalid_argument	project-proposal
ENFILE	錯誤系統檔案數量上限	error-code	system_file_limit	project-proposal
EMFILE	錯誤行程檔案數量上限	error-code	process_file_limit	project-proposal
ENOTTY	錯誤裝置不適用操作	error-code	inappropriate_device_operation	project-proposal
EFBIG	錯誤檔案過大	error-code	file_too_large	project-proposal
ENOSPC	錯誤儲存空間不足	error-code	no_storage_space	project-proposal
ESPIPE	錯誤資料流無法定位	error-code	cannot_seek_stream	project-proposal
EROFS	錯誤唯讀檔案系統	error-code	read_only_filesystem	project-proposal
ERANGE	錯誤數值超出範圍	error-code	value_out_of_range	project-proposal
ENOSYS	錯誤功能未實作	error-code	function_not_implemented	project-proposal
EMSGSIZE	錯誤訊息過大	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	錯誤不支援協定	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	錯誤不支援操作	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	錯誤不支援位址族	error-code	address_family_not_supported	project-proposal
EADDRINUSE	錯誤位址已占用	error-code	address_already_in_use	project-proposal
ENETUNREACH	錯誤網路無法到達	error-code	network_unreachable	project-proposal
ENOTCONN	錯誤端點未連接	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	每位元組位元數	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	有號字元整數最小值	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	有號字元整數最大值	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	無號字元整數最大值	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	字元整數最小值	integer-limit	char_minimum	project-proposal
CHAR_MAX	字元整數最大值	integer-limit	char_maximum	project-proposal
SHRT_MIN	短整數最小值	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	短整數最大值	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	無號短整數最大值	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	整數最小值	integer-limit	integer_minimum	project-proposal
INT_MAX	整數最大值	integer-limit	integer_maximum	project-proposal
UINT_MAX	無號整數最大值	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	長整數最小值	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	長整數最大值	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	無號長整數最大值	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	長長整數最小值	integer-limit	long_long_integer_minimum	project-proposal
LLONG_MAX	長長整數最大值	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	無號長長整數最大值	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	無引數系統呼叫	implementation-helper	syscall_without_arguments	project-proposal
SC1	單引數系統呼叫	implementation-helper	syscall_with_one_argument	project-proposal
SC2	雙引數系統呼叫	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	三引數系統呼叫	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	通訊端點系統呼叫編號	implementation-helper	socket_call_number	project-proposal
argc	引數數量	implementation-helper	argument_count	project-proposal
args_fail	引數檢查失敗	implementation-helper	argument_test_failure	project-proposal
args_pass	引數檢查成功	implementation-helper	argument_test_success	project-proposal
bss_zeroed	未初始化資料清零	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	位元組值	implementation-helper	byte_value	project-proposal
bytes	位元組陣列	implementation-helper	byte_array	project-proposal
checks	檢查次數	implementation-helper	check_count	project-proposal
client	請求端點	implementation-helper	client_endpoint	project-proposal
cloexec_fail	程式替換時關閉失敗	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	程式替換時關閉成功	implementation-helper	close_on_exec_success	project-proposal
copy	複製值	implementation-helper	copied_value	project-proposal
cwd	工作目錄	implementation-helper	working_directory	project-proposal
decoded	解碼值	implementation-helper	decoded_value	project-proposal
expected_errno	預期錯誤編號	implementation-helper	expected_error_number	project-proposal
failed_with	檢查是否指定錯誤	implementation-helper	failed_with_error	project-proposal
failure	失敗旗標	implementation-helper	failure_flag	project-proposal
failures	失敗次數	implementation-helper	failure_count	project-proposal
first	首項	implementation-helper	first_item	project-proposal
i	項目索引	implementation-helper	item_index	project-proposal
iteration	迭代次數	implementation-helper	iteration_number	project-proposal
length_of	取得文字長度	implementation-helper	length_of_text	project-proposal
loaded	載入值	implementation-helper	loaded_value	project-proposal
memory	記憶體區域	implementation-helper	memory_region	project-proposal
old	原有值	implementation-helper	previous_value	project-proposal
parent	父行程	implementation-helper	parent_process	project-proposal
pass	檢查通過	implementation-helper	test_pass	project-proposal
passed	通過旗標	implementation-helper	passed_test	project-proposal
posix_compile_test	宣告編譯試驗	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	動態記憶體行為試驗	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	行程行為試驗	implementation-helper	process_behavior_test	project-proposal
private_value	行程私有值	implementation-helper	process_private_value	project-proposal
reap_nohang	不等待回收子行程	implementation-helper	reap_without_waiting	project-proposal
report	報告結果	implementation-helper	report_result	project-proposal
root	根路徑	implementation-helper	root_path	project-proposal
s	受檢資料	implementation-helper	examined_data	project-proposal
say	寫出訊息	implementation-helper	write_message	project-proposal
second	第二項	implementation-helper	second_item	project-proposal
server	回應端點	implementation-helper	server_endpoint	project-proposal
server_address	回應端點位址	implementation-helper	server_endpoint_address	project-proposal
source_length	來源位址大小	implementation-helper	source_address_size	project-proposal
spin	迴圈輪次	implementation-helper	spin_iteration	project-proposal
spins	迴圈次數	implementation-helper	spin_count	project-proposal
start	起始位置	implementation-helper	starting_position	project-proposal
target	目標值	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	描述編號複製與控制試驗	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	執行身分試驗	implementation-helper	test_process_identity	project-proposal
test_open_and_io	開啟與讀寫試驗	implementation-helper	test_open_and_io	project-proposal
test_paths	路徑操作試驗	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	終端與系統資訊試驗	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	檢查文字相等	implementation-helper	text_is_equal	project-proposal
text_length	文字位元組長度	implementation-helper	text_byte_length	project-proposal
waited	已等待行程	implementation-helper	waited_process	project-proposal
