standard_identifier	native_identifier	category	current_role	status
LLONG_MAX	long_long_integer_maximum	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	unsigned_long_long_maximum	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	syscall_without_arguments	implementation-helper	syscall_without_arguments	project-proposal
SC1	syscall_with_one_argument	implementation-helper	syscall_with_one_argument	project-proposal
SC2	syscall_with_two_arguments	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	syscall_with_three_arguments	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	socket_call_number	implementation-helper	socket_call_number	project-proposal
argc	argument_count	implementation-helper	argument_count	project-proposal
args_fail	argument_test_failure	implementation-helper	argument_test_failure	project-proposal
args_pass	argument_test_success	implementation-helper	argument_test_success	project-proposal
bss_zeroed	uninitialized_data_was_zeroed	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	byte_value	implementation-helper	byte_value	project-proposal
bytes	byte_array	implementation-helper	byte_array	project-proposal
checks	check_count	implementation-helper	check_count	project-proposal
client	client_endpoint	implementation-helper	client_endpoint	project-proposal
cloexec_fail	close_on_exec_failure	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	close_on_exec_success	implementation-helper	close_on_exec_success	project-proposal
copy	copied_value	implementation-helper	copied_value	project-proposal
cwd	working_directory	implementation-helper	working_directory	project-proposal
decoded	decoded_value	implementation-helper	decoded_value	project-proposal
expected_errno	expected_error_number	implementation-helper	expected_error_number	project-proposal
failed_with	failed_with_error	implementation-helper	failed_with_error	project-proposal
failure	failure_flag	implementation-helper	failure_flag	project-proposal
failures	failure_count	implementation-helper	failure_count	project-proposal
first	first_item	implementation-helper	first_item	project-proposal
i	item_index	implementation-helper	item_index	project-proposal
iteration	iteration_number	implementation-helper	iteration_number	project-proposal
length_of	length_of_text	implementation-helper	length_of_text	project-proposal
loaded	loaded_value	implementation-helper	loaded_value	project-proposal
memory	memory_region	implementation-helper	memory_region	project-proposal
old	previous_value	implementation-helper	previous_value	project-proposal
parent	parent_process	implementation-helper	parent_process	project-proposal
pass	test_pass	implementation-helper	test_pass	project-proposal
passed	passed_test	implementation-helper	passed_test	project-proposal
posix_compile_test	interface_compile_test	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	heap_behavior_test	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	process_behavior_test	implementation-helper	process_behavior_test	project-proposal
private_value	process_private_value	implementation-helper	process_private_value	project-proposal
reap_nohang	reap_without_waiting	implementation-helper	reap_without_waiting	project-proposal
report	report_result	implementation-helper	report_result	project-proposal
root	root_path	implementation-helper	root_path	project-proposal
s	examined_data	implementation-helper	examined_data	project-proposal
say	write_message	implementation-helper	write_message	project-proposal
second	second_item	implementation-helper	second_item	project-proposal
server	server_endpoint	implementation-helper	server_endpoint	project-proposal
server_address	server_endpoint_address	implementation-helper	server_endpoint_address	project-proposal
source_length	source_address_size	implementation-helper	source_address_size	project-proposal
spin	spin_iteration	implementation-helper	spin_iteration	project-proposal
spins	spin_count	implementation-helper	spin_count	project-proposal
start	starting_position	implementation-helper	starting_position	project-proposal
target	target_value	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	test_descriptor_duplication_and_control	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	test_process_identity	implementation-helper	test_process_identity	project-proposal
test_open_and_io	test_open_and_io	implementation-helper	test_open_and_io	project-proposal
test_paths	test_path_operations	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	test_terminal_and_system_identity	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	text_is_equal	implementation-helper	text_is_equal	project-proposal
text_length	text_byte_length	implementation-helper	text_byte_length	project-proposal
waited	waited_process	implementation-helper	waited_process	project-proposal
