PASS ABW independent make vbox entry; no VM changes
PASS GAB independent make vbox entry; no VM changes
PASS GBR independent make vbox entry; no VM changes
PASS GEO independent make vbox entry; no VM changes
PASS GGY independent make vbox entry; no VM changes
PASS GHA independent make vbox entry; no VM changes
PASS GIB independent make vbox entry; no VM changes
PASS GIN independent make vbox entry; no VM changes
PASS GLP independent make vbox entry; no VM changes
PASS GMB independent make vbox entry; no VM changes
PASS GNB independent make vbox entry; no VM changes
PASS GNQ independent make vbox entry; no VM changes
PASS GRC independent make vbox entry; no VM changes
PASS GRD independent make vbox entry; no VM changes
PASS GRL independent make vbox entry; no VM changes
PASS GTM independent make vbox entry; no VM changes
PASS GUF independent make vbox entry; no VM changes
PASS GUM independent make vbox entry; no VM changes
PASS GUY independent make vbox entry; no VM changes
PASS HKG independent make vbox entry; no VM changes
PASS HMD independent make vbox entry; no VM changes
PASS HND independent make vbox entry; no VM changes
PASS HRV independent make vbox entry; no VM changes
PASS HTI independent make vbox entry; no VM changes
PASS HUN independent make vbox entry; no VM changes
PASS IDN independent make vbox entry; no VM changes
PASS IMN independent make vbox entry; no VM changes
PASS IND independent make vbox entry; no VM changes
PASS IOT independent make vbox entry; no VM changes
PASS IRL independent make vbox entry; no VM changes
PASS IRN independent make vbox entry; no VM changes
PASS IRQ independent make vbox entry; no VM changes
PASS ISL independent make vbox entry; no VM changes
PASS ISR independent make vbox entry; no VM changes
PASS ITA independent make vbox entry; no VM changes
PASS JAM independent make vbox entry; no VM changes
PASS JEY independent make vbox entry; no VM changes
PASS JOR independent make vbox entry; no VM changes
PASS JPN independent make vbox entry; no VM changes
PASS KAZ independent make vbox entry; no VM changes
PASS KEN independent make vbox entry; no VM changes
PASS KGZ independent make vbox entry; no VM changes
PASS KHM independent make vbox entry; no VM changes
PASS KIR independent make vbox entry; no VM changes
PASS KNA independent make vbox entry; no VM changes
PASS KOR independent make vbox entry; no VM changes
PASS KWT independent make vbox entry; no VM changes
PASS LAO independent make vbox entry; no VM changes
PASS LBN independent make vbox entry; no VM changes
PASS LBR independent make vbox entry; no VM changes
PASS LBY independent make vbox entry; no VM changes
PASS LCA independent make vbox entry; no VM changes
PASS LIE independent make vbox entry; no VM changes
PASS LKA independent make vbox entry; no VM changes
PASS LSO independent make vbox entry; no VM changes
PASS LTU independent make vbox entry; no VM changes
PASS LUX independent make vbox entry; no VM changes
PASS LVA independent make vbox entry; no VM changes
PASS MAC independent make vbox entry; no VM changes
PASS MAF independent make vbox entry; no VM changes
PASS MAR independent make vbox entry; no VM changes
PASS MCO independent make vbox entry; no VM changes
PASS MDA independent make vbox entry; no VM changes
PASS MDG independent make vbox entry; no VM changes
PASS MDV independent make vbox entry; no VM changes
PASS MEX independent make vbox entry; no VM changes
PASS MHL independent make vbox entry; no VM changes
PASS MKD independent make vbox entry; no VM changes
PASS MLI independent make vbox entry; no VM changes
PASS MLT independent make vbox entry; no VM changes
PASS MMR independent make vbox entry; no VM changes
PASS MNE independent make vbox entry; no VM changes
PASS MNG independent make vbox entry; no VM changes
PASS MNP independent make vbox entry; no VM changes
PASS MOZ independent make vbox entry; no VM changes
PASS MRT independent make vbox entry; no VM changes
PASS MSR independent make vbox entry; no VM changes
PASS MTQ independent make vbox entry; no VM changes
PASS MUS independent make vbox entry; no VM changes
PASS MWI independent make vbox entry; no VM changes
PASS MYS independent make vbox entry; no VM changes
PASS MYT independent make vbox entry; no VM changes
PASS NAM independent make vbox entry; no VM changes
PASS NCL independent make vbox entry; no VM changes
PASS NER independent make vbox entry; no VM changes
PASS NFK independent make vbox entry; no VM changes
PASS NGA independent make vbox entry; no VM changes
PASS NIC independent make vbox entry; no VM changes
PASS NIU independent make vbox entry; no VM changes
PASS NLD independent make vbox entry; no VM changes
PASS NOR independent make vbox entry; no VM changes
PASS NPL independent make vbox entry; no VM changes
PASS NRU independent make vbox entry; no VM changes
PASS NZL independent make vbox entry; no VM changes
PASS OMN independent make vbox entry; no VM changes
PASS PAK independent make vbox entry; no VM changes
PASS PAN independent make vbox entry; no VM changes
PASS PCN independent make vbox entry; no VM changes
PASS PER independent make vbox entry; no VM changes
PASS PHL independent make vbox entry; no VM changes
PASS PLW independent make vbox entry; no VM changes
PASS PNG independent make vbox entry; no VM changes
PASS POL independent make vbox entry; no VM changes
PASS PRI independent make vbox entry; no VM changes
PASS PRK independent make vbox entry; no VM changes
PASS PRT independent make vbox entry; no VM changes
PASS PRY independent make vbox entry; no VM changes
PASS PSE independent make vbox entry; no VM changes
PASS PYF independent make vbox entry; no VM changes
PASS QAT independent make vbox entry; no VM changes
PASS REU independent make vbox entry; no VM changes
PASS ROU independent make vbox entry; no VM changes
PASS RUS independent make vbox entry; no VM changes
PASS RWA independent make vbox entry; no VM changes
PASS SAU independent make vbox entry; no VM changes
PASS SDN independent make vbox entry; no VM changes
PASS SEN independent make vbox entry; no VM changes
PASS SGP independent make vbox entry; no VM changes
PASS SGS independent make vbox entry; no VM changes
PASS SHN independent make vbox entry; no VM changes
PASS SJM independent make vbox entry; no VM changes
PASS SLB independent make vbox entry; no VM changes
PASS SLE independent make vbox entry; no VM changes
PASS SLV independent make vbox entry; no VM changes
PASS SMR independent make vbox entry; no VM changes
PASS SOM independent make vbox entry; no VM changes
PASS SPM independent make vbox entry; no VM changes
PASS SRB independent make vbox entry; no VM changes
PASS SSD independent make vbox entry; no VM changes
PASS STP independent make vbox entry; no VM changes
PASS SUR independent make vbox entry; no VM changes
PASS SVK independent make vbox entry; no VM changes
PASS SVN independent make vbox entry; no VM changes
PASS SWE independent make vbox entry; no VM changes
PASS SWZ independent make vbox entry; no VM changes
PASS SXM independent make vbox entry; no VM changes
PASS SYC independent make vbox entry; no VM changes
PASS SYR independent make vbox entry; no VM changes
PASS TCA independent make vbox entry; no VM changes
PASS TCD independent make vbox entry; no VM changes
PASS TGO independent make vbox entry; no VM changes
PASS THA independent make vbox entry; no VM changes
PASS TJK independent make vbox entry; no VM changes
PASS TKL independent make vbox entry; no VM changes
PASS TKM independent make vbox entry; no VM changes
PASS TLS independent make vbox entry; no VM changes
PASS TON independent make vbox entry; no VM changes
PASS TTO independent make vbox entry; no VM changes
PASS TUN independent make vbox entry; no VM changes
PASS TUR independent make vbox entry; no VM changes
PASS TUV independent make vbox entry; no VM changes
PASS TWN independent make vbox entry; no VM changes
PASS TZA independent make vbox entry; no VM changes
PASS UGA independent make vbox entry; no VM changes
PASS UKR independent make vbox entry; no VM changes
PASS UMI independent make vbox entry; no VM changes
PASS URY independent make vbox entry; no VM changes
PASS USA independent make vbox entry; no VM changes
PASS UZB independent make vbox entry; no VM changes
PASS VAT independent make vbox entry; no VM changes
PASS VCT independent make vbox entry; no VM changes
PASS VEN independent make vbox entry; no VM changes
PASS VGB independent make vbox entry; no VM changes
PASS VIR independent make vbox entry; no VM changes
PASS VNM independent make vbox entry; no VM changes
PASS VUT independent make vbox entry; no VM changes
PASS WLF independent make vbox entry; no VM changes
PASS WSM independent make vbox entry; no VM changes
PASS YEM independent make vbox entry; no VM changes
PASS ZAF independent make vbox entry; no VM changes
PASS ZMB independent make vbox entry; no VM changes
PASS ZWE independent make vbox entry; no VM changes
PASS BIH/bs_Cyrl independent make vbox entry; no VM changes
PASS BIH/bs_Latn independent make vbox entry; no VM changes
PASS CHN/zh_Hans independent make vbox entry; no VM changes
PASS CHN/zh_Hant independent make vbox entry; no VM changes
PASS HKG/zh_Hans independent make vbox entry; no VM changes
PASS HKG/zh_Hant independent make vbox entry; no VM changes
PASS IND/as_Beng independent make vbox entry; no VM changes
PASS IND/bn_Beng independent make vbox entry; no VM changes
PASS IND/brx_Deva independent make vbox entry; no VM changes
PASS IND/doi_Deva independent make vbox entry; no VM changes
PASS IND/gu_Gujr independent make vbox entry; no VM changes
PASS IND/hi_Deva independent make vbox entry; no VM changes
PASS IND/kn_Knda independent make vbox entry; no VM changes
PASS IND/kok_Deva independent make vbox entry; no VM changes
PASS IND/kok_Latn independent make vbox entry; no VM changes
PASS IND/ks_Arab independent make vbox entry; no VM changes
PASS IND/ks_Deva independent make vbox entry; no VM changes
PASS IND/mai_Deva independent make vbox entry; no VM changes
PASS IND/ml_Mlym independent make vbox entry; no VM changes
PASS IND/mni_Beng independent make vbox entry; no VM changes
PASS IND/mni_Mtei independent make vbox entry; no VM changes
PASS IND/mr_Deva independent make vbox entry; no VM changes
PASS IND/ne_Deva independent make vbox entry; no VM changes
PASS IND/or_Orya independent make vbox entry; no VM changes
PASS IND/pa_Arab independent make vbox entry; no VM changes
PASS IND/pa_Guru independent make vbox entry; no VM changes
PASS IND/sa_Deva independent make vbox entry; no VM changes
PASS IND/sat_Beng independent make vbox entry; no VM changes
PASS IND/sat_Deva independent make vbox entry; no VM changes
PASS IND/sat_Olck independent make vbox entry; no VM changes
PASS IND/sd_Arab independent make vbox entry; no VM changes
PASS IND/sd_Deva independent make vbox entry; no VM changes
PASS IND/ta_Taml independent make vbox entry; no VM changes
PASS IND/te_Telu independent make vbox entry; no VM changes
PASS IND/ur_Arab independent make vbox entry; no VM changes
PASS JPN/ja_Hira independent make vbox entry; no VM changes
PASS JPN/ja_Jpan independent make vbox entry; no VM changes
PASS JPN/ja_Kana independent make vbox entry; no VM changes
PASS MAC/zh_Hans independent make vbox entry; no VM changes
PASS MAC/zh_Hant independent make vbox entry; no VM changes
PASS MNE/sr_Cyrl independent make vbox entry; no VM changes
PASS MNE/sr_Latn independent make vbox entry; no VM changes
PASS SRB/sr_Cyrl independent make vbox entry; no VM changes
PASS SRB/sr_Latn independent make vbox entry; no VM changes
PASS TWN/zh_Hans independent make vbox entry; no VM changes
PASS TWN/zh_Hant independent make vbox entry; no VM changes
