original	native
userland/posix/include/arpa/inet.h	利用者領域/posix/宣言集/arpa/inet.h
userland/posix/include/engos/syscall.h	利用者領域/posix/宣言集/sys/syscall.h
userland/posix/include/errno.h	利用者領域/posix/宣言集/errno.h
userland/posix/include/fcntl.h	利用者領域/posix/宣言集/fcntl.h
userland/posix/include/netinet/in.h	利用者領域/posix/宣言集/netinet/in.h
userland/posix/include/stddef.h	利用者領域/posix/宣言集/stddef.h
userland/posix/include/stdint.h	利用者領域/posix/宣言集/stdint.h
userland/posix/include/sys/socket.h	利用者領域/posix/宣言集/sys/socket.h
userland/posix/include/sys/stat.h	利用者領域/posix/宣言集/sys/stat.h
userland/posix/include/sys/types.h	利用者領域/posix/宣言集/sys/types.h
userland/posix/include/sys/utsname.h	利用者領域/posix/宣言集/sys/utsname.h
userland/posix/include/sys/wait.h	利用者領域/posix/宣言集/sys/wait.h
userland/posix/include/unistd.h	利用者領域/posix/宣言集/unistd.h
userland/posix/linker.ld	利用者領域/posix/連結配置.ld
userland/posix/src/crt0.S	利用者領域/posix/実装/起動.S
userland/posix/src/errno.c	利用者領域/posix/実装/エラー番号.c
userland/posix/src/fcntl.c	利用者領域/posix/実装/ファイル制御.c
userland/posix/src/socket.c	利用者領域/posix/実装/socket.c
userland/posix/src/stat.c	利用者領域/posix/実装/ファイル状態.c
userland/posix/src/syscall.S	利用者領域/posix/実装/体系呼出し.S
userland/posix/src/unistd.c	利用者領域/posix/実装/unistd.c
userland/posix/tests/compile.c	利用者領域/posix/試験/compile.c
userland/posix/tests/exec_runtime.c	利用者領域/posix/試験/exec_runtime.c
userland/posix/tests/exec_target.c	利用者領域/posix/試験/exec_target.c
userland/posix/tests/fork_runtime.c	利用者領域/posix/試験/fork_runtime.c
userland/posix/tests/heap_runtime.c	利用者領域/posix/試験/heap_runtime.c
userland/posix/tests/runtime.c	利用者領域/posix/試験/runtime.c
userland/posix/tests/socket_runtime.c	利用者領域/posix/試験/socket_runtime.c
userland/posix/tests/stdin_runtime.c	利用者領域/posix/試験/stdin_runtime.c
