standard_identifier	native_identifier	category	current_role	status
int8_t	부호있는8이진자리정수	scalar-type	signed_8_bit_integer	project-proposal
uint8_t	부호없는8이진자리정수	scalar-type	unsigned_8_bit_integer	project-proposal
int16_t	부호있는16이진자리정수	scalar-type	signed_16_bit_integer	project-proposal
uint16_t	부호없는16이진자리정수	scalar-type	unsigned_16_bit_integer	project-proposal
int32_t	부호있는32이진자리정수	scalar-type	signed_32_bit_integer	project-proposal
uint32_t	부호없는32이진자리정수	scalar-type	unsigned_32_bit_integer	project-proposal
int64_t	부호있는64이진자리정수	scalar-type	signed_64_bit_integer	project-proposal
uint64_t	부호없는64이진자리정수	scalar-type	unsigned_64_bit_integer	project-proposal
intptr_t	주소크기부호있는정수	scalar-type	pointer_sized_signed_integer	project-proposal
uintptr_t	주소크기부호없는정수	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	소속장치번호	structure-field	containing_device	project-proposal
st_ino	자료철고유번호	structure-field	file_serial_number	project-proposal
st_mode	자료철종류와권한	structure-field	file_kind_and_permissions	project-proposal
st_nlink	직접연결수	structure-field	hard_link_count	project-proposal
st_uid	소유사용자번호	structure-field	owner_user_identifier	project-proposal
st_gid	소유무리번호	structure-field	owner_group_identifier	project-proposal
st_rdev	가리키는장치번호	structure-field	represented_device	project-proposal
st_size	자료철크기	structure-field	file_size	project-proposal
st_blksize	권장입출력구획크기	structure-field	preferred_io_block_size	project-proposal
st_blocks	할당구획수	structure-field	allocated_block_count	project-proposal
st_atime	마지막접근시각	structure-field	last_access_time	project-proposal
st_atimensec	마지막접근십억분초	structure-field	last_access_nanoseconds	project-proposal
st_mtime	마지막내용변경시각	structure-field	last_content_change_time	project-proposal
st_mtimensec	마지막내용변경십억분초	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	마지막상태변경시각	structure-field	last_status_change_time	project-proposal
st_ctimensec	마지막상태변경십억분초	structure-field	last_status_change_nanoseconds	project-proposal
utsname	체제정보	structure-field	system_identity	project-proposal
sysname	체제이름	structure-field	system_name	project-proposal
nodename	기계이름	structure-field	node_name	project-proposal
release	체제배포판	structure-field	system_release	project-proposal
version	체제개정판	structure-field	system_version	project-proposal
machine	기계종류	structure-field	machine_kind	project-proposal
NULL	빈주소	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	성공종료	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	실패종료	interface-constant	failed_exit	project-proposal
STDIN_FILENO	표준입력번호	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	표준출력번호	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	표준오류출력번호	interface-constant	standard_error_descriptor	project-proposal
F_OK	존재확인	interface-constant	test_existence	project-proposal
R_OK	읽기권한확인	interface-constant	test_read_permission	project-proposal
W_OK	쓰기권한확인	interface-constant	test_write_permission	project-proposal
X_OK	실행권한확인	interface-constant	test_execute_permission	project-proposal
SEEK_SET	처음기준위치	interface-constant	offset_from_start	project-proposal
SEEK_CUR	현재기준위치	interface-constant	offset_from_current	project-proposal
SEEK_END	끝기준위치	interface-constant	offset_from_end	project-proposal
O_RDONLY	읽기전용열기	interface-constant	open_read_only	project-proposal
O_WRONLY	쓰기전용열기	interface-constant	open_write_only	project-proposal
O_RDWR	읽고쓰기열기	interface-constant	open_read_write	project-proposal
O_ACCMODE	접근방식가림값	interface-constant	access_mode_mask	project-proposal
O_CREAT	없으면만들기	interface-constant	create_if_missing	project-proposal
O_EXCL	새자료철만허용	interface-constant	require_new_file	project-proposal
O_TRUNC	기존내용비우기	interface-constant	truncate_existing_file	project-proposal
O_APPEND	끝에덧붙이기	interface-constant	append_at_end	project-proposal
O_DIRECTORY	목록만허용	interface-constant	require_directory	project-proposal
F_DUPFD	서술번호복제	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	서술번호표시얻기	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	서술번호표시설정	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	자료철상태표시얻기	interface-constant	read_file_status_flags	project-proposal
F_SETFL	자료철상태표시설정	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	실행내용교체때닫기	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	준비안되면기다리지않기	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	정상종료인지확인	interface-constant	exited_normally	project-proposal
WEXITSTATUS	종료값꺼내기	interface-constant	extract_exit_status	project-proposal
S_IFMT	자료철종류가림값	interface-constant	file_kind_mask	project-proposal
S_IFDIR	목록종류	interface-constant	directory_kind	project-proposal
S_IFCHR	문자장치종류	interface-constant	character_device_kind	project-proposal
S_IFREG	일반자료철종류	interface-constant	regular_file_kind	project-proposal
S_IRUSR	소유자읽기권한	interface-constant	owner_read_permission	project-proposal
S_IWUSR	소유자쓰기권한	interface-constant	owner_write_permission	project-proposal
S_IXUSR	소유자실행권한	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	소유무리읽기권한	interface-constant	group_read_permission	project-proposal
S_IWGRP	소유무리쓰기권한	interface-constant	group_write_permission	project-proposal
S_IXGRP	소유무리실행권한	interface-constant	group_execute_permission	project-proposal
S_IROTH	나머지읽기권한	interface-constant	others_read_permission	project-proposal
S_IWOTH	나머지쓰기권한	interface-constant	others_write_permission	project-proposal
S_IXOTH	나머지실행권한	interface-constant	others_execute_permission	project-proposal
S_ISDIR	목록방식인지확인	interface-constant	is_directory_mode	project-proposal
S_ISCHR	문자장치방식인지확인	interface-constant	is_character_device_mode	project-proposal
S_ISREG	일반자료철방식인지확인	interface-constant	is_regular_file_mode	project-proposal
EPERM	오류허용되지않은동작	error-code	operation_not_permitted	project-proposal
ENOENT	오류자료철이나목록없음	error-code	file_or_directory_missing	project-proposal
ESRCH	오류실행과정없음	error-code	process_missing	project-proposal
EINTR	오류동작중단됨	error-code	operation_interrupted	project-proposal
EIO	오류입출력실패	error-code	input_output_error	project-proposal
E2BIG	오류전달목록너무큼	error-code	argument_list_too_large	project-proposal
ENOEXEC	오류실행형식잘못됨	error-code	invalid_executable_format	project-proposal
EBADF	오류서술번호잘못됨	error-code	invalid_file_descriptor	project-proposal
ECHILD	오류자식실행과정없음	error-code	no_child_process	project-proposal
EAGAIN	오류잠시사용불가	error-code	temporarily_unavailable	project-proposal
ENOMEM	오류기억공간부족	error-code	insufficient_memory	project-proposal
EACCES	오류접근권한없음	error-code	permission_denied	project-proposal
EFAULT	오류기억주소잘못됨	error-code	invalid_memory_address	project-proposal
EBUSY	오류자원사용중	error-code	resource_busy	project-proposal
EEXIST	오류자료철이미있음	error-code	file_already_exists	project-proposal
ENODEV	오류장치없음	error-code	device_missing	project-proposal
ENOTDIR	오류목록아님	error-code	not_a_directory	project-proposal
EISDIR	오류목록임	error-code	is_a_directory	project-proposal
EINVAL	오류전달값잘못됨	error-code	invalid_argument	project-proposal
ENFILE	오류체제열린자료철한도	error-code	system_file_limit	project-proposal
EMFILE	오류과정열린자료철한도	error-code	process_file_limit	project-proposal
ENOTTY	오류장치에맞지않는동작	error-code	inappropriate_device_operation	project-proposal
EFBIG	오류자료철너무큼	error-code	file_too_large	project-proposal
ENOSPC	오류저장공간부족	error-code	no_storage_space	project-proposal
ESPIPE	오류흐름위치이동불가	error-code	cannot_seek_stream	project-proposal
EROFS	오류읽기전용자료체계	error-code	read_only_filesystem	project-proposal
ERANGE	오류값범위벗어남	error-code	value_out_of_range	project-proposal
ENOSYS	오류기능미구현	error-code	function_not_implemented	project-proposal
EMSGSIZE	오류전문너무큼	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	오류규약지원안함	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	오류동작지원안함	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	오류주소계열지원안함	error-code	address_family_not_supported	project-proposal
EADDRINUSE	오류주소이미사용중	error-code	address_already_in_use	project-proposal
ENETUNREACH	오류통신망도달불가	error-code	network_unreachable	project-proposal
ENOTCONN	오류끝점연결안됨	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	여덟자리묶음의이진자리수	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	부호있는문자정수최솟값	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	부호있는문자정수최댓값	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	부호없는문자정수최댓값	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	문자정수최솟값	integer-limit	char_minimum	project-proposal
CHAR_MAX	문자정수최댓값	integer-limit	char_maximum	project-proposal
SHRT_MIN	짧은정수최솟값	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	짧은정수최댓값	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	부호없는짧은정수최댓값	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	정수최솟값	integer-limit	integer_minimum	project-proposal
INT_MAX	정수최댓값	integer-limit	integer_maximum	project-proposal
UINT_MAX	부호없는정수최댓값	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	긴정수최솟값	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	긴정수최댓값	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	부호없는긴정수최댓값	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	아주긴정수최솟값	integer-limit	long_long_integer_minimum	project-proposal
LLONG_MAX	아주긴정수최댓값	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	부호없는아주긴정수최댓값	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	인수없는체계호출	implementation-helper	syscall_without_arguments	project-proposal
SC1	인수하나체계호출	implementation-helper	syscall_with_one_argument	project-proposal
SC2	인수둘체계호출	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	인수셋체계호출	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	통신끝점체계호출번호	implementation-helper	socket_call_number	project-proposal
argc	인수수	implementation-helper	argument_count	project-proposal
args_fail	인수검사실패	implementation-helper	argument_test_failure	project-proposal
args_pass	인수검사성공	implementation-helper	argument_test_success	project-proposal
bss_zeroed	초기값없는자료영채움	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	여덟자리묶음값	implementation-helper	byte_value	project-proposal
bytes	여덟자리묶음배열	implementation-helper	byte_array	project-proposal
checks	검사수	implementation-helper	check_count	project-proposal
client	요청끝점	implementation-helper	client_endpoint	project-proposal
cloexec_fail	실행교체때닫기실패	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	실행교체때닫기성공	implementation-helper	close_on_exec_success	project-proposal
copy	복사값	implementation-helper	copied_value	project-proposal
cwd	작업목록	implementation-helper	working_directory	project-proposal
decoded	해석값	implementation-helper	decoded_value	project-proposal
expected_errno	예상오류번호	implementation-helper	expected_error_number	project-proposal
failed_with	해당오류로실패했는지	implementation-helper	failed_with_error	project-proposal
failure	실패여부	implementation-helper	failure_flag	project-proposal
failures	실패수	implementation-helper	failure_count	project-proposal
first	첫째항목	implementation-helper	first_item	project-proposal
i	항목순번	implementation-helper	item_index	project-proposal
iteration	반복차례	implementation-helper	iteration_number	project-proposal
length_of	문자열길이구하기	implementation-helper	length_of_text	project-proposal
loaded	불러온값	implementation-helper	loaded_value	project-proposal
memory	기억영역	implementation-helper	memory_region	project-proposal
old	이전값	implementation-helper	previous_value	project-proposal
parent	부모과정	implementation-helper	parent_process	project-proposal
pass	검사통과	implementation-helper	test_pass	project-proposal
passed	통과여부	implementation-helper	passed_test	project-proposal
posix_compile_test	선언번역시험	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	동적기억동작시험	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	실행과정동작시험	implementation-helper	process_behavior_test	project-proposal
private_value	과정전용값	implementation-helper	process_private_value	project-proposal
reap_nohang	기다림없이자식회수	implementation-helper	reap_without_waiting	project-proposal
report	결과알리기	implementation-helper	report_result	project-proposal
root	뿌리경로	implementation-helper	root_path	project-proposal
s	검사자료	implementation-helper	examined_data	project-proposal
say	전문쓰기	implementation-helper	write_message	project-proposal
second	둘째항목	implementation-helper	second_item	project-proposal
server	응답끝점	implementation-helper	server_endpoint	project-proposal
server_address	응답끝점주소	implementation-helper	server_endpoint_address	project-proposal
source_length	출발주소크기	implementation-helper	source_address_size	project-proposal
spin	회전차례	implementation-helper	spin_iteration	project-proposal
spins	회전수	implementation-helper	spin_count	project-proposal
start	시작위치	implementation-helper	starting_position	project-proposal
target	대상값	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	서술번호복제와제어시험	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	실행주체시험	implementation-helper	test_process_identity	project-proposal
test_open_and_io	열기와입출력시험	implementation-helper	test_open_and_io	project-proposal
test_paths	경로동작시험	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	단말과체제정보시험	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	문자열같은지	implementation-helper	text_is_equal	project-proposal
text_length	문자열묶음길이	implementation-helper	text_byte_length	project-proposal
waited	기다린과정	implementation-helper	waited_process	project-proposal
