standard_identifier	native_identifier	category	current_role	status
uintptr_t	番地幅符号なし整数	scalar-type	pointer_sized_unsigned_integer	project-proposal
st_dev	所属装置番号	structure-field	containing_device	project-proposal
st_ino	文書固有番号	structure-field	file_serial_number	project-proposal
st_mode	文書種類と権限	structure-field	file_kind_and_permissions	project-proposal
st_nlink	直接連結数	structure-field	hard_link_count	project-proposal
st_uid	所有利用者番号	structure-field	owner_user_identifier	project-proposal
st_gid	所有組番号	structure-field	owner_group_identifier	project-proposal
st_rdev	表す装置番号	structure-field	represented_device	project-proposal
st_size	文書の大きさ	structure-field	file_size	project-proposal
st_blksize	推奨入出力区画長	structure-field	preferred_io_block_size	project-proposal
st_blocks	割当区画数	structure-field	allocated_block_count	project-proposal
st_atime	最終参照時刻	structure-field	last_access_time	project-proposal
st_atimensec	最終参照十億分秒	structure-field	last_access_nanoseconds	project-proposal
st_mtime	最終内容変更時刻	structure-field	last_content_change_time	project-proposal
st_mtimensec	最終内容変更十億分秒	structure-field	last_content_change_nanoseconds	project-proposal
st_ctime	最終状態変更時刻	structure-field	last_status_change_time	project-proposal
st_ctimensec	最終状態変更十億分秒	structure-field	last_status_change_nanoseconds	project-proposal
utsname	体系情報	structure-field	system_identity	project-proposal
sysname	体系名	structure-field	system_name	project-proposal
nodename	機械名	structure-field	node_name	project-proposal
release	体系配布版	structure-field	system_release	project-proposal
version	体系改訂版	structure-field	system_version	project-proposal
machine	機械種類	structure-field	machine_kind	project-proposal
NULL	空番地	interface-constant	null_pointer	project-proposal
EXIT_SUCCESS	成功終了	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	失敗終了	interface-constant	failed_exit	project-proposal
STDIN_FILENO	標準入力番号	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	標準出力番号	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	標準誤り出力番号	interface-constant	standard_error_descriptor	project-proposal
F_OK	存在確認	interface-constant	test_existence	project-proposal
R_OK	読取権限確認	interface-constant	test_read_permission	project-proposal
W_OK	書込権限確認	interface-constant	test_write_permission	project-proposal
X_OK	実行権限確認	interface-constant	test_execute_permission	project-proposal
SEEK_SET	先頭基準位置	interface-constant	offset_from_start	project-proposal
SEEK_CUR	現在基準位置	interface-constant	offset_from_current	project-proposal
SEEK_END	末尾基準位置	interface-constant	offset_from_end	project-proposal
O_RDONLY	読取専用で開く	interface-constant	open_read_only	project-proposal
O_WRONLY	書込専用で開く	interface-constant	open_write_only	project-proposal
O_RDWR	読書両用で開く	interface-constant	open_read_write	project-proposal
O_ACCMODE	利用方式抽出値	interface-constant	access_mode_mask	project-proposal
O_CREAT	無ければ作る	interface-constant	create_if_missing	project-proposal
O_EXCL	新規文書のみ許す	interface-constant	require_new_file	project-proposal
O_TRUNC	既存内容を空にする	interface-constant	truncate_existing_file	project-proposal
O_APPEND	末尾へ追加する	interface-constant	append_at_end	project-proposal
O_DIRECTORY	目録のみ許す	interface-constant	require_directory	project-proposal
F_DUPFD	記述番号複製	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	記述番号標識取得	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	記述番号標識設定	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	文書状態標識取得	interface-constant	read_file_status_flags	project-proposal
F_SETFL	文書状態標識設定	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	実行内容置換時に閉じる	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	未準備なら待たない	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	正常終了判定	interface-constant	exited_normally	project-proposal
WEXITSTATUS	終了値取出し	interface-constant	extract_exit_status	project-proposal
S_IFMT	文書種類抽出値	interface-constant	file_kind_mask	project-proposal
S_IFDIR	目録種類	interface-constant	directory_kind	project-proposal
S_IFCHR	文字装置種類	interface-constant	character_device_kind	project-proposal
S_IFREG	通常文書種類	interface-constant	regular_file_kind	project-proposal
S_IRUSR	所有者読取権限	interface-constant	owner_read_permission	project-proposal
S_IWUSR	所有者書込権限	interface-constant	owner_write_permission	project-proposal
S_IXUSR	所有者実行権限	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	所属組読取権限	interface-constant	group_read_permission	project-proposal
S_IWGRP	所属組書込権限	interface-constant	group_write_permission	project-proposal
S_IXGRP	所属組実行権限	interface-constant	group_execute_permission	project-proposal
S_IROTH	他者読取権限	interface-constant	others_read_permission	project-proposal
S_IWOTH	他者書込権限	interface-constant	others_write_permission	project-proposal
S_IXOTH	他者実行権限	interface-constant	others_execute_permission	project-proposal
S_ISDIR	目録方式判定	interface-constant	is_directory_mode	project-proposal
S_ISCHR	文字装置方式判定	interface-constant	is_character_device_mode	project-proposal
S_ISREG	通常文書方式判定	interface-constant	is_regular_file_mode	project-proposal
EPERM	誤り操作不許可	error-code	operation_not_permitted	project-proposal
ENOENT	誤り文書又は目録なし	error-code	file_or_directory_missing	project-proposal
ESRCH	誤り実行過程なし	error-code	process_missing	project-proposal
EINTR	誤り操作中断	error-code	operation_interrupted	project-proposal
EIO	誤り入出力失敗	error-code	input_output_error	project-proposal
E2BIG	誤り引数一覧過大	error-code	argument_list_too_large	project-proposal
ENOEXEC	誤り実行形式不正	error-code	invalid_executable_format	project-proposal
EBADF	誤り記述番号不正	error-code	invalid_file_descriptor	project-proposal
ECHILD	誤り子実行過程なし	error-code	no_child_process	project-proposal
EAGAIN	誤り一時利用不可	error-code	temporarily_unavailable	project-proposal
ENOMEM	誤り記憶不足	error-code	insufficient_memory	project-proposal
EACCES	誤り利用権限なし	error-code	permission_denied	project-proposal
EFAULT	誤り記憶番地不正	error-code	invalid_memory_address	project-proposal
EBUSY	誤り資源使用中	error-code	resource_busy	project-proposal
EEXIST	誤り文書既存	error-code	file_already_exists	project-proposal
ENODEV	誤り装置なし	error-code	device_missing	project-proposal
ENOTDIR	誤り目録でない	error-code	not_a_directory	project-proposal
EISDIR	誤り目録である	error-code	is_a_directory	project-proposal
EINVAL	誤り引数不正	error-code	invalid_argument	project-proposal
ENFILE	誤り体系文書数上限	error-code	system_file_limit	project-proposal
EMFILE	誤り過程文書数上限	error-code	process_file_limit	project-proposal
ENOTTY	誤り装置不適合操作	error-code	inappropriate_device_operation	project-proposal
EFBIG	誤り文書過大	error-code	file_too_large	project-proposal
ENOSPC	誤り保存領域不足	error-code	no_storage_space	project-proposal
ESPIPE	誤り流れ位置移動不可	error-code	cannot_seek_stream	project-proposal
EROFS	誤り読取専用文書体系	error-code	read_only_filesystem	project-proposal
ERANGE	誤り値範囲外	error-code	value_out_of_range	project-proposal
ENOSYS	誤り機能未実装	error-code	function_not_implemented	project-proposal
EMSGSIZE	誤り電文過大	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	誤り規約非対応	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	誤り操作非対応	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	誤り番地系統非対応	error-code	address_family_not_supported	project-proposal
EADDRINUSE	誤り番地使用中	error-code	address_already_in_use	project-proposal
ENETUNREACH	誤り通信網到達不可	error-code	network_unreachable	project-proposal
ENOTCONN	誤り端点未接続	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	八桁組の二進桁数	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	符号付き文字整数最小値	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	符号付き文字整数最大値	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	符号なし文字整数最大値	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	文字整数最小値	integer-limit	char_minimum	project-proposal
CHAR_MAX	文字整数最大値	integer-limit	char_maximum	project-proposal
SHRT_MIN	短整数最小値	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	短整数最大値	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	符号なし短整数最大値	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	整数最小値	integer-limit	integer_minimum	project-proposal
INT_MAX	整数最大値	integer-limit	integer_maximum	project-proposal
UINT_MAX	符号なし整数最大値	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	長整数最小値	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	長整数最大値	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	符号なし長整数最大値	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	長長整数最小値	integer-limit	long_long_integer_minimum	project-proposal
LLONG_MAX	長長整数最大値	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	符号なし長長整数最大値	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	引数なし体系呼出し	implementation-helper	syscall_without_arguments	project-proposal
SC1	引数一つ体系呼出し	implementation-helper	syscall_with_one_argument	project-proposal
SC2	引数二つ体系呼出し	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	引数三つ体系呼出し	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	通信端点体系呼出番号	implementation-helper	socket_call_number	project-proposal
argc	引数の数	implementation-helper	argument_count	project-proposal
args_fail	引数検査失敗	implementation-helper	argument_test_failure	project-proposal
args_pass	引数検査成功	implementation-helper	argument_test_success	project-proposal
bss_zeroed	未初期化資料の零埋め	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	八桁組値	implementation-helper	byte_value	project-proposal
bytes	八桁組配列	implementation-helper	byte_array	project-proposal
checks	検査数	implementation-helper	check_count	project-proposal
client	要求端点	implementation-helper	client_endpoint	project-proposal
cloexec_fail	実行置換時閉鎖失敗	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	実行置換時閉鎖成功	implementation-helper	close_on_exec_success	project-proposal
copy	複写値	implementation-helper	copied_value	project-proposal
cwd	作業目録	implementation-helper	working_directory	project-proposal
decoded	解釈値	implementation-helper	decoded_value	project-proposal
expected_errno	期待誤り番号	implementation-helper	expected_error_number	project-proposal
failed_with	指定誤りによる失敗判定	implementation-helper	failed_with_error	project-proposal
failure	失敗判定	implementation-helper	failure_flag	project-proposal
failures	失敗数	implementation-helper	failure_count	project-proposal
first	最初の項	implementation-helper	first_item	project-proposal
i	項の添字	implementation-helper	item_index	project-proposal
iteration	反復回数	implementation-helper	iteration_number	project-proposal
length_of	文字列長を得る	implementation-helper	length_of_text	project-proposal
loaded	読込値	implementation-helper	loaded_value	project-proposal
memory	記憶領域	implementation-helper	memory_region	project-proposal
old	以前の値	implementation-helper	previous_value	project-proposal
parent	親過程	implementation-helper	parent_process	project-proposal
pass	検査合格	implementation-helper	test_pass	project-proposal
passed	合格判定	implementation-helper	passed_test	project-proposal
posix_compile_test	宣言翻訳試験	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	動的記憶動作試験	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	実行過程動作試験	implementation-helper	process_behavior_test	project-proposal
private_value	過程専用値	implementation-helper	process_private_value	project-proposal
reap_nohang	待たずに子を回収	implementation-helper	reap_without_waiting	project-proposal
report	結果を報告	implementation-helper	report_result	project-proposal
root	根の経路	implementation-helper	root_path	project-proposal
s	検査資料	implementation-helper	examined_data	project-proposal
say	電文を書く	implementation-helper	write_message	project-proposal
second	二番目の項	implementation-helper	second_item	project-proposal
server	応答端点	implementation-helper	server_endpoint	project-proposal
server_address	応答端点番地	implementation-helper	server_endpoint_address	project-proposal
source_length	送信元番地長	implementation-helper	source_address_size	project-proposal
spin	回転回数	implementation-helper	spin_iteration	project-proposal
spins	回転数	implementation-helper	spin_count	project-proposal
start	開始位置	implementation-helper	starting_position	project-proposal
target	対象値	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	記述番号複製と制御試験	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	実行主体試験	implementation-helper	test_process_identity	project-proposal
test_open_and_io	開閉入出力試験	implementation-helper	test_open_and_io	project-proposal
test_paths	経路操作試験	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	端末と体系情報試験	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	文字列一致判定	implementation-helper	text_is_equal	project-proposal
text_length	文字列組長	implementation-helper	text_byte_length	project-proposal
waited	待った過程	implementation-helper	waited_process	project-proposal
