compiler_identifier	native_identifier
SYS_getegid	SYS_प्रभावी_समूह_पहचान_पाना
SYS_geteuid	SYS_प्रभावी_उपयोगकर्ता_पहचान_पाना
SYS_getgid	SYS_समूह_पहचान_पाना
SYS_getpid	SYS_प्रक्रिया_पहचान_पाना
SYS_getppid	SYS_जनक_प्रक्रिया_पहचान_पाना
SYS_getuid	SYS_उपयोगकर्ता_पहचान_पाना
SYS_lseek	SYS_पठन_लेखन_स्थिति_बदलना
SYS_lstat	SYS_कड़ी_की_अपनी_स्थिति_पाना
SYS_open	SYS_खोलना
SYS_read	SYS_पढ़ना
SYS_stat	SYS_संचिका_स्थिति
SYS_sync	SYS_सभी_अभिलेख_समकालित_करना
SYS_uname	SYS_प्रणाली_जानकारी_पाना
SYS_write	SYS_लिखना
_LIBC_ARPA_INET_H	_include_संचार_पता_परिवर्तन_अष्टक_क्रम
_LIBC_NETINET_IN_H	_include_अंतरजाल_पता
_LIBC_STDDEF_H	_include_मूल_परिभाषाएँ
_LIBC_STDINT_H	_include_पूर्णांक_प्रकार
_LIBC_SYSCALL_H	_include_प्रणाली_syscall
_LIBC_SYS_SOCKET_H	_include_प्रणाली_socket
_LIBC_SYS_STAT_H	_include_प्रणाली_stat
_LIBC_SYS_TYPES_H	_include_प्रणाली_आँकड़ा_प्रकार
_LIBC_SYS_UTSNAME_H	_include_प्रणाली_प्रणाली_पहचान
_LIBC_SYS_WAIT_H	_include_प्रणाली_संतान_प्रतीक्षा
_exit	तुरंत_समाप्त_करना
accept	जुड़ाव_स्वीकार_करना
access	पहुँच_अनुमति_जाँचना
argv	तर्क_सूची_2
bind	स्थानीय_पता_बाँधना
brk	गतिशील_स्मृति_अंत_निर्धारित_करना
buf	स्थानांतरण_का_अस्थायी_भंडार
chdir	कार्य_निर्देशिका_बदलना
close	बंद_करना
connect	दूसरे_छोर_से_जुड़ना
creat	संचिका_बनाना
dup	खुली_संचिका_संदर्भ_की_प्रतिलिपि_बनाना
dup2	नियत_क्रमांक_पर_संचिका_संदर्भ_प्रतिलिपि_बनाना
execve	निष्पादन_सामग्री_बदलना
fcntl	संचिका_नियंत्रित_करना
fd	संचिका_विवरणक
fork	संतान_प्रक्रिया_बनाना
fstat	खुली_संचिका_स्थिति_पाना
fsync	संचिका_अभिलेख_समकालित_करना
getcwd	कार्य_निर्देशिका_पथ_पाना
getegid	प्रभावी_समूह_पहचान_पाना
geteuid	प्रभावी_उपयोगकर्ता_पहचान_पाना
getgid	समूह_पहचान_पाना
getpeername	दूसरे_छोर_का_पता_पाना
getpid	प्रक्रिया_पहचान_पाना
getppid	जनक_प्रक्रिया_पहचान_पाना
getsockname	स्थानीय_छोर_पता_पाना
getuid	उपयोगकर्ता_पहचान_पाना
hostlong	यंत्र_क्रम_में_32_द्विआधारी_अंकों_का_मान
hostshort	यंत्र_क्रम_में_16_द्विआधारी_अंकों_का_मान
htonl	_32_अंकों_को_संजाल_क्रम_में_बदलना
htons	_16_अंकों_को_संजाल_क्रम_में_बदलना
in_addr	अंतरजाल_पता
in_addr_t	अंतरजाल_पता_मान_प्रकार
in_port_t	संचार_द्वार_संख्या_प्रकार
isatty	अंतक_है_या_नहीं_जाँचना
listen	जुड़ाव_अनुरोध_के_लिए_तैयार_होना
lseek	पठन_लेखन_स्थिति_बदलना
lstat	कड़ी_की_अपनी_स्थिति_पाना
netlong	जाल_क्रम_में_32_द्विआधारी_अंकों_का_मान
netshort	जाल_क्रम_में_16_द्विआधारी_अंकों_का_मान
ntohl	_32_अंकों_को_यंत्र_क्रम_में_बदलना
ntohs	_16_अंकों_को_यंत्र_क्रम_में_बदलना
open	खोलना
read	पढ़ना
recv	प्राप्त_करना
recvfrom	प्रेषक_पते_सहित_प्राप्त_करना
s_addr	पता_मान
sa_data	पता_आँकड़े
sa_family	छोर_पता_परिवार
sa_family_t	पता_परिवार_प्रकार
sbrk	गतिशील_स्मृति_अंत_बदलना
send	भेजना
sendto	गंतव्य_पर_भेजना
setsockopt	संचार_छोर_विकल्प_निर्धारित_करना
shutdown	संचार_दिशा_बंद_करना
sin_addr	अंतरजाल_पता_सामग्री
sin_family	अंतरजाल_पता_परिवार
sin_port	संचार_द्वार_संख्या
sin_zero	पता_पूरण
sockaddr	संचार_छोर_पता
sockaddr_in	अंतरजाल_छोर_पता
socket	संचार_छोर_बनाना
socklen_t	पता_लंबाई_प्रकार
stat	संचिका_स्थिति
sync	सभी_अभिलेख_समकालित_करना
uname	प्रणाली_जानकारी_पाना
wait	संतान_की_प्रतीक्षा_करना
waitpid	नियत_संतान_की_प्रतीक्षा_करना
write	लिखना
