original	native
asm/gdt.inc	キカイキドウ/gdt.inc
asm/go_asm_offsets.inc	キカイキドウ/goasmoffset.inc
asm/multiboot_header.s	キカイキドウ/multibootヘッダ.s
asm/rt0.s	キカイキドウ/rt0.s
go.sh	チュウカクホンヤク.sh
linker.ld	レンケツハイチ.ld
tools/decode-virtualbox-log.sh	ホジョドウグ/チョクレツキロクカイセキ.sh
tools/offsets.go	ホジョドウグ/コウゾウヘンイ.go
userland/posix/Makefile	リヨウシャリョウイキ/posix/Makefile
userland/posix/TEST_RESULTS.md	リヨウシャリョウイキ/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	リヨウシャリョウイキ/posix/センゲンシュウ/arpa/inet.h
userland/posix/include/engos/syscall.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/syscall.h
userland/posix/include/errno.h	リヨウシャリョウイキ/posix/センゲンシュウ/errno.h
userland/posix/include/fcntl.h	リヨウシャリョウイキ/posix/センゲンシュウ/fcntl.h
userland/posix/include/netinet/in.h	リヨウシャリョウイキ/posix/センゲンシュウ/netinet/in.h
userland/posix/include/stddef.h	リヨウシャリョウイキ/posix/センゲンシュウ/stddef.h
userland/posix/include/stdint.h	リヨウシャリョウイキ/posix/センゲンシュウ/stdint.h
userland/posix/include/sys/socket.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/socket.h
userland/posix/include/sys/stat.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/stat.h
userland/posix/include/sys/types.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/types.h
userland/posix/include/sys/utsname.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/utsname.h
userland/posix/include/sys/wait.h	リヨウシャリョウイキ/posix/センゲンシュウ/sys/wait.h
userland/posix/include/unistd.h	リヨウシャリョウイキ/posix/センゲンシュウ/unistd.h
userland/posix/linker.ld	リヨウシャリョウイキ/posix/レンケツハイチ.ld
userland/posix/src/crt0.S	リヨウシャリョウイキ/posix/ジッソウ/キドウ.S
userland/posix/src/errno.c	リヨウシャリョウイキ/posix/ジッソウ/エラーバンゴウ.c
userland/posix/src/fcntl.c	リヨウシャリョウイキ/posix/ジッソウ/ファイルセイギョ.c
userland/posix/src/socket.c	リヨウシャリョウイキ/posix/ジッソウ/socket.c
userland/posix/src/stat.c	リヨウシャリョウイキ/posix/ジッソウ/ファイルジョウタイ.c
userland/posix/src/syscall.S	リヨウシャリョウイキ/posix/ジッソウ/タイケイヨビダシ.S
userland/posix/src/unistd.c	リヨウシャリョウイキ/posix/ジッソウ/unistd.c
userland/posix/tests/compile.c	リヨウシャリョウイキ/posix/シケン/compile.c
userland/posix/tests/exec_runtime.c	リヨウシャリョウイキ/posix/シケン/exec_runtime.c
userland/posix/tests/exec_target.c	リヨウシャリョウイキ/posix/シケン/exec_target.c
userland/posix/tests/fork_runtime.c	リヨウシャリョウイキ/posix/シケン/fork_runtime.c
userland/posix/tests/heap_runtime.c	リヨウシャリョウイキ/posix/シケン/heap_runtime.c
userland/posix/tests/runtime.c	リヨウシャリョウイキ/posix/シケン/runtime.c
userland/posix/tests/socket_runtime.c	リヨウシャリョウイキ/posix/シケン/socket_runtime.c
userland/posix/tests/stdin_runtime.c	リヨウシャリョウイキ/posix/シケン/stdin_runtime.c
