language	concept	project_proposal
de	ethernet_frame	Rahmen des gemeinsamen Übertragungsnetzes
de	ethernet_header	Rahmenkopf des gemeinsamen Übertragungsnetzes
de	ethernet_provider	Rahmenanbieter des gemeinsamen Übertragungsnetzes
de	fat_parameters	Dateisystemparameter
de	file_control	Dateisteuerung
de	file_read	Datei lesen
de	file_status	Dateistatus
de	file_write	Datei schreiben
de	free_memory	Speicher freigeben
de	headers	Deklarationen
de	heap	dynamischer Speicher
de	icmp	Netzverbundsteuerprotokoll
de	implementation	Implementierung
de	insert_at	an Position einfügen
de	internet	Netzverbund
de	ip_provider	Netzverbundprotokollanbieter
de	ipv4	Netzverbundprotokoll4
de	link_layout	Bindungsanordnung
de	list_node	Listenknoten
de	log_decoder	serielles Protokoll auswerten
de	mouse	Zeigegerät
de	page_directory	Seitenverzeichnis
de	page_frame	physische Speicherseite
de	pointer	Adressverweis
de	prepend	am Listenanfang einfügen
de	register	Register
de	set_coordinates	lokale Koordinaten setzen
de	source_port	Quellportnummer
de	stack	Stapelspeicher
de	startup	Start
de	structure_offsets	Strukturversätze
de	system_call	Systemaufruf
de	tests	Prüfungen
de	toggle_bit	Belegungsbit umkehren
de	tools	Werkzeuge
de	udp	Benutzerdatagrammprotokoll
de	udp_header	Benutzerdatagrammkopf
de	udp_socket	Benutzerdatagrammendpunkt
de	user_space	Benutzerbereich
de	widget	Bildschirmelement
en	allocate_memory	allocate memory
en	append	append to list
en	bitmap	allocation bitmap
en	boot	machine boot
en	boot_record	master boot record
en	bus	shared transfer bus
en	compile_kernel	compile kernel
en	destination_port	destination port number
en	elf	executable and linkable format
en	error_number	error number
en	ethernet_frame	shared medium network frame
en	ethernet_header	shared medium network frame header
en	ethernet_provider	shared medium network frame provider
en	fat_parameters	file system parameters
en	file_control	file control
en	file_read	read file
en	file_status	file status
en	file_write	write file
en	free_memory	release memory
en	headers	headers
en	heap	dynamic memory
en	icmp	interconnected network control message protocol
en	implementation	implementation
en	insert_at	insert at index
en	internet	interconnected network
en	ip_provider	interconnected network protocol provider
en	ipv4	interconnected network protocol 4
en	link_layout	link layout
en	list_node	list node
en	log_decoder	decode serial log
en	mouse	pointing device
en	page_directory	page directory
en	page_frame	physical page
en	pointer	address reference
en	prepend	prepend to list
en	register	register
en	set_coordinates	set local coordinates
en	source_port	source port number
en	stack	stack storage
en	startup	startup
en	structure_offsets	structure offsets
en	system_call	system call
en	tests	tests
en	toggle_bit	toggle allocation bit
en	tools	tools
en	udp	user datagram protocol
en	udp_header	user datagram header
en	udp_socket	user datagram endpoint
en	user_space	user space
en	widget	screen element
es	allocate_memory	asignar memoria
es	append	añadir al final de la lista
es	bitmap	mapa de asignación
es	boot	arranque de máquina
es	boot_record	registro principal de arranque
es	bus	vía de transmisión compartida
es	compile_kernel	compilar núcleo
es	destination_port	número del puerto de destino
es	elf	formato ejecutable y enlazable
es	error_number	número de error
es	ethernet_frame	trama de la red de medio compartido
es	ethernet_header	cabecera de trama de red de medio compartido
es	ethernet_provider	proveedor de tramas de red de medio compartido
es	fat_parameters	parámetros del sistema de archivos
es	file_control	control de archivo
es	file_read	leer archivo
es	file_status	estado de archivo
es	file_write	escribir archivo
es	free_memory	liberar memoria
es	headers	declaraciones
es	heap	memoria dinámica
es	icmp	protocolo de mensajes de control de red interconectada
es	implementation	implementación
es	insert_at	insertar en la posición
es	internet	red interconectada
es	ip_provider	proveedor del protocolo de red interconectada
es	ipv4	protocolo de red interconectada 4
es	link_layout	disposición de enlace
es	list_node	nodo de lista
es	log_decoder	interpretar registro serie
es	mouse	dispositivo señalador
es	page_directory	directorio de páginas
es	page_frame	página física
es	pointer	referencia de memoria
es	prepend	añadir al inicio de la lista
es	register	registro
es	set_coordinates	establecer las coordenadas locales
es	source_port	número del puerto de origen
es	stack	memoria de pila
es	startup	arranque
es	structure_offsets	desplazamientos de estructura
es	system_call	llamada al sistema
es	tests	pruebas
es	toggle_bit	invertir el bit de asignación
es	tools	herramientas
es	udp	protocolo de datagramas de usuario
es	udp_header	cabecera de datagramas de usuario
es	udp_socket	extremo de comunicación de datagramas de usuario
es	user_space	espacio de usuario
es	widget	elemento de pantalla
fi	allocate_memory	varaa muistia
fi	append	lisää listan loppuun
fi	bitmap	varausbittikartta
fi	boot	koneen käynnistys
fi	boot_record	pääkäynnistystietue
fi	bus	yhteinen siirtoväylä
fi	compile_kernel	käännä ydin
fi	destination_port	kohdeportin numero
fi	elf	suoritettava ja linkitettävä muoto
fi	error_number	virhenumero
fi	ethernet_frame	jaetun siirtotien verkkokehys
fi	ethernet_header	jaetun siirtotien verkkokehyksen otsake
fi	ethernet_provider	jaetun siirtotien verkkokehysten tarjoaja
fi	fat_parameters	tiedostojärjestelmän parametrit
fi	file_control	tiedoston ohjaus
fi	file_read	lue tiedosto
fi	file_status	tiedoston tila
fi	file_write	kirjoita tiedosto
fi	free_memory	vapauta muisti
fi	headers	esittelyt
fi	heap	dynaaminen muisti
fi	icmp	verkkojen ohjausviestien yhteyskäytäntö
fi	implementation	toteutus
fi	insert_at	lisää indeksin kohdalle
fi	internet	verkkojen verkko
fi	ip_provider	verkkojen yhteyskäytännön tarjoaja
fi	ipv4	verkkojen yhdyskäytäntö 4
fi	link_layout	linkitysasettelu
fi	list_node	listasolmu
fi	log_decoder	tulkitse sarjaloki
fi	mouse	osoitinlaite
fi	page_directory	sivuhakemisto
fi	page_frame	fyysinen sivu
fi	pointer	osoiteviite
fi	prepend	lisää listan alkuun
fi	register	rekisteri
fi	set_coordinates	aseta paikalliset koordinaatit
fi	source_port	lähdeportin numero
fi	stack	pinomuisti
fi	startup	käynnistys
fi	structure_offsets	rakenteen siirtymät
fi	system_call	järjestelmäkutsu
fi	tests	testit
fi	toggle_bit	käännä varausbitti
fi	tools	työkalut
fi	udp	käyttäjän tietosähkeiden yhteyskäytäntö
fi	udp_header	käyttäjän tietosähkeen otsake
fi	udp_socket	käyttäjän tietosähkeiden päätepiste
fi	user_space	käyttäjätila
fi	widget	näyttöelementti
fr	allocate_memory	allouer la mémoire
fr	append	ajouter en fin de liste
fr	bitmap	carte des allocations
fr	boot	démarrage machine
fr	boot_record	enregistrement principal de démarrage
fr	bus	voie de transmission partagée
fr	compile_kernel	compiler le noyau
fr	destination_port	numéro du port destination
fr	elf	format exécutable et liable
fr	error_number	numéro erreur
fr	ethernet_frame	trame du réseau à support partagé
fr	ethernet_header	entête de trame du réseau à support partagé
fr	ethernet_provider	fournisseur de trames du réseau à support partagé
fr	fat_parameters	paramètres du système de fichiers
fr	file_control	contrôle de fichier
fr	file_read	lire le fichier
fr	file_status	état de fichier
fr	file_write	écrire le fichier
fr	free_memory	libérer la mémoire
fr	headers	déclarations
fr	heap	mémoire dynamique
fr	icmp	protocole des messages de contrôle du réseau interconnecté
fr	implementation	implémentation
fr	insert_at	insérer à la position
fr	internet	réseau interconnecté
fr	ip_provider	fournisseur du protocole du réseau interconnecté
fr	ipv4	protocole du réseau interconnecté 4
fr	link_layout	plan de liaison
fr	list_node	maillon de liste
fr	log_decoder	décoder le journal série
fr	mouse	dispositif de pointage
fr	page_directory	répertoire de pages
fr	page_frame	page physique
fr	pointer	référence mémoire
fr	prepend	ajouter en tête de liste
fr	register	registre
fr	set_coordinates	définir les coordonnées locales
fr	source_port	numéro du port source
fr	stack	mémoire de pile
fr	startup	démarrage
fr	structure_offsets	décalages de structure
fr	system_call	appel système
fr	tests	essais
fr	toggle_bit	inverser le bit de réservation
fr	tools	outils
fr	udp	protocole des datagrammes utilisateur
fr	udp_header	entête des datagrammes utilisateur
fr	udp_socket	point de communication des datagrammes utilisateur
fr	user_space	espace utilisateur
fr	widget	élément graphique
id	allocate_memory	alokasikan memori
id	append	tambah di akhir daftar
id	bitmap	peta alokasi
id	boot	awal mesin
id	boot_record	rekaman awal utama
id	bus	jalur transmisi bersama
id	compile_kernel	kompilasi inti
id	destination_port	nomor porta tujuan
id	elf	format eksekusi dan penautan
id	error_number	nomor galat
id	ethernet_frame	bingkai jaringan media bersama
id	ethernet_header	kepala bingkai jaringan media bersama
id	ethernet_provider	penyedia bingkai jaringan media bersama
id	fat_parameters	parameter sistem berkas
id	file_control	kendali berkas
id	file_read	baca berkas
id	file_status	status berkas
id	file_write	tulis berkas
id	free_memory	bebaskan memori
id	headers	deklarasi
id	heap	memori dinamis
id	icmp	protokol pesan kendali jaringan saling terhubung
id	implementation	implementasi
id	insert_at	sisipkan pada indeks
id	internet	jaringan saling terhubung
id	ip_provider	penyedia protokol jaringan saling terhubung
id	ipv4	protokol jaringan saling terhubung 4
id	link_layout	tata letak penautan
id	list_node	simpul daftar
id	log_decoder	urai catatan serial
id	mouse	perangkat penunjuk
id	page_directory	direktori halaman
id	page_frame	halaman fisik
id	pointer	acuan alamat
id	prepend	tambah di awal daftar
id	register	register
id	set_coordinates	atur koordinat lokal
id	source_port	nomor porta sumber
id	stack	memori tumpukan
id	startup	awal
id	structure_offsets	ofset struktur
id	system_call	panggilan sistem
id	tests	pengujian
id	toggle_bit	balik bit alokasi
id	tools	alat
id	udp	protokol datagram pengguna
id	udp_header	kepala datagram pengguna
id	udp_socket	titik akhir datagram pengguna
id	user_space	ruang pengguna
id	widget	unsur layar
it	allocate_memory	alloca memoria
it	append	aggiungi in fondo alla lista
it	bitmap	mappa di allocazione
it	boot	avvio macchina
it	boot_record	record principale di avvio
it	bus	via di trasmissione condivisa
it	compile_kernel	compila nucleo
it	destination_port	numero della porta di destinazione
it	elf	formato eseguibile e collegabile
it	error_number	numero di errore
it	ethernet_frame	trama della rete a mezzo condiviso
it	ethernet_header	intestazione della trama di rete a mezzo condiviso
it	ethernet_provider	fornitore di trame di rete a mezzo condiviso
it	fat_parameters	parametri del file system
it	file_control	controllo file
it	file_read	leggi file
it	file_status	stato file
it	file_write	scrivi file
it	free_memory	libera memoria
it	headers	dichiarazioni
it	heap	memoria dinamica
it	icmp	protocollo dei messaggi di controllo della rete interconnessa
it	implementation	implementazione
it	insert_at	inserisci alla posizione
it	internet	rete interconnessa
it	ip_provider	fornitore del protocollo di rete interconnessa
it	ipv4	protocollo di rete interconnessa 4
it	link_layout	disposizione di collegamento
it	list_node	nodo della lista
it	log_decoder	decodifica registro seriale
it	mouse	dispositivo di puntamento
it	page_directory	indice delle pagine
it	page_frame	pagina fisica
it	pointer	riferimento di memoria
it	prepend	aggiungi in testa alla lista
it	register	registro
it	set_coordinates	imposta le coordinate locali
it	source_port	numero della porta sorgente
it	stack	memoria a pila
it	startup	avvio
it	structure_offsets	scostamenti di struttura
it	system_call	chiamata di sistema
it	tests	prove
it	toggle_bit	inverti il bit di allocazione
it	tools	strumenti
it	udp	protocollo dei datagrammi utente
it	udp_header	intestazione dei datagrammi utente
it	udp_socket	estremo di comunicazione dei datagrammi utente
it	user_space	spazio utente
it	widget	elemento grafico
ja	allocate_memory	記憶領域を確保
ja	append	末尾に追加
ja	bitmap	割当ビット表
ja	boot	機械起動
ja	boot_record	主起動記録
ja	bus	共用伝送路
ja	compile_kernel	中核翻訳
ja	destination_port	宛先接続番号
ja	elf	実行連結形式
ja	error_number	エラー番号
ja	ethernet_frame	共有媒体網伝送枠
ja	ethernet_header	共有媒体網伝送枠先頭部
ja	ethernet_provider	共有媒体網伝送枠提供器
ja	fat_parameters	ファイル体系設定値
ja	file_control	ファイル制御
ja	file_read	ファイルを読む
ja	file_status	ファイル状態
ja	file_write	ファイルに書く
ja	free_memory	記憶領域を解放
ja	headers	宣言集
ja	heap	動的記憶領域
ja	icmp	相互接続網制御電文規約
ja	implementation	実装
ja	insert_at	指定位置に挿入
ja	internet	相互接続網
ja	ip_provider	相互接続網規約提供器
ja	ipv4	相互接続網規約4
ja	link_layout	連結配置
ja	list_node	連結要素
ja	log_decoder	直列記録解析
ja	mouse	位置入力装置
ja	page_directory	記憶頁上位表
ja	page_frame	物理記憶頁
ja	pointer	番地参照
ja	prepend	先頭に追加
ja	register	値保持器
ja	set_coordinates	局所座標を設定
ja	source_port	送信元接続番号
ja	stack	積重ね記憶領域
ja	startup	起動
ja	structure_offsets	構造変位
ja	system_call	体系呼出し
ja	tests	試験
ja	toggle_bit	割当ビットを反転
ja	tools	補助道具
ja	udp	利用者資料電文規約
ja	udp_header	利用者資料電文先頭部
ja	udp_socket	利用者資料電文通信端点
ja	user_space	利用者領域
ja	widget	画面要素
ko	allocate_memory	기억공간할당
ko	append	맨뒤에추가
ko	bitmap	사용표시표
ko	boot	기계시동
ko	boot_record	주시동기록
ko	bus	공용전송로
ko	compile_kernel	핵심컴파일
ko	destination_port	목적지통신접속번호
ko	elf	실행연결형식
ko	error_number	오류번호
ko	ethernet_frame	공유매체망전송틀
ko	ethernet_header	공유매체망전송틀머리부
ko	ethernet_provider	공유매체망전송틀제공자
ko	fat_parameters	파일체계매개변수
ko	file_control	파일제어
ko	file_read	파일읽기
ko	file_status	파일상태
ko	file_write	파일쓰기
ko	free_memory	기억공간해제
ko	headers	머리파일
ko	heap	동적기억공간
ko	icmp	상호연결망제어전문규약
ko	implementation	구현
ko	insert_at	지정위치에삽입
ko	internet	상호연결망
ko	ip_provider	상호연결망규약제공자
ko	ipv4	상호연결망규약4
ko	link_layout	연결배치
ko	list_node	연결항목
ko	log_decoder	직렬기록해석
ko	mouse	위치입력기
ko	page_directory	기억쪽상위표
ko	page_frame	물리기억쪽
ko	pointer	주소참조
ko	prepend	맨앞에추가
ko	register	저장기
ko	set_coordinates	지역좌표설정
ko	source_port	출발지통신접속번호
ko	stack	쌓임공간
ko	startup	시동
ko	structure_offsets	구조변위
ko	system_call	체계호출
ko	tests	시험
ko	toggle_bit	사용표시뒤집기
ko	tools	도구
ko	udp	사용자자료전문규약
ko	udp_header	사용자자료전문머리부
ko	udp_socket	사용자자료전문종단점
ko	user_space	사용자영역
ko	widget	화면요소
ms_Latn	allocate_memory	peruntukkan ingatan
ms_Latn	append	tambah di hujung senarai
ms_Latn	bitmap	peta peruntukan
ms_Latn	boot	permulaan mesin
ms_Latn	boot_record	rekod but utama
ms_Latn	bus	laluan penghantaran bersama
ms_Latn	compile_kernel	kompilasi teras
ms_Latn	destination_port	nombor port destinasi
ms_Latn	elf	format pelaksanaan dan pemautan
ms_Latn	error_number	nombor ralat
ms_Latn	ethernet_frame	bingkai rangkaian medium bersama
ms_Latn	ethernet_header	pengepala bingkai rangkaian medium bersama
ms_Latn	ethernet_provider	pembekal bingkai rangkaian medium bersama
ms_Latn	fat_parameters	parameter sistem fail
ms_Latn	file_control	kawalan fail
ms_Latn	file_read	baca fail
ms_Latn	file_status	status fail
ms_Latn	file_write	tulis fail
ms_Latn	free_memory	bebaskan ingatan
ms_Latn	headers	pengisytiharan
ms_Latn	heap	ingatan dinamik
ms_Latn	icmp	protokol mesej kawalan rangkaian saling terhubung
ms_Latn	implementation	pelaksanaan
ms_Latn	insert_at	sisip pada indeks
ms_Latn	internet	rangkaian saling terhubung
ms_Latn	ip_provider	pembekal protokol rangkaian saling terhubung
ms_Latn	ipv4	protokol rangkaian saling terhubung 4
ms_Latn	link_layout	susun atur pautan
ms_Latn	list_node	nod senarai
ms_Latn	log_decoder	hurai log bersiri
ms_Latn	mouse	peranti penuding
ms_Latn	page_directory	direktori halaman
ms_Latn	page_frame	halaman fizikal
ms_Latn	pointer	rujukan alamat
ms_Latn	prepend	tambah di awal senarai
ms_Latn	register	daftar
ms_Latn	set_coordinates	tetapkan koordinat setempat
ms_Latn	source_port	nombor port sumber
ms_Latn	stack	ingatan tindanan
ms_Latn	startup	permulaan
ms_Latn	structure_offsets	anjakan struktur
ms_Latn	system_call	panggilan sistem
ms_Latn	tests	ujian
ms_Latn	toggle_bit	songsangkan bit peruntukan
ms_Latn	tools	alat
ms_Latn	udp	protokol datagram pengguna
ms_Latn	udp_header	pengepala datagram pengguna
ms_Latn	udp_socket	titik akhir datagram pengguna
ms_Latn	user_space	ruang pengguna
ms_Latn	widget	unsur skrin
nl	allocate_memory	geheugen toewijzen
nl	append	achteraan toevoegen
nl	bitmap	toewijzingskaart
nl	boot	machineopstart
nl	boot_record	hoofdopstartrecord
nl	bus	gedeelde overdrachtsweg
nl	compile_kernel	kern compileren
nl	destination_port	doelpoortnummer
nl	elf	uitvoerbaar en koppelbaar formaat
nl	error_number	foutnummer
nl	ethernet_frame	frame van het gedeelde medium netwerk
nl	ethernet_header	framekop van het gedeelde medium netwerk
nl	ethernet_provider	frameleverancier van het gedeelde medium netwerk
nl	fat_parameters	bestandssysteemparameters
nl	file_control	bestandsbesturing
nl	file_read	bestand lezen
nl	file_status	bestandsstatus
nl	file_write	bestand schrijven
nl	free_memory	geheugen vrijgeven
nl	headers	declaraties
nl	heap	dynamisch geheugen
nl	icmp	besturingsberichtprotocol voor verbonden netwerken
nl	implementation	implementatie
nl	insert_at	op positie invoegen
nl	internet	verbonden netwerk
nl	ip_provider	protocolleverancier voor verbonden netwerken
nl	ipv4	protocol voor verbonden netwerken 4
nl	link_layout	koppelindeling
nl	list_node	lijstknooppunt
nl	log_decoder	serieel logboek ontleden
nl	mouse	aanwijsapparaat
nl	page_directory	paginamap
nl	page_frame	fysieke pagina
nl	pointer	adresverwijzing
nl	prepend	vooraan toevoegen
nl	register	register
nl	set_coordinates	lokale coördinaten instellen
nl	source_port	bronpoortnummer
nl	stack	stapelgeheugen
nl	startup	opstart
nl	structure_offsets	structuurverplaatsingen
nl	system_call	systeemaanroep
nl	tests	tests
nl	toggle_bit	toewijzingsbit omkeren
nl	tools	hulpmiddelen
nl	udp	gebruikersdatagramprotocol
nl	udp_header	gebruikersdatagramkop
nl	udp_socket	gebruikersdatagrameindpunt
nl	user_space	gebruikersruimte
nl	widget	schermelement
pl	allocate_memory	przydziel pamięć
pl	append	dodaj na końcu listy
pl	bitmap	mapa zajętości
pl	boot	rozruch maszyny
pl	boot_record	główny rekord rozruchowy
pl	bus	wspólna magistrala transmisji
pl	compile_kernel	kompiluj jądro
pl	destination_port	numer portu docelowego
pl	elf	format wykonywalny i konsolidowalny
pl	error_number	numer błędu
pl	ethernet_frame	ramka sieci o wspólnym medium
pl	ethernet_header	nagłówek ramki sieci o wspólnym medium
pl	ethernet_provider	dostawca ramek sieci o wspólnym medium
pl	fat_parameters	parametry systemu plików
pl	file_control	sterowanie plikiem
pl	file_read	odczytaj plik
pl	file_status	stan pliku
pl	file_write	zapisz plik
pl	free_memory	zwolnij pamięć
pl	headers	deklaracje
pl	heap	pamięć dynamiczna
pl	icmp	protokół komunikatów sterujących połączonych sieci
pl	implementation	implementacja
pl	insert_at	wstaw pod indeksem
pl	internet	sieć połączonych sieci
pl	ip_provider	dostawca protokołu połączonych sieci
pl	ipv4	protokół połączonych sieci 4
pl	link_layout	układ konsolidacji
pl	list_node	węzeł listy
pl	log_decoder	odczytaj dziennik szeregowy
pl	mouse	urządzenie wskazujące
pl	page_directory	katalog stron
pl	page_frame	strona fizyczna
pl	pointer	odwołanie do adresu
pl	prepend	dodaj na początku listy
pl	register	rejestr
pl	set_coordinates	ustaw współrzędne lokalne
pl	source_port	numer portu źródłowego
pl	stack	pamięć stosu
pl	startup	rozruch
pl	structure_offsets	przesunięcia struktury
pl	system_call	wywołanie systemowe
pl	tests	testy
pl	toggle_bit	odwróć bit zajętości
pl	tools	narzędzia
pl	udp	protokół datagramów użytkownika
pl	udp_header	nagłówek datagramu użytkownika
pl	udp_socket	punkt końcowy datagramów użytkownika
pl	user_space	przestrzeń użytkownika
pl	widget	element ekranu
pt	allocate_memory	alocar memória
pt	append	adicionar ao fim da lista
pt	bitmap	mapa de alocação
pt	boot	arranque da máquina
pt	boot_record	registo principal de arranque
pt	bus	via de transmissão partilhada
pt	compile_kernel	compilar núcleo
pt	destination_port	número da porta de destino
pt	elf	formato executável e ligável
pt	error_number	número de erro
pt	ethernet_frame	quadro da rede de meio partilhado
pt	ethernet_header	cabeçalho de quadro de rede de meio partilhado
pt	ethernet_provider	fornecedor de quadros de rede de meio partilhado
pt	fat_parameters	parâmetros do sistema de ficheiros
pt	file_control	controlo de ficheiro
pt	file_read	ler ficheiro
pt	file_status	estado de ficheiro
pt	file_write	escrever ficheiro
pt	free_memory	libertar memória
pt	headers	declarações
pt	heap	memória dinâmica
pt	icmp	protocolo de mensagens de controlo de rede interligada
pt	implementation	implementação
pt	insert_at	inserir na posição
pt	internet	rede interligada
pt	ip_provider	fornecedor do protocolo de rede interligada
pt	ipv4	protocolo de rede interligada 4
pt	link_layout	disposição de ligação
pt	list_node	nó da lista
pt	log_decoder	interpretar registo série
pt	mouse	dispositivo apontador
pt	page_directory	diretório de páginas
pt	page_frame	página física
pt	pointer	referência de memória
pt	prepend	adicionar ao início da lista
pt	register	registo
pt	set_coordinates	definir coordenadas locais
pt	source_port	número da porta de origem
pt	stack	memória de pilha
pt	startup	arranque
pt	structure_offsets	deslocamentos de estrutura
pt	system_call	chamada ao sistema
pt	tests	testes
pt	toggle_bit	inverter o bit de alocação
pt	tools	ferramentas
pt	udp	protocolo de datagramas do utilizador
pt	udp_header	cabeçalho de datagramas do utilizador
pt	udp_socket	extremo de comunicação de datagramas do utilizador
pt	user_space	espaço do utilizador
pt	widget	elemento de ecrã
ru	allocate_memory	выделить память
ru	append	добавить в конец списка
ru	bitmap	карта занятости
ru	boot	запуск машины
ru	boot_record	главная загрузочная запись
ru	bus	общая шина передачи
ru	compile_kernel	собрать ядро
ru	destination_port	номер порта получателя
ru	elf	исполняемый и компонуемый формат
ru	error_number	номер ошибки
ru	ethernet_frame	кадр сети с общей средой
ru	ethernet_header	заголовок кадра сети с общей средой
ru	ethernet_provider	поставщик кадров сети с общей средой
ru	fat_parameters	параметры файловой системы
ru	file_control	управление файлом
ru	file_read	прочитать файл
ru	file_status	состояние файла
ru	file_write	записать файл
ru	free_memory	освободить память
ru	headers	объявления
ru	heap	динамическая память
ru	icmp	протокол управляющих сообщений объединённой сети
ru	implementation	реализация
ru	insert_at	вставить по индексу
ru	internet	объединённая сеть
ru	ip_provider	поставщик протокола объединённой сети
ru	ipv4	протокол объединённой сети 4
ru	link_layout	схема компоновки
ru	list_node	узел списка
ru	log_decoder	разобрать последовательный журнал
ru	mouse	устройство указания
ru	page_directory	каталог страниц
ru	page_frame	физическая страница
ru	pointer	ссылка на адрес
ru	prepend	добавить в начало списка
ru	register	регистр
ru	set_coordinates	задать локальные координаты
ru	source_port	номер порта отправителя
ru	stack	стековая память
ru	startup	запуск
ru	structure_offsets	смещения структуры
ru	system_call	системный вызов
ru	tests	испытания
ru	toggle_bit	инвертировать бит занятости
ru	tools	инструменты
ru	udp	протокол пользовательских датаграмм
ru	udp_header	заголовок пользовательской датаграммы
ru	udp_socket	конечная точка пользовательских датаграмм
ru	user_space	пространство пользователя
ru	widget	элемент экрана
sv	allocate_memory	tilldela minne
sv	append	lägg till sist i listan
sv	bitmap	tilldelningskarta
sv	boot	maskinstart
sv	boot_record	huvudstartpost
sv	bus	gemensam överföringsväg
sv	compile_kernel	kompilera kärnan
sv	destination_port	målportnummer
sv	elf	körbart och länkbart format
sv	error_number	felnummer
sv	ethernet_frame	ram i nät med delat medium
sv	ethernet_header	ramhuvud för nät med delat medium
sv	ethernet_provider	ramleverantör för nät med delat medium
sv	fat_parameters	filsystemsparametrar
sv	file_control	filstyrning
sv	file_read	läs fil
sv	file_status	filstatus
sv	file_write	skriv fil
sv	free_memory	frigör minne
sv	headers	deklarationer
sv	heap	dynamiskt minne
sv	icmp	styrmeddelandeprotokoll för sammankopplade nät
sv	implementation	implementation
sv	insert_at	infoga vid index
sv	internet	sammankopplat nät
sv	ip_provider	protokolleverantör för sammankopplade nät
sv	ipv4	protokoll för sammankopplade nät 4
sv	link_layout	länkningslayout
sv	list_node	listnod
sv	log_decoder	tolka seriell logg
sv	mouse	pekdon
