original	native
userland/posix/include/engos/syscall.h	使用者空間/posix/標頭檔/sys/syscall.h
userland/posix/include/errno.h	使用者空間/posix/標頭檔/errno.h
userland/posix/include/fcntl.h	使用者空間/posix/標頭檔/fcntl.h
userland/posix/include/netinet/in.h	使用者空間/posix/標頭檔/netinet/in.h
userland/posix/include/stddef.h	使用者空間/posix/標頭檔/stddef.h
userland/posix/include/stdint.h	使用者空間/posix/標頭檔/stdint.h
userland/posix/include/sys/socket.h	使用者空間/posix/標頭檔/sys/socket.h
userland/posix/include/sys/stat.h	使用者空間/posix/標頭檔/sys/stat.h
userland/posix/include/sys/types.h	使用者空間/posix/標頭檔/sys/types.h
userland/posix/include/sys/utsname.h	使用者空間/posix/標頭檔/sys/utsname.h
userland/posix/include/sys/wait.h	使用者空間/posix/標頭檔/sys/wait.h
userland/posix/include/unistd.h	使用者空間/posix/標頭檔/unistd.h
userland/posix/linker.ld	使用者空間/posix/連結配置.ld
userland/posix/src/crt0.S	使用者空間/posix/實作/啟動.S
userland/posix/src/errno.c	使用者空間/posix/實作/錯誤編號.c
userland/posix/src/fcntl.c	使用者空間/posix/實作/檔案控制.c
userland/posix/src/socket.c	使用者空間/posix/實作/socket.c
userland/posix/src/stat.c	使用者空間/posix/實作/檔案狀態.c
userland/posix/src/syscall.S	使用者空間/posix/實作/系統呼叫.S
userland/posix/src/unistd.c	使用者空間/posix/實作/unistd.c
userland/posix/tests/compile.c	使用者空間/posix/測試/compile.c
userland/posix/tests/exec_runtime.c	使用者空間/posix/測試/exec_runtime.c
userland/posix/tests/exec_target.c	使用者空間/posix/測試/exec_target.c
userland/posix/tests/fork_runtime.c	使用者空間/posix/測試/fork_runtime.c
userland/posix/tests/heap_runtime.c	使用者空間/posix/測試/heap_runtime.c
userland/posix/tests/runtime.c	使用者空間/posix/測試/runtime.c
userland/posix/tests/socket_runtime.c	使用者空間/posix/測試/socket_runtime.c
userland/posix/tests/stdin_runtime.c	使用者空間/posix/測試/stdin_runtime.c
