standard_identifier	native_identifier	category	current_role	status
EXIT_SUCCESS	せいこうしゅうりょう	interface-constant	successful_exit	project-proposal
EXIT_FAILURE	しっぱいしゅうりょう	interface-constant	failed_exit	project-proposal
STDIN_FILENO	ひょうじゅんにゅうりょくばんごう	interface-constant	standard_input_descriptor	project-proposal
STDOUT_FILENO	ひょうじゅんしゅつりょくばんごう	interface-constant	standard_output_descriptor	project-proposal
STDERR_FILENO	ひょうじゅんあやまりしゅつりょくばんごう	interface-constant	standard_error_descriptor	project-proposal
F_OK	そんざいかくにん	interface-constant	test_existence	project-proposal
R_OK	よみとりけんげんかくにん	interface-constant	test_read_permission	project-proposal
W_OK	かきこみけんげんかくにん	interface-constant	test_write_permission	project-proposal
X_OK	じっこうけんげんかくにん	interface-constant	test_execute_permission	project-proposal
SEEK_SET	せんとうきじゅんいち	interface-constant	offset_from_start	project-proposal
SEEK_CUR	げんざいきじゅんいち	interface-constant	offset_from_current	project-proposal
SEEK_END	まつびきじゅんいち	interface-constant	offset_from_end	project-proposal
O_RDONLY	よみとりせんようでひらく	interface-constant	open_read_only	project-proposal
O_WRONLY	かきこみせんようでひらく	interface-constant	open_write_only	project-proposal
O_RDWR	よみかきりょうようでひらく	interface-constant	open_read_write	project-proposal
O_ACCMODE	りようほうしきちゅうしゅつち	interface-constant	access_mode_mask	project-proposal
O_CREAT	なければつくる	interface-constant	create_if_missing	project-proposal
O_EXCL	しんきぶんしょのみゆるす	interface-constant	require_new_file	project-proposal
O_TRUNC	きぞんないようをからにする	interface-constant	truncate_existing_file	project-proposal
O_APPEND	まつびへついかする	interface-constant	append_at_end	project-proposal
O_DIRECTORY	もくろくのみゆるす	interface-constant	require_directory	project-proposal
F_DUPFD	きじゅつばんごうふくせい	interface-constant	duplicate_descriptor	project-proposal
F_GETFD	きじゅつばんごうひょうしきしゅとく	interface-constant	read_descriptor_flags	project-proposal
F_SETFD	きじゅつばんごうひょうしきせってい	interface-constant	set_descriptor_flags	project-proposal
F_GETFL	ぶんしょじょうたいひょうしきしゅとく	interface-constant	read_file_status_flags	project-proposal
F_SETFL	ぶんしょじょうたいひょうしきせってい	interface-constant	set_file_status_flags	project-proposal
FD_CLOEXEC	じっこうないようちかんじにとじる	interface-constant	close_on_program_replacement	project-proposal
WNOHANG	みじゅんびならまたない	interface-constant	do_not_wait_if_unready	project-proposal
WIFEXITED	せいじょうしゅうりょうはんてい	interface-constant	exited_normally	project-proposal
WEXITSTATUS	しゅうりょうちとりだし	interface-constant	extract_exit_status	project-proposal
S_IFMT	ぶんしょしゅるいちゅうしゅつち	interface-constant	file_kind_mask	project-proposal
S_IFDIR	もくろくしゅるい	interface-constant	directory_kind	project-proposal
S_IFCHR	もじそうちしゅるい	interface-constant	character_device_kind	project-proposal
S_IFREG	つうじょうぶんしょしゅるい	interface-constant	regular_file_kind	project-proposal
S_IRUSR	しょゆうしゃよみとりけんげん	interface-constant	owner_read_permission	project-proposal
S_IWUSR	しょゆうしゃかきこみけんげん	interface-constant	owner_write_permission	project-proposal
S_IXUSR	しょゆうしゃじっこうけんげん	interface-constant	owner_execute_permission	project-proposal
S_IRGRP	しょぞくくみよみとりけんげん	interface-constant	group_read_permission	project-proposal
S_IWGRP	しょぞくくみかきこみけんげん	interface-constant	group_write_permission	project-proposal
S_IXGRP	しょぞくくみじっこうけんげん	interface-constant	group_execute_permission	project-proposal
S_IROTH	たしゃよみとりけんげん	interface-constant	others_read_permission	project-proposal
S_IWOTH	たしゃかきこみけんげん	interface-constant	others_write_permission	project-proposal
S_IXOTH	たしゃじっこうけんげん	interface-constant	others_execute_permission	project-proposal
S_ISDIR	もくろくほうしきはんてい	interface-constant	is_directory_mode	project-proposal
S_ISCHR	もじそうちほうしきはんてい	interface-constant	is_character_device_mode	project-proposal
S_ISREG	つうじょうぶんしょほうしきはんてい	interface-constant	is_regular_file_mode	project-proposal
EPERM	あやまりそうさふきょか	error-code	operation_not_permitted	project-proposal
ENOENT	あやまりぶんしょまたはもくろくなし	error-code	file_or_directory_missing	project-proposal
ESRCH	あやまりじっこうかていなし	error-code	process_missing	project-proposal
EINTR	あやまりそうさちゅうだん	error-code	operation_interrupted	project-proposal
EIO	あやまりにゅうしゅつりょくしっぱい	error-code	input_output_error	project-proposal
E2BIG	あやまりひきすういちらんかだい	error-code	argument_list_too_large	project-proposal
ENOEXEC	あやまりじっこうけいしきふせい	error-code	invalid_executable_format	project-proposal
EBADF	あやまりきじゅつばんごうふせい	error-code	invalid_file_descriptor	project-proposal
ECHILD	あやまりこじっこうかていなし	error-code	no_child_process	project-proposal
EAGAIN	あやまりいちじりようふか	error-code	temporarily_unavailable	project-proposal
ENOMEM	あやまりきおくぶそく	error-code	insufficient_memory	project-proposal
EACCES	あやまりりようけんげんなし	error-code	permission_denied	project-proposal
EFAULT	あやまりきおくばんちふせい	error-code	invalid_memory_address	project-proposal
EBUSY	あやまりしげんしようちゅう	error-code	resource_busy	project-proposal
EEXIST	あやまりぶんしょきそん	error-code	file_already_exists	project-proposal
ENODEV	あやまりそうちなし	error-code	device_missing	project-proposal
ENOTDIR	あやまりもくろくでない	error-code	not_a_directory	project-proposal
EISDIR	あやまりもくろくである	error-code	is_a_directory	project-proposal
EINVAL	あやまりひきすうふせい	error-code	invalid_argument	project-proposal
ENFILE	あやまりたいけいぶんしょすうじょうげん	error-code	system_file_limit	project-proposal
EMFILE	あやまりかていぶんしょすうじょうげん	error-code	process_file_limit	project-proposal
ENOTTY	あやまりそうちふてきごうそうさ	error-code	inappropriate_device_operation	project-proposal
EFBIG	あやまりぶんしょかだい	error-code	file_too_large	project-proposal
ENOSPC	あやまりほぞんりょういきぶそく	error-code	no_storage_space	project-proposal
ESPIPE	あやまりながれいちいどうふか	error-code	cannot_seek_stream	project-proposal
EROFS	あやまりよみとりせんようぶんしょたいけい	error-code	read_only_filesystem	project-proposal
ERANGE	あやまりちはんいがい	error-code	value_out_of_range	project-proposal
ENOSYS	あやまりきのうみじっそう	error-code	function_not_implemented	project-proposal
EMSGSIZE	あやまりでんぶんかだい	error-code	message_too_large	project-proposal
EPROTONOSUPPORT	あやまりきやくひたいおう	error-code	protocol_not_supported	project-proposal
EOPNOTSUPP	あやまりそうさひたいおう	error-code	operation_not_supported	project-proposal
EAFNOSUPPORT	あやまりばんちけいとうひたいおう	error-code	address_family_not_supported	project-proposal
EADDRINUSE	あやまりばんちしようちゅう	error-code	address_already_in_use	project-proposal
ENETUNREACH	あやまりつうしんもうとうたつふか	error-code	network_unreachable	project-proposal
ENOTCONN	あやまりたんてんみせつぞく	error-code	endpoint_not_connected	project-proposal
CHAR_BIT	はちけたぐみのにしんけたすう	integer-limit	bits_per_byte	project-proposal
SCHAR_MIN	ふごうつきもじせいすうさいしょうち	integer-limit	signed_char_minimum	project-proposal
SCHAR_MAX	ふごうつきもじせいすうさいだいち	integer-limit	signed_char_maximum	project-proposal
UCHAR_MAX	ふごうなしもじせいすうさいだいち	integer-limit	unsigned_char_maximum	project-proposal
CHAR_MIN	もじせいすうさいしょうち	integer-limit	char_minimum	project-proposal
CHAR_MAX	もじせいすうさいだいち	integer-limit	char_maximum	project-proposal
SHRT_MIN	たんせいすうさいしょうち	integer-limit	short_integer_minimum	project-proposal
SHRT_MAX	たんせいすうさいだいち	integer-limit	short_integer_maximum	project-proposal
USHRT_MAX	ふごうなしたんせいすうさいだいち	integer-limit	unsigned_short_maximum	project-proposal
INT_MIN	せいすうさいしょうち	integer-limit	integer_minimum	project-proposal
INT_MAX	せいすうさいだいち	integer-limit	integer_maximum	project-proposal
UINT_MAX	ふごうなしせいすうさいだいち	integer-limit	unsigned_integer_maximum	project-proposal
LONG_MIN	ちょうせいすうさいしょうち	integer-limit	long_integer_minimum	project-proposal
LONG_MAX	ちょうせいすうさいだいち	integer-limit	long_integer_maximum	project-proposal
ULONG_MAX	ふごうなしちょうせいすうさいだいち	integer-limit	unsigned_long_maximum	project-proposal
LLONG_MIN	ちょうちょうせいすうさいしょうち	integer-limit	long_long_integer_minimum	project-proposal
LLONG_MAX	ちょうちょうせいすうさいだいち	integer-limit	long_long_integer_maximum	project-proposal
ULLONG_MAX	ふごうなしちょうちょうせいすうさいだいち	integer-limit	unsigned_long_long_maximum	project-proposal
SC0	ひきすうなしたいけいよびだし	implementation-helper	syscall_without_arguments	project-proposal
SC1	ひきすうひとつたいけいよびだし	implementation-helper	syscall_with_one_argument	project-proposal
SC2	ひきすうふたつたいけいよびだし	implementation-helper	syscall_with_two_arguments	project-proposal
SC3	ひきすうみっつたいけいよびだし	implementation-helper	syscall_with_three_arguments	project-proposal
SYS_socketcall	つうしんたんてんたいけいよびだしばんごう	implementation-helper	socket_call_number	project-proposal
argc	ひきすうのかず	implementation-helper	argument_count	project-proposal
args_fail	ひきすうけんさしっぱい	implementation-helper	argument_test_failure	project-proposal
args_pass	ひきすうけんさせいこう	implementation-helper	argument_test_success	project-proposal
bss_zeroed	みしょきかしりょうのれいうめ	implementation-helper	uninitialized_data_was_zeroed	project-proposal
byte	はちけたぐみち	implementation-helper	byte_value	project-proposal
bytes	はちけたぐみはいれつ	implementation-helper	byte_array	project-proposal
checks	けんさすう	implementation-helper	check_count	project-proposal
client	ようきゅうたんてん	implementation-helper	client_endpoint	project-proposal
cloexec_fail	じっこうちかんじへいさしっぱい	implementation-helper	close_on_exec_failure	project-proposal
cloexec_pass	じっこうちかんじへいさせいこう	implementation-helper	close_on_exec_success	project-proposal
copy	ふくしゃち	implementation-helper	copied_value	project-proposal
cwd	さぎょうもくろく	implementation-helper	working_directory	project-proposal
decoded	かいしゃくち	implementation-helper	decoded_value	project-proposal
expected_errno	きたいあやまりばんごう	implementation-helper	expected_error_number	project-proposal
failed_with	していあやまりによるしっぱいはんてい	implementation-helper	failed_with_error	project-proposal
failure	しっぱいはんてい	implementation-helper	failure_flag	project-proposal
failures	しっぱいすう	implementation-helper	failure_count	project-proposal
first	さいしょのこう	implementation-helper	first_item	project-proposal
i	こうのそえじ	implementation-helper	item_index	project-proposal
iteration	はんぷくかいすう	implementation-helper	iteration_number	project-proposal
length_of	もじれつちょうをえる	implementation-helper	length_of_text	project-proposal
loaded	よみこみち	implementation-helper	loaded_value	project-proposal
memory	きおくりょういき	implementation-helper	memory_region	project-proposal
old	いぜんのあたい	implementation-helper	previous_value	project-proposal
parent	おやかてい	implementation-helper	parent_process	project-proposal
pass	けんさごうかく	implementation-helper	test_pass	project-proposal
passed	ごうかくはんてい	implementation-helper	passed_test	project-proposal
posix_compile_test	せんげんほんやくしけん	implementation-helper	interface_compile_test	project-proposal
posix_test_heap	どうてききおくどうさしけん	implementation-helper	heap_behavior_test	project-proposal
posix_test_process	じっこうかていどうさしけん	implementation-helper	process_behavior_test	project-proposal
private_value	かていせんようち	implementation-helper	process_private_value	project-proposal
reap_nohang	またずにこをかいしゅう	implementation-helper	reap_without_waiting	project-proposal
report	けっかをほうこく	implementation-helper	report_result	project-proposal
root	ねのけいろ	implementation-helper	root_path	project-proposal
s	けんさしりょう	implementation-helper	examined_data	project-proposal
say	でんぶんをかく	implementation-helper	write_message	project-proposal
second	にばんめのこう	implementation-helper	second_item	project-proposal
server	おうとうたんてん	implementation-helper	server_endpoint	project-proposal
server_address	おうとうたんてんばんち	implementation-helper	server_endpoint_address	project-proposal
source_length	そうしんもとばんちちょう	implementation-helper	source_address_size	project-proposal
spin	かいてんかいすう	implementation-helper	spin_iteration	project-proposal
spins	かいてんすう	implementation-helper	spin_count	project-proposal
start	かいしいち	implementation-helper	starting_position	project-proposal
target	たいしょうち	implementation-helper	target_value	project-proposal
test_dup_and_fcntl	きじゅつばんごうふくせいとせいぎょしけん	implementation-helper	test_descriptor_duplication_and_control	project-proposal
test_identity	じっこうしゅたいしけん	implementation-helper	test_process_identity	project-proposal
test_open_and_io	かいへいにゅうしゅつりょくしけん	implementation-helper	test_open_and_io	project-proposal
test_paths	けいろそうさしけん	implementation-helper	test_path_operations	project-proposal
test_terminal_and_uname	たんまつとたいけいじょうほうしけん	implementation-helper	test_terminal_and_system_identity	project-proposal
text_equal	もじれついっちはんてい	implementation-helper	text_is_equal	project-proposal
text_length	もじれつくみちょう	implementation-helper	text_byte_length	project-proposal
waited	まったかてい	implementation-helper	waited_process	project-proposal
