kind	original	reason
identifier	Active	existing spelling retained; current-function and linguistic review incomplete
identifier	ActiveInterruptManager	existing spelling retained; current-function and linguistic review incomplete
identifier	ActiveMemoryManager	existing spelling retained; current-function and linguistic review incomplete
identifier	Add	existing spelling retained; current-function and linguistic review incomplete
identifier	AddDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	AddRunnableThread	existing spelling retained; current-function and linguistic review incomplete
identifier	AddTask	existing spelling retained; current-function and linguistic review incomplete
identifier	AddThread	existing spelling retained; current-function and linguistic review incomplete
identifier	Address	existing spelling retained; current-function and linguistic review incomplete
identifier	AlignedMalloc	existing spelling retained; current-function and linguistic review incomplete
identifier	AlignmentCheck	existing spelling retained; current-function and linguistic review incomplete
identifier	AllocateBlock	existing spelling retained; current-function and linguistic review incomplete
identifier	AllocatePID	existing spelling retained; current-function and linguistic review incomplete
identifier	AmountOfMemory	existing spelling retained; current-function and linguistic review incomplete
identifier	ArrayToUint16	existing spelling retained; current-function and linguistic review incomplete
identifier	ArrayToUint32	existing spelling retained; current-function and linguistic review incomplete
identifier	ArrayToUint48	existing spelling retained; current-function and linguistic review incomplete
identifier	ArrayToUint48_BE	existing spelling retained; current-function and linguistic review incomplete
identifier	ArrayToUint64	existing spelling retained; current-function and linguistic review incomplete
identifier	Atime	existing spelling retained; current-function and linguistic review incomplete
identifier	AtimeNsec	existing spelling retained; current-function and linguistic review incomplete
identifier	BLOCKS_PER_BYTE	existing spelling retained; current-function and linguistic review incomplete
identifier	BLOCK_SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	Backend	existing spelling retained; current-function and linguistic review incomplete
identifier	BaseAddr	existing spelling retained; current-function and linguistic review incomplete
identifier	Bind	existing spelling retained; current-function and linguistic review incomplete
identifier	Blksize	existing spelling retained; current-function and linguistic review incomplete
identifier	Blocked	existing spelling retained; current-function and linguistic review incomplete
identifier	BlockedState	existing spelling retained; current-function and linguistic review incomplete
identifier	Blocks	existing spelling retained; current-function and linguistic review incomplete
identifier	BoundRangeExceeded	existing spelling retained; current-function and linguistic review incomplete
identifier	BroadcastMacAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	BytesPerSector	existing spelling retained; current-function and linguistic review incomplete
identifier	BytesToString	existing spelling retained; current-function and linguistic review incomplete
identifier	Checksum	existing spelling retained; current-function and linguistic review incomplete
identifier	Clear	existing spelling retained; current-function and linguistic review incomplete
identifier	Clone	existing spelling retained; current-function and linguistic review incomplete
identifier	CloneAddressSpaceCOW	existing spelling retained; current-function and linguistic review incomplete
identifier	Connect	existing spelling retained; current-function and linguistic review incomplete
identifier	ContainsCoordinate	existing spelling retained; current-function and linguistic review incomplete
identifier	CopyPageFrameBlock	existing spelling retained; current-function and linguistic review incomplete
identifier	CpuState	existing spelling retained; current-function and linguistic review incomplete
identifier	Create	existing spelling retained; current-function and linguistic review incomplete
identifier	CreateFromData	existing spelling retained; current-function and linguistic review incomplete
identifier	CreateFromFunction	existing spelling retained; current-function and linguistic review incomplete
identifier	CreatePtrFromFunction	existing spelling retained; current-function and linguistic review incomplete
identifier	Cs	existing spelling retained; current-function and linguistic review incomplete
identifier	Ctime	existing spelling retained; current-function and linguistic review incomplete
identifier	CtimeNsec	existing spelling retained; current-function and linguistic review incomplete
identifier	CurrentPID	existing spelling retained; current-function and linguistic review incomplete
identifier	CurrentParentPID	existing spelling retained; current-function and linguistic review incomplete
identifier	Deactivate	existing spelling retained; current-function and linguistic review incomplete
identifier	Deactive	existing spelling retained; current-function and linguistic review incomplete
identifier	Decrement	existing spelling retained; current-function and linguistic review incomplete
identifier	Delete	existing spelling retained; current-function and linguistic review incomplete
identifier	DescriptorPrivilegeLevel	existing spelling retained; current-function and linguistic review incomplete
identifier	DescriptorType	existing spelling retained; current-function and linguistic review incomplete
identifier	Destroy	existing spelling retained; current-function and linguistic review incomplete
identifier	Dev	existing spelling retained; current-function and linguistic review incomplete
identifier	DeviceHasFunctions	existing spelling retained; current-function and linguistic review incomplete
identifier	DeviceNotAvailable	existing spelling retained; current-function and linguistic review incomplete
identifier	Device_id	existing spelling retained; current-function and linguistic review incomplete
identifier	DisableInt	existing spelling retained; current-function and linguistic review incomplete
identifier	Disconnect	existing spelling retained; current-function and linguistic review incomplete
identifier	DivideByZero	existing spelling retained; current-function and linguistic review incomplete
identifier	DoHandleInterrupt	existing spelling retained; current-function and linguistic review incomplete
identifier	DoubleFault	existing spelling retained; current-function and linguistic review incomplete
identifier	Draw	existing spelling retained; current-function and linguistic review incomplete
identifier	DriverManager	existing spelling retained; current-function and linguistic review incomplete
identifier	Ds	existing spelling retained; current-function and linguistic review incomplete
identifier	Dynamic	existing spelling retained; current-function and linguistic review incomplete
identifier	E2BIG	existing spelling retained; current-function and linguistic review incomplete
identifier	EACCES	existing spelling retained; current-function and linguistic review incomplete
identifier	EADDRINUSE	existing spelling retained; current-function and linguistic review incomplete
identifier	EAFNOSUPPORT	existing spelling retained; current-function and linguistic review incomplete
identifier	EAGAIN	existing spelling retained; current-function and linguistic review incomplete
identifier	EBADF	existing spelling retained; current-function and linguistic review incomplete
identifier	EBUSY	existing spelling retained; current-function and linguistic review incomplete
identifier	ECHILD	existing spelling retained; current-function and linguistic review incomplete
identifier	EEXIST	existing spelling retained; current-function and linguistic review incomplete
identifier	EFAULT	existing spelling retained; current-function and linguistic review incomplete
identifier	EFBIG	existing spelling retained; current-function and linguistic review incomplete
identifier	EINTR	existing spelling retained; current-function and linguistic review incomplete
identifier	EINVAL	existing spelling retained; current-function and linguistic review incomplete
identifier	EIO	existing spelling retained; current-function and linguistic review incomplete
identifier	EISDIR	existing spelling retained; current-function and linguistic review incomplete
identifier	EMFILE	existing spelling retained; current-function and linguistic review incomplete
identifier	EMSGSIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	ENETUNREACH	existing spelling retained; current-function and linguistic review incomplete
identifier	ENFILE	existing spelling retained; current-function and linguistic review incomplete
identifier	ENODEV	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOENT	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOEXEC	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOMEM	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOSPC	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOSYS	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOTCONN	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOTDIR	existing spelling retained; current-function and linguistic review incomplete
identifier	ENOTTY	existing spelling retained; current-function and linguistic review incomplete
identifier	EOPNOTSUPP	existing spelling retained; current-function and linguistic review incomplete
identifier	EPERM	existing spelling retained; current-function and linguistic review incomplete
identifier	EPROTONOSUPPORT	existing spelling retained; current-function and linguistic review incomplete
identifier	ERANGE	existing spelling retained; current-function and linguistic review incomplete
identifier	EROFS	existing spelling retained; current-function and linguistic review incomplete
identifier	ESPIPE	existing spelling retained; current-function and linguistic review incomplete
identifier	ESRCH	existing spelling retained; current-function and linguistic review incomplete
identifier	Eax	existing spelling retained; current-function and linguistic review incomplete
identifier	Ebp	existing spelling retained; current-function and linguistic review incomplete
identifier	Ebx	existing spelling retained; current-function and linguistic review incomplete
identifier	Ecx	existing spelling retained; current-function and linguistic review incomplete
identifier	Edi	existing spelling retained; current-function and linguistic review incomplete
identifier	Edx	existing spelling retained; current-function and linguistic review incomplete
identifier	Eflags	existing spelling retained; current-function and linguistic review incomplete
identifier	Eip	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf32Dyn	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf32Note	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf32Rel	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf32Rela	existing spelling retained; current-function and linguistic review incomplete
identifier	Elf32Sym	existing spelling retained; current-function and linguistic review incomplete
identifier	ElfHeader	existing spelling retained; current-function and linguistic review incomplete
identifier	ElfProgramHeader	existing spelling retained; current-function and linguistic review incomplete
identifier	ElfSectionHeader	existing spelling retained; current-function and linguistic review incomplete
identifier	EnablePaging	existing spelling retained; current-function and linguistic review incomplete
identifier	Enabled	existing spelling retained; current-function and linguistic review incomplete
identifier	EntryNumber	existing spelling retained; current-function and linguistic review incomplete
identifier	EqualBytes	existing spelling retained; current-function and linguistic review incomplete
identifier	Es	existing spelling retained; current-function and linguistic review incomplete
identifier	Esi	existing spelling retained; current-function and linguistic review incomplete
identifier	Esp	existing spelling retained; current-function and linguistic review incomplete
identifier	FPUBuffer	existing spelling retained; current-function and linguistic review incomplete
identifier	FPUOffset	existing spelling retained; current-function and linguistic review incomplete
identifier	Family	existing spelling retained; current-function and linguistic review incomplete
identifier	FileName	existing spelling retained; current-function and linguistic review incomplete
identifier	Fill	existing spelling retained; current-function and linguistic review incomplete
identifier	FillRectangle	existing spelling retained; current-function and linguistic review incomplete
identifier	First	existing spelling retained; current-function and linguistic review incomplete
identifier	FirstFree	existing spelling retained; current-function and linguistic review incomplete
identifier	FirstFreeSize	existing spelling retained; current-function and linguistic review incomplete
identifier	Flags	existing spelling retained; current-function and linguistic review incomplete
identifier	FloatingPointException	existing spelling retained; current-function and linguistic review incomplete
identifier	Flush	existing spelling retained; current-function and linguistic review incomplete
identifier	FlushTlsTable	existing spelling retained; current-function and linguistic review incomplete
identifier	Focussable	existing spelling retained; current-function and linguistic review incomplete
identifier	Free	existing spelling retained; current-function and linguistic review incomplete
identifier	Fs	existing spelling retained; current-function and linguistic review incomplete
identifier	GB	existing spelling retained; current-function and linguistic review incomplete
identifier	GDT_ENTRIES	existing spelling retained; current-function and linguistic review incomplete
identifier	GOT	existing spelling retained; current-function and linguistic review incomplete
identifier	GPFException	existing spelling retained; current-function and linguistic review incomplete
identifier	GatewayIP	existing spelling retained; current-function and linguistic review incomplete
identifier	GdtAddressHigh	existing spelling retained; current-function and linguistic review incomplete
identifier	GdtAddressLow	existing spelling retained; current-function and linguistic review incomplete
identifier	GdtDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	GdtEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	GdtSize	existing spelling retained; current-function and linguistic review incomplete
identifier	GetAt	existing spelling retained; current-function and linguistic review incomplete
identifier	GetBackend	existing spelling retained; current-function and linguistic review incomplete
identifier	GetBaseAddressRegister	existing spelling retained; current-function and linguistic review incomplete
identifier	GetBitmaspSize	existing spelling retained; current-function and linguistic review incomplete
identifier	GetBytesFromPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	GetCR0	existing spelling retained; current-function and linguistic review incomplete
identifier	GetCR2	existing spelling retained; current-function and linguistic review incomplete
identifier	GetCR3	existing spelling retained; current-function and linguistic review incomplete
identifier	GetCR4	existing spelling retained; current-function and linguistic review incomplete
identifier	GetColorIndex	existing spelling retained; current-function and linguistic review incomplete
identifier	GetDeviceDescriptor	existing spelling retained; current-function and linguistic review incomplete
identifier	GetDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	GetESP0	existing spelling retained; current-function and linguistic review incomplete
identifier	GetEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	GetFileSize	existing spelling retained; current-function and linguistic review incomplete
identifier	GetFocus	existing spelling retained; current-function and linguistic review incomplete
identifier	GetFrameBufferSegment	existing spelling retained; current-function and linguistic review incomplete
identifier	GetFuncPtrFromPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	GetFunctionName	existing spelling retained; current-function and linguistic review incomplete
identifier	GetHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	GetIPAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	GetMACAddress	existing spelling retained; current-function and linguistic review incomplete
identifier	GetMACFromCache	existing spelling retained; current-function and linguistic review incomplete
identifier	GetNextReadyThread	existing spelling retained; current-function and linguistic review incomplete
identifier	GetNodeAt	existing spelling retained; current-function and linguistic review incomplete
identifier	GetProvider	existing spelling retained; current-function and linguistic review incomplete
identifier	GetSS0	existing spelling retained; current-function and linguistic review incomplete
identifier	GetStr	existing spelling retained; current-function and linguistic review incomplete
identifier	GetUint32ArrayFromPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	GetUintptrArrayFromPtr	existing spelling retained; current-function and linguistic review incomplete
identifier	GetValue	existing spelling retained; current-function and linguistic review incomplete
identifier	GetValueInPageDir	existing spelling retained; current-function and linguistic review incomplete
identifier	Gid	existing spelling retained; current-function and linguistic review incomplete
identifier	Gs	existing spelling retained; current-function and linguistic review incomplete
identifier	HandleException	existing spelling retained; current-function and linguistic review incomplete
identifier	HandleFatalInterruptFrame	existing spelling retained; current-function and linguistic review incomplete
identifier	HandleInterrupt	existing spelling retained; current-function and linguistic review incomplete
identifier	HandleInterrupt1	existing spelling retained; current-function and linguistic review incomplete
identifier	HandleUserDatagramProtocolMessage	existing spelling retained; current-function and linguistic review incomplete
identifier	IDT_DESC_PRESENT	existing spelling retained; current-function and linguistic review incomplete
identifier	IDT_INTERRUPT_GATE	existing spelling retained; current-function and linguistic review incomplete
identifier	IDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	IEtherFrameHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IInternetProtocolHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IInterruptHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IKeyboardEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IMouseEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IPCIControllerHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IPCache	existing spelling retained; current-function and linguistic review incomplete
identifier	IP_BE	existing spelling retained; current-function and linguistic review incomplete
identifier	IRawDataHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	ITimerEventHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IUserDatagramProtocolHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	IUserDatagramProtocolSocket	existing spelling retained; current-function and linguistic review incomplete
identifier	IWidget	existing spelling retained; current-function and linguistic review incomplete
identifier	Identify	existing spelling retained; current-function and linguistic review incomplete
identifier	Increment	existing spelling retained; current-function and linguistic review incomplete
identifier	IndexOf	existing spelling retained; current-function and linguistic review incomplete
identifier	Init	existing spelling retained; current-function and linguistic review incomplete
identifier	InitDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	InitialThreadUserJump	existing spelling retained; current-function and linguistic review incomplete
identifier	Ino	existing spelling retained; current-function and linguistic review incomplete
identifier	Install	existing spelling retained; current-function and linguistic review incomplete
identifier	Interrupt	existing spelling retained; current-function and linguistic review incomplete
identifier	InterruptActive	existing spelling retained; current-function and linguistic review incomplete
identifier	InterruptDeactive	existing spelling retained; current-function and linguistic review incomplete
identifier	InterruptManager	existing spelling retained; current-function and linguistic review incomplete
identifier	InterruptNumber	existing spelling retained; current-function and linguistic review incomplete
identifier	InvalidOpcode	existing spelling retained; current-function and linguistic review incomplete
identifier	InvalidTSS	existing spelling retained; current-function and linguistic review incomplete
identifier	IsKernel	existing spelling retained; current-function and linguistic review incomplete
identifier	IsPresent	existing spelling retained; current-function and linguistic review incomplete
identifier	IsUserSpace	existing spelling retained; current-function and linguistic review incomplete
identifier	KB	existing spelling retained; current-function and linguistic review incomplete
identifier	KCS_INDEX	existing spelling retained; current-function and linguistic review incomplete
identifier	KCS_SELECTOR	existing spelling retained; current-function and linguistic review incomplete
identifier	KDS_INDEX	existing spelling retained; current-function and linguistic review incomplete
identifier	KDS_SELECTOR	existing spelling retained; current-function and linguistic review incomplete
identifier	KERNEL_HEAP_START	existing spelling retained; current-function and linguistic review incomplete
identifier	KERNEL_VIRT_ADDR	existing spelling retained; current-function and linguistic review incomplete
identifier	KGS_INDEX	existing spelling retained; current-function and linguistic review incomplete
identifier	KGS_SELECTOR	existing spelling retained; current-function and linguistic review incomplete
identifier	LIDT	existing spelling retained; current-function and linguistic review incomplete
identifier	Last	existing spelling retained; current-function and linguistic review incomplete
identifier	Limit	existing spelling retained; current-function and linguistic review incomplete
identifier	Link	existing spelling retained; current-function and linguistic review incomplete
identifier	LinkMap	existing spelling retained; current-function and linguistic review incomplete
identifier	LinkedList	existing spelling retained; current-function and linguistic review incomplete
identifier	Listen	existing spelling retained; current-function and linguistic review incomplete
identifier	LoadElf	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC0	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC1	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC2	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC3	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC4	existing spelling retained; current-function and linguistic review incomplete
identifier	MAC5	existing spelling retained; current-function and linguistic review incomplete
identifier	MACAddress0Port	existing spelling retained; current-function and linguistic review incomplete
identifier	MACAddress2Port	existing spelling retained; current-function and linguistic review incomplete
identifier	MACAddress4Port	existing spelling retained; current-function and linguistic review incomplete
identifier	MACCache	existing spelling retained; current-function and linguistic review incomplete
identifier	MAX_QUEUE_SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	MB	existing spelling retained; current-function and linguistic review incomplete
identifier	MBR	existing spelling retained; current-function and linguistic review incomplete
identifier	MHex출력	existing spelling retained; current-function and linguistic review incomplete
identifier	MHex출력XY	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint16출력	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint16출력XY	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint32출력	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint32출력XY	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint64출력	existing spelling retained; current-function and linguistic review incomplete
identifier	MUint64출력XY	existing spelling retained; current-function and linguistic review incomplete
identifier	Machine	existing spelling retained; current-function and linguistic review incomplete
identifier	MachineCheck	existing spelling retained; current-function and linguistic review incomplete
identifier	MakeRangePrivateWritable	existing spelling retained; current-function and linguistic review incomplete
identifier	Malloc	existing spelling retained; current-function and linguistic review incomplete
identifier	MemCmp	existing spelling retained; current-function and linguistic review incomplete
identifier	MemCpy	existing spelling retained; current-function and linguistic review incomplete
identifier	MemMove	existing spelling retained; current-function and linguistic review incomplete
identifier	MemSet	existing spelling retained; current-function and linguistic review incomplete
identifier	MemoryOper	existing spelling retained; current-function and linguistic review incomplete
identifier	Mode	existing spelling retained; current-function and linguistic review incomplete
identifier	ModelToScreen	existing spelling retained; current-function and linguistic review incomplete
identifier	Mtime	existing spelling retained; current-function and linguistic review incomplete
identifier	MtimeNsec	existing spelling retained; current-function and linguistic review incomplete
identifier	MyHandleInterrupt	existing spelling retained; current-function and linguistic review incomplete
identifier	MyTest	existing spelling retained; current-function and linguistic review incomplete
identifier	M긴급로그Hex8	existing spelling retained; current-function and linguistic review incomplete
identifier	M긴급로그Uint32	existing spelling retained; current-function and linguistic review incomplete
identifier	M긴급로그문자열	existing spelling retained; current-function and linguistic review incomplete
identifier	M직렬로그초기화	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력BytesXY	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력Hex	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력Uint16	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력Uint32	existing spelling retained; current-function and linguistic review incomplete
identifier	M출력XY	existing spelling retained; current-function and linguistic review incomplete
identifier	M테스트	existing spelling retained; current-function and linguistic review incomplete
identifier	NMI	existing spelling retained; current-function and linguistic review incomplete
identifier	New	existing spelling retained; current-function and linguistic review incomplete
identifier	NewInterruptHandler	existing spelling retained; current-function and linguistic review incomplete
identifier	Next	existing spelling retained; current-function and linguistic review incomplete
identifier	Nlink	existing spelling retained; current-function and linguistic review incomplete
identifier	Node	existing spelling retained; current-function and linguistic review incomplete
identifier	Nodename	existing spelling retained; current-function and linguistic review incomplete
identifier	OnEtherFrameReceived	existing spelling retained; current-function and linguistic review incomplete
identifier	OnGetDriver	existing spelling retained; current-function and linguistic review incomplete
identifier	OnInternetProtocolReceived	existing spelling retained; current-function and linguistic review incomplete
identifier	OnKeyDown	existing spelling retained; current-function and linguistic review incomplete
identifier	OnKeyUp	existing spelling retained; current-function and linguistic review incomplete
identifier	OnMouseDown	existing spelling retained; current-function and linguistic review incomplete
identifier	OnMouseMove	existing spelling retained; current-function and linguistic review incomplete
identifier	OnMouseUp	existing spelling retained; current-function and linguistic review incomplete
identifier	OnRawDataReceived	existing spelling retained; current-function and linguistic review incomplete
identifier	OnTick	existing spelling retained; current-function and linguistic review incomplete
identifier	Overflow	existing spelling retained; current-function and linguistic review incomplete
identifier	P1LinkMap	existing spelling retained; current-function and linguistic review incomplete
identifier	P2LinkMap	existing spelling retained; current-function and linguistic review incomplete
identifier	P3LinkMap	existing spelling retained; current-function and linguistic review incomplete
identifier	PAGE_COW	existing spelling retained; current-function and linguistic review incomplete
identifier	PAGE_FRAME	existing spelling retained; current-function and linguistic review incomplete
identifier	PAGE_PRESENT	existing spelling retained; current-function and linguistic review incomplete
identifier	PAGE_USER	existing spelling retained; current-function and linguistic review incomplete
identifier	PAGE_WRITABLE	existing spelling retained; current-function and linguistic review incomplete
identifier	PAUSE_LOOP	existing spelling retained; current-function and linguistic review incomplete
identifier	PICMasterCommandPort	existing spelling retained; current-function and linguistic review incomplete
identifier	PICMasterDataPort	existing spelling retained; current-function and linguistic review incomplete
identifier	PICSlaveCommandPort	existing spelling retained; current-function and linguistic review incomplete
identifier	PICSlaveDataPort	existing spelling retained; current-function and linguistic review incomplete
identifier	PRESENT	existing spelling retained; current-function and linguistic review incomplete
identifier	PRIV_KERNEL	existing spelling retained; current-function and linguistic review incomplete
identifier	PRIV_USER	existing spelling retained; current-function and linguistic review incomplete
identifier	PROC_USER_HEAP_SIZE	existing spelling retained; current-function and linguistic review incomplete
identifier	PageDirEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	PageDirectoryEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	PageFault	existing spelling retained; current-function and linguistic review incomplete
identifier	PageFaultException	existing spelling retained; current-function and linguistic review incomplete
identifier	PageRoundDown	existing spelling retained; current-function and linguistic review incomplete
identifier	PageRoundUp	existing spelling retained; current-function and linguistic review incomplete
identifier	PageTableEntry	existing spelling retained; current-function and linguistic review incomplete
identifier	Paging	existing spelling retained; current-function and linguistic review incomplete
identifier	ParentPid	existing spelling retained; current-function and linguistic review incomplete
identifier	Parse	existing spelling retained; current-function and linguistic review incomplete
identifier	Partition_id	existing spelling retained; current-function and linguistic review incomplete
identifier	PhyMemTest	existing spelling retained; current-function and linguistic review incomplete
identifier	PhysicalMemoryManager	existing spelling retained; current-function and linguistic review incomplete
identifier	Pid	existing spelling retained; current-function and linguistic review incomplete
identifier	Port	existing spelling retained; current-function and linguistic review incomplete
identifier	PortBase	existing spelling retained; current-function and linguistic review incomplete
identifier	PortInByte	existing spelling retained; current-function and linguistic review incomplete
identifier	PortInDword	existing spelling retained; current-function and linguistic review incomplete
identifier	PortInWord	existing spelling retained; current-function and linguistic review incomplete
identifier	PortOutByte	existing spelling retained; current-function and linguistic review incomplete
identifier	PortOutDword	existing spelling retained; current-function and linguistic review incomplete
identifier	PortOutWord	existing spelling retained; current-function and linguistic review incomplete
identifier	PortReadByte	existing spelling retained; current-function and linguistic review incomplete
identifier	PortReadDword	existing spelling retained; current-function and linguistic review incomplete
identifier	PortReadWord	existing spelling retained; current-function and linguistic review incomplete
identifier	PortWriteByte	existing spelling retained; current-function and linguistic review incomplete
identifier	PortWriteDword	existing spelling retained; current-function and linguistic review incomplete
identifier	PortWriteWord	existing spelling retained; current-function and linguistic review incomplete
identifier	Prev	existing spelling retained; current-function and linguistic review incomplete
identifier	PrevTSS	existing spelling retained; current-function and linguistic review incomplete
identifier	PrimaryPartition	existing spelling retained; current-function and linguistic review incomplete
identifier	Print	existing spelling retained; current-function and linguistic review incomplete
identifier	PrintBytes	existing spelling retained; current-function and linguistic review incomplete
identifier	PrintStr	existing spelling retained; current-function and linguistic review incomplete
identifier	PrintTLS	existing spelling retained; current-function and linguistic review incomplete
identifier	PrintTest	existing spelling retained; current-function and linguistic review incomplete
identifier	Process	existing spelling retained; current-function and linguistic review incomplete
identifier	ProcessHelper	existing spelling retained; current-function and linguistic review incomplete
identifier	ProcessPendingKeyboardEvents	existing spelling retained; current-function and linguistic review incomplete
identifier	ProcessPendingMouseEvents	existing spelling retained; current-function and linguistic review incomplete
identifier	PushAt	existing spelling retained; current-function and linguistic review incomplete
identifier	PushBack	existing spelling retained; current-function and linguistic review incomplete
identifier	PushFront	existing spelling retained; current-function and linguistic review incomplete
identifier	PutPixel	existing spelling retained; current-function and linguistic review incomplete
identifier	PutPixelRGB	existing spelling retained; current-function and linguistic review incomplete
